text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
beekeeping,9,"humans,","Beekeeping is the maintenance of bee colonies by humans,","[('Beekeeping', 'harvested organism(s)', 'Ant and Bee | bee')]","[('Beekeeping', 'harvested organism(s)', 'Ant and Bee | bee')]",[0.33000001311302185]
beekeeping,16,hives.,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives.","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'has use', 'Beekeeping')]","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'has use', 'Beekeeping')]","[0.9900000095367432, 0.1599999964237213]"
beekeeping,26,honey,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey","[('Honey bee | honey', 'natural product of taxon', 'Bee | bee')]","[('Hives | hives', 'used by', 'Beekeeping'), ('Honey bee | honey', 'natural product of taxon', 'Bee | bee')]","[0.9900000095367432, 0.9800000190734863]"
beekeeping,27,bees.,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees.","[('Honey bee | honey bees', 'subclass of', 'Bee | bee')]","[('Hives | hives', 'used by', 'Beekeeping'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee')]","[0.9800000190734863, 0.23999999463558197]"
beekeeping,29,beekeeper,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper","[('Honey bee | honey bees', 'different from', 'Bee | bee')]","[('Hives | hives', 'used by', 'Beekeeping'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'different from', 'Bee | bee')]","[0.9800000190734863, 0.6499999761581421, 0.7699999809265137]"
beekeeping,38,honey,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey","[('Beekeeper | beekeeper', 'used by', 'Beekeeping')]","[('Hives | hives', 'used by', 'Beekeeping'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'different from', 'Bee | bee'), ('Beekeeper | beekeeper', 'used by', 'Beekeeping')]","[0.9900000095367432, 0.8399999737739563, 0.3499999940395355, 0.20999999344348907]"
beekeeping,52,pollinate,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate","[('Honey | honey', 'natural product of taxon', 'Honey bee | honey bees'), ('Honey bee | honey bees', 'part of', 'Beekeeping'), ('Beekeeper | beekeeper', 'part of', 'Beekeeping'), ('--NME-- | pollinate', 'used by', 'Beekeeping')]","[('Honey bee | honey bees', 'part of', 'Beekeeping'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'different from', 'Bee | bee'), ('Beekeeper | beekeeper', 'used by', 'Beekeeping'), ('Beekeeper | beekeeper', 'part of', 'Beekeeping'), ('Honey | honey', 'natural product of taxon', 'Honey bee | honey bees'), ('--NME-- | pollinate', 'used by', 'Beekeeping')]","[0.15000000596046448, 0.7200000286102295, 0.11999999731779099, 0.12999999523162842, 0.18000000715255737, 0.36000001430511475, 0.11999999731779099]"
beekeeping,53,"crops,","Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops,","[('Honey bee | honey', 'natural product of taxon', 'Honey bee | honey bees')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Beekeeper | beekeeper', 'used by', 'Beekeeping'), ('Honey bee | honey', 'natural product of taxon', 'Honey bee | honey bees')]","[0.7099999785423279, 0.4300000071525574, 0.3799999952316284]"
beekeeping,57,bees,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees","[('Honey bee | honey', 'natural product of taxon', 'Bee | bees')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Beekeeper | beekeeper', 'used by', 'Beekeeping'), ('Honey bee | honey', 'natural product of taxon', 'Bee | bees')]","[0.8100000023841858, 0.23999999463558197, 0.17000000178813934]"
beekeeping,71,art,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees for sale to other beekeepers. The domestication of bees is depicted in Egyptian art","[('Beeswax | beeswax', 'natural product of taxon', 'Bee | bees')]","[('Beeswax | beeswax', 'natural product of taxon', 'Bee | bees')]",[0.12999999523162842]
