text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
doping,6,the,"In competitive sports, doping is the","[('Doping in sport | doping', 'facet of', 'Doping in sport | competitive sports')]","[('Doping in sport | doping', 'facet of', 'Doping in sport | competitive sports')]",[0.46000000834465027]
doping,8,of,"In competitive sports, doping is the use of","[('Doping in sport | doping', 'subclass of', 'Doping in sport | competitive sports')]","[('Doping in sport | doping', 'subclass of', 'Doping in sport | competitive sports')]",[0.6299999952316284]
doping,9,banned,"In competitive sports, doping is the use of banned","[('Doping in sport | doping', 'competition class', '--NME-- | competitive sports')]","[('Doping in sport | doping', 'competition class', '--NME-- | competitive sports')]",[0.11999999731779099]
doping,10,performance-enhancing,"In competitive sports, doping is the use of banned performance-enhancing","[('Doping in sport | doping', 'sport', 'Doping in sport | competitive sports')]","[('Doping in sport | doping', 'sport', 'Doping in sport | competitive sports')]",[0.10999999940395355]
doping,19,widely,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely","[('Doping in sport | doping', 'subclass of', 'Competition | competitive sports')]","[('Doping in sport | doping', 'subclass of', 'Competition | competitive sports')]",[0.3199999928474426]
doping,32,enhance,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance","[('Performance-enhancing substance | performance-enhancing drugs', 'facet of', 'Doping in sport | doping')]","[('Performance-enhancing substance | performance-enhancing drugs', 'facet of', 'Doping in sport | doping')]",[0.10999999940395355]
doping,42,by,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by","[('Doping in sport | doping', 'subclass of', 'High-performance sport | competitive sports')]","[('Doping in sport | doping', 'subclass of', 'High-performance sport | competitive sports')]",[0.10000000149011612]
doping,52,"Furthermore,","In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore,","[('Competition | organizations which regulate sporting competitions', 'regulated by', 'Sports governing body | international sports organizations'), ('Doping in sport | doping', 'organizer', 'Sports governing body | international sports organizations')]","[('Doping in sport | doping', 'subclass of', 'Competition | competitive sports'), ('Doping in sport | doping', 'organizer', 'Sports governing body | international sports organizations'), ('Competition | organizations which regulate sporting competitions', 'regulated by', 'Sports governing body | international sports organizations')]","[0.2199999988079071, 0.1599999964237213, 0.33000001311302185]"
doping,53,athletes,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes","[('Doping in sport | doping', 'reviewed by', 'International Olympic Committee | international sports organizations')]","[('Doping in sport | doping', 'reviewed by', 'International Olympic Committee | international sports organizations')]",[0.10999999940395355]
doping,54,who,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who","[('Doping in sport | doping', 'organizer', 'International Olympic Committee | international sports organizations')]","[('Doping in sport | doping', 'organizer', 'International Olympic Committee | international sports organizations')]",[0.20000000298023224]
doping,69,cheating.,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating.","[('Cheating | cheating', 'subclass of', '--NME-- | performance-enhancing drugs')]","[('Cheating | cheating', 'subclass of', '--NME-- | performance-enhancing drugs')]",[0.20000000298023224]
doping,75,headlines,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines","[('Cheating | cheating', 'facet of', '--NME-- | performance-enhancing drugs')]","[('Cheating | cheating', 'subclass of', '--NME-- | performance-enhancing drugs'), ('Cheating | cheating', 'facet of', '--NME-- | performance-enhancing drugs')]","[0.27000001072883606, 0.12999999523162842]"
doping,106,baseball,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines recently, doping is not a new phenomenon; in fact, it is as old as sport itself. From the use of substances in ancient chariot races to more recent controversies in baseball","[('Sports governing body | organizations which regulate sporting competitions', 'organizer', 'International Olympic Committee')]","[('Sports governing body | organizations which regulate sporting competitions', 'organizer', 'International Olympic Committee')]",[0.12999999523162842]
doping,122,authorities,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines recently, doping is not a new phenomenon; in fact, it is as old as sport itself. From the use of substances in ancient chariot races to more recent controversies in baseball and cycling, popular views among athletes have varied widely over the years. In recent decades, authorities","[('Doping in sport | cycling', 'facet of', 'Doping in sport | doping'), ('Doping in sport | baseball', 'subclass of', 'Doping in sport | doping')]","[('Doping in sport | baseball', 'subclass of', 'Doping in sport | doping'), ('Doping in sport | cycling', 'facet of', 'Doping in sport | doping')]","[0.10999999940395355, 0.10999999940395355]"
doping,131,the,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines recently, doping is not a new phenomenon; in fact, it is as old as sport itself. From the use of substances in ancient chariot races to more recent controversies in baseball and cycling, popular views among athletes have varied widely over the years. In recent decades, authorities and sporting organizations have tried to strictly regulate the","[('Doping in sport | cycling', 'subclass of', 'Doping in sport | doping')]","[('Doping in sport | cycling', 'subclass of', 'Doping in sport | doping')]",[0.23999999463558197]
doping,149,"drugs,","In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines recently, doping is not a new phenomenon; in fact, it is as old as sport itself. From the use of substances in ancient chariot races to more recent controversies in baseball and cycling, popular views among athletes have varied widely over the years. In recent decades, authorities and sporting organizations have tried to strictly regulate the use of drugs in sport. The primary reasons for this ban are the health risks of performance-enhancing drugs,","[('Doping in sport | doping', 'organizer', 'Union Cycliste Internationale | cycling'), ('Union Cycliste Internationale | cycling', 'facet of', 'Doping in sport | doping')]","[('Doping in sport | doping', 'organizer', 'Union Cycliste Internationale | cycling'), ('Doping in sport | baseball', 'subclass of', 'Doping in sport | doping'), ('Union Cycliste Internationale | cycling', 'facet of', 'Doping in sport | doping')]","[0.15000000596046448, 0.11999999731779099, 0.550000011920929]"
doping,156,and,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines recently, doping is not a new phenomenon; in fact, it is as old as sport itself. From the use of substances in ancient chariot races to more recent controversies in baseball and cycling, popular views among athletes have varied widely over the years. In recent decades, authorities and sporting organizations have tried to strictly regulate the use of drugs in sport. The primary reasons for this ban are the health risks of performance-enhancing drugs, the equality of opportunity for athletes, and","[('Major achievements in cycling by nation | cycling', 'facet of', 'Doping in sport | doping')]","[('Doping in sport | baseball', 'subclass of', 'Doping in sport | doping'), ('Major achievements in cycling by nation | cycling', 'facet of', 'Doping in sport | doping')]","[0.11999999731779099, 0.2800000011920929]"
