text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
thylacine,18,Tasmanian,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian,"[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian')]",[1.0]
thylacine,19,tiger,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger,"[('Thylacine | It', 'endemic to', '--NME-- | Tasmanian')]","[('Thylacine | It', 'endemic to', '--NME-- | Tasmanian')]",[1.0]
thylacine,22,its,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its,"[('Thylacine | its', 'endemic to', '--NME-- | Tasmanian')]","[('Thylacine | It', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | its', 'endemic to', '--NME-- | Tasmanian')]","[1.0, 1.0]"
thylacine,23,striped,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped,"[('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian')]","[0.9900000095367432, 0.9700000286102295]"
thylacine,25,"back,","The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back,","[('Carnivore | carnivorous', 'subclass of', 'Marsupial | marsupial')]","[('Carnivore | carnivorous', 'subclass of', 'Marsupial | marsupial')]",[0.10999999940395355]
thylacine,28,Tasmanian,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian","[('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian')]","[0.9900000095367432, 1.0, 0.9599999785423279, 1.0]"
thylacine,42,"Tasmania,","The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like appearance, traits and attributes. Native to continental Australia, Tasmania,","[('Tasmania', 'country', 'Australia'), ('Tasmania', 'location', 'Australia'), ('Tasmania', 'part of', 'Australia')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Tasmania', 'part of', 'Australia'), ('Tasmania', 'country', 'Australia'), ('Tasmania', 'location', 'Australia')]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8999999761581421, 0.2199999988079071, 0.9200000166893005]"
thylacine,45,"Guinea,","The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like appearance, traits and attributes. Native to continental Australia, Tasmania, and New Guinea,","[('Australia (continent) | continental Australia', 'country', 'Australia')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Australia (continent) | continental Australia', 'country', 'Australia'), ('Tasmania', 'part of', 'Australia'), ('Tasmania', 'country', 'Australia'), ('Tasmania', 'location', 'Australia')]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9300000071525574, 0.8100000023841858, 0.9700000286102295, 0.9599999785423279]"
thylacine,46,it,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like appearance, traits and attributes. Native to continental Australia, Tasmania, and New Guinea, it","[('Thylacine | it', 'endemic to', 'Tasmania'), ('Thylacine | it', 'significant place', 'Tasmania')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Australia (continent) | continental Australia', 'country', 'Australia'), ('Tasmania', 'part of', 'Australia'), ('Tasmania', 'country', 'Australia'), ('Tasmania', 'location', 'Australia'), ('Thylacine | it', 'endemic to', 'Tasmania'), ('Thylacine | it', 'significant place', 'Tasmania')]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8700000047683716, 0.800000011920929, 0.9599999785423279, 0.9599999785423279, 0.9900000095367432, 1.0]"
thylacine,52,extinct,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like appearance, traits and attributes. Native to continental Australia, Tasmania, and New Guinea, it is believed to have become extinct","[('Australia (continent) | continental Australia', 'location', 'Australia')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Australia (continent) | continental Australia', 'country', 'Australia'), ('Australia (continent) | continental Australia', 'location', 'Australia'), ('Tasmania', 'part of', 'Australia'), ('Tasmania', 'country', 'Australia'), ('Tasmania', 'location', 'Australia'), ('Thylacine | it', 'endemic to', 'Tasmania'), ('Thylacine | it', 'significant place', 'Tasmania')]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8700000047683716, 0.10999999940395355, 0.9300000071525574, 0.9700000286102295, 0.9900000095367432, 1.0, 1.0]"
thylacine,56,century.,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like appearance, traits and attributes. Native to continental Australia, Tasmania, and New Guinea, it is believed to have become extinct in the twentieth century.","[('New Guinea', 'part of', 'Australia (continent) | continental Australia')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('New Guinea', 'part of', 'Australia (continent) | continental Australia'), ('Thylacine | it', 'endemic to', 'Tasmania'), ('Thylacine | it', 'significant place', 'Tasmania')]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.10999999940395355, 1.0, 1.0]"
thylacine,68,pouch,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like appearance, traits and attributes. Native to continental Australia, Tasmania, and New Guinea, it is believed to have become extinct in the twentieth century. The thylacine was one of only two marsupials to have a pouch","[('Tasmania', 'part of', 'Australia (continent) | continental Australia')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Tasmania', 'part of', 'Australia (continent) | continental Australia'), ('New Guinea', 'part of', 'Australia (continent) | continental Australia'), ('Thylacine | it', 'endemic to', 'Tasmania'), ('Thylacine | it', 'significant place', 'Tasmania')]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.15000000596046448, 0.28999999165534973, 1.0, 1.0]"
thylacine,95,formidable,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like appearance, traits and attributes. Native to continental Australia, Tasmania, and New Guinea, it is believed to have become extinct in the twentieth century. The thylacine was one of only two marsupials to have a pouch in both sexes. The male had a pouch that protected the external reproductive organs while running through thick brush. The thylacine has been described as a formidable","[('Thylacine | it', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | it', 'significant place', 'Tasmania | Tasmanian')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('New Guinea', 'part of', 'Australia (continent) | continental Australia'), ('Thylacine | it', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | it', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | it', 'endemic to', 'Tasmania'), ('Thylacine | it', 'significant place', 'Tasmania')]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.20999999344348907, 0.11999999731779099, 0.20000000298023224, 1.0, 1.0]"
thylacine,112,thylacine,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like appearance, traits and attributes. Native to continental Australia, Tasmania, and New Guinea, it is believed to have become extinct in the twentieth century. The thylacine was one of only two marsupials to have a pouch in both sexes. The male had a pouch that protected the external reproductive organs while running through thick brush. The thylacine has been described as a formidable predator because of its ability to survive and hunt prey in extremely sparsely populated areas. The thylacine","[('Thylacine | The thylacine', 'endemic to', 'Tasmania')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('New Guinea', 'part of', 'Australia (continent) | continental Australia'), ('Thylacine | it', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | it', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | it', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | it', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | it', 'endemic to', 'Tasmania'), ('Thylacine | it', 'significant place', 'Tasmania'), ('Thylacine | The thylacine', 'endemic to', 'Tasmania')]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.1899999976158142, 0.2800000011920929, 0.4099999964237213, 0.33000001311302185, 0.3799999952316284, 1.0, 1.0, 0.1899999976158142]"
thylacine,116,rare,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like appearance, traits and attributes. Native to continental Australia, Tasmania, and New Guinea, it is believed to have become extinct in the twentieth century. The thylacine was one of only two marsupials to have a pouch in both sexes. The male had a pouch that protected the external reproductive organs while running through thick brush. The thylacine has been described as a formidable predator because of its ability to survive and hunt prey in extremely sparsely populated areas. The thylacine had become extremely rare","[('Thylacine | The thylacine', 'significant place', 'Tasmania')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('New Guinea', 'part of', 'Australia (continent) | continental Australia'), ('New Guinea', 'part of', 'Australia (continent) | continental Australia'), ('Thylacine | it', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | it', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | it', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | it', 'endemic to', 'Tasmania'), ('Thylacine | it', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | it', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | it', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | it', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | it', 'significant place', 'Tasmania'), ('Thylacine | The thylacine', 'endemic to', 'Tasmania'), ('Thylacine | The thylacine', 'endemic to', 'Tasmania'), ('Thylacine | The thylacine', 'significant place', 'Tasmania')]","[1.0, 1.0, 1.0, 1.0, 0.9900000095367432, 1.0, 0.9900000095367432, 1.0, 1.0, 1.0, 1.0, 0.9900000095367432, 1.0, 1.0, 1.0, 0.14000000059604645, 0.20999999344348907, 0.3799999952316284, 0.18000000715255737, 0.44999998807907104, 1.0, 0.12999999523162842, 0.5899999737739563, 0.4399999976158142, 0.5400000214576721, 1.0, 0.5299999713897705, 0.5699999928474426, 0.14000000059604645]"
thylacine,121,Australian,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like appearance, traits and attributes. Native to continental Australia, Tasmania, and New Guinea, it is believed to have become extinct in the twentieth century. The thylacine was one of only two marsupials to have a pouch in both sexes. The male had a pouch that protected the external reproductive organs while running through thick brush. The thylacine has been described as a formidable predator because of its ability to survive and hunt prey in extremely sparsely populated areas. The thylacine had become extremely rare or extinct on the Australian","[('Thylacine | The thylacine', 'significant place', 'Australia | Australian')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('New Guinea', 'part of', 'Australia (continent) | continental Australia'), ('Thylacine | it', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | it', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | it', 'endemic to', 'Tasmania'), ('Thylacine | it', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | it', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | it', 'significant place', 'Tasmania'), ('Thylacine | The thylacine', 'endemic to', 'Tasmania'), ('Thylacine | The thylacine', 'endemic to', 'Tasmania'), ('Thylacine | The thylacine', 'significant place', 'Tasmania'), ('Thylacine | The thylacine', 'significant place', 'Australia | Australian')]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.9900000095367432, 1.0, 1.0, 0.9900000095367432, 1.0, 1.0, 1.0, 1.0, 1.0, 0.20999999344348907, 0.3799999952316284, 0.44999998807907104, 1.0, 0.5899999737739563, 0.5400000214576721, 1.0, 0.5699999928474426, 0.9900000095367432, 0.9599999785423279, 0.699999988079071]"
thylacine,122,mainland,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like appearance, traits and attributes. Native to continental Australia, Tasmania, and New Guinea, it is believed to have become extinct in the twentieth century. The thylacine was one of only two marsupials to have a pouch in both sexes. The male had a pouch that protected the external reproductive organs while running through thick brush. The thylacine has been described as a formidable predator because of its ability to survive and hunt prey in extremely sparsely populated areas. The thylacine had become extremely rare or extinct on the Australian mainland","[('Australia (continent) | Australian mainland', 'location', 'Australia (continent) | continental Australia')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('New Guinea', 'part of', 'Australia (continent) | continental Australia'), ('Thylacine | it', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | it', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | it', 'endemic to', 'Tasmania'), ('Thylacine | it', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | it', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | it', 'significant place', 'Tasmania'), ('Thylacine | The thylacine', 'endemic to', 'Tasmania'), ('Thylacine | The thylacine', 'endemic to', 'Tasmania'), ('Thylacine | The thylacine', 'significant place', 'Tasmania'), ('Australia (continent) | Australian mainland', 'location', 'Australia (continent) | continental Australia')]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.9900000095367432, 1.0, 1.0, 1.0, 1.0, 0.9900000095367432, 1.0, 1.0, 1.0, 0.20999999344348907, 0.3799999952316284, 0.44999998807907104, 1.0, 0.5899999737739563, 0.5400000214576721, 1.0, 0.5699999928474426, 0.9599999785423279, 0.8899999856948853, 0.23000000417232513]"
