text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
wine,56,"flavors,","Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards. Modern, professional wine tasters use a constantly evolving specialized terminology which is used to describe the range of perceived flavors,","[('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine tasting')]","[('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine tasting')]",[0.46000000834465027]
wine,66,"years,","Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards. Modern, professional wine tasters use a constantly evolving specialized terminology which is used to describe the range of perceived flavors, aromas and general characteristics of a wine. In recent years,","[('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine tasting | wine tasting')]","[('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine tasting'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine tasting | wine tasting')]","[0.6200000047683716, 0.23000000417232513]"
wine,90,wine,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards. Modern, professional wine tasters use a constantly evolving specialized terminology which is used to describe the range of perceived flavors, aromas and general characteristics of a wine. In recent years, results challenging the reliability of wine tasting in both experts and consumers have surfaced. For example, studies showed that people expect more expensive wine","[('Wine tasting', 'facet of', 'Wine | wine')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine tasting'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine tasting | wine tasting')]","[0.10000000149011612, 0.7200000286102295, 0.7799999713897705]"
wine,94,desirable,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards. Modern, professional wine tasters use a constantly evolving specialized terminology which is used to describe the range of perceived flavors, aromas and general characteristics of a wine. In recent years, results challenging the reliability of wine tasting in both experts and consumers have surfaced. For example, studies showed that people expect more expensive wine to have more desirable","[('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine | a wine')]","[('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine tasting'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine tasting | wine tasting'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine | a wine')]","[0.6399999856948853, 0.7099999785423279, 0.11999999731779099]"
wine,120,than,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards. Modern, professional wine tasters use a constantly evolving specialized terminology which is used to describe the range of perceived flavors, aromas and general characteristics of a wine. In recent years, results challenging the reliability of wine tasting in both experts and consumers have surfaced. For example, studies showed that people expect more expensive wine to have more desirable characteristics than less expensive wine: When tasters are given wine that they are falsely told is expensive they virtually always report it as tasting better than","[('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine | wine')]","[('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine tasting'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine tasting | wine tasting'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine tasting | wine tasting'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine | wine'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine | a wine'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine | a wine')]","[0.5699999928474426, 0.7599999904632568, 0.8199999928474426, 0.20000000298023224, 0.23000000417232513, 0.6499999761581421]"
wine,134,studies,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards. Modern, professional wine tasters use a constantly evolving specialized terminology which is used to describe the range of perceived flavors, aromas and general characteristics of a wine. In recent years, results challenging the reliability of wine tasting in both experts and consumers have surfaced. For example, studies showed that people expect more expensive wine to have more desirable characteristics than less expensive wine: When tasters are given wine that they are falsely told is expensive they virtually always report it as tasting better than the very same wine when they are told that it is inexpensive. Other studies","[('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine | its')]","[('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine tasting'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine tasting | wine tasting'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine | its'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine | wine'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine | a wine'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine | a wine')]","[0.5699999928474426, 0.7599999904632568, 0.5600000023841858, 1.0, 0.23000000417232513, 1.0]"
wine,151,"origin,","Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards. Modern, professional wine tasters use a constantly evolving specialized terminology which is used to describe the range of perceived flavors, aromas and general characteristics of a wine. In recent years, results challenging the reliability of wine tasting in both experts and consumers have surfaced. For example, studies showed that people expect more expensive wine to have more desirable characteristics than less expensive wine: When tasters are given wine that they are falsely told is expensive they virtually always report it as tasting better than the very same wine when they are told that it is inexpensive. Other studies show that tasters' judgment can be prejudiced by knowing details of a wine, such as geographic origin,","[('Wine tasting descriptors | specialized terminology', 'facet of', '--NME-- | a wine')]","[('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine tasting'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine tasting | wine tasting'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine | wine'), ('Wine tasting descriptors | specialized terminology', 'facet of', '--NME-- | a wine'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine | a wine'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine | a wine')]","[0.5699999928474426, 0.7599999904632568, 1.0, 0.6700000166893005, 0.23000000417232513, 1.0]"
wine,152,"reputation,","Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards. Modern, professional wine tasters use a constantly evolving specialized terminology which is used to describe the range of perceived flavors, aromas and general characteristics of a wine. In recent years, results challenging the reliability of wine tasting in both experts and consumers have surfaced. For example, studies showed that people expect more expensive wine to have more desirable characteristics than less expensive wine: When tasters are given wine that they are falsely told is expensive they virtually always report it as tasting better than the very same wine when they are told that it is inexpensive. Other studies show that tasters' judgment can be prejudiced by knowing details of a wine, such as geographic origin, reputation,","[('Wine tasting descriptors | specialized terminology', 'facet of', 'Quality wines produced in specified regions | a wine')]","[('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine tasting'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine tasting | wine tasting'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine | wine'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Quality wines produced in specified regions | a wine'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine | a wine'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine | a wine')]","[0.5699999928474426, 0.7599999904632568, 1.0, 0.3700000047683716, 0.23000000417232513, 1.0]"
wine,153,or,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards. Modern, professional wine tasters use a constantly evolving specialized terminology which is used to describe the range of perceived flavors, aromas and general characteristics of a wine. In recent years, results challenging the reliability of wine tasting in both experts and consumers have surfaced. For example, studies showed that people expect more expensive wine to have more desirable characteristics than less expensive wine: When tasters are given wine that they are falsely told is expensive they virtually always report it as tasting better than the very same wine when they are told that it is inexpensive. Other studies show that tasters' judgment can be prejudiced by knowing details of a wine, such as geographic origin, reputation, or","[('Wine tasting descriptors | specialized terminology', 'facet of', 'Quality wines produced in specified regions | wine')]","[('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine tasting'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine tasting | wine tasting'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Quality wines produced in specified regions | wine'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine | wine'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Quality wines produced in specified regions | a wine'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine | a wine'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine | a wine')]","[0.5699999928474426, 0.7599999904632568, 0.9900000095367432, 1.0, 0.3799999952316284, 0.23000000417232513, 1.0]"
wine,175,the,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards. Modern, professional wine tasters use a constantly evolving specialized terminology which is used to describe the range of perceived flavors, aromas and general characteristics of a wine. In recent years, results challenging the reliability of wine tasting in both experts and consumers have surfaced. For example, studies showed that people expect more expensive wine to have more desirable characteristics than less expensive wine: When tasters are given wine that they are falsely told is expensive they virtually always report it as tasting better than the very same wine when they are told that it is inexpensive. Other studies show that tasters' judgment can be prejudiced by knowing details of a wine, such as geographic origin, reputation, or other considerations. Objective wine tasting therefore requires the wine to be served blind – that is, without the taster having seen the","[('Blind wine tasting | blind', 'facet of', '--NME-- | wine')]","[('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine tasting'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine tasting | wine tasting'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine | wine'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine | a wine'), ('Wine tasting descriptors | specialized terminology', 'facet of', 'Wine | a wine'), ('Blind wine tasting | blind', 'facet of', '--NME-- | wine')]","[0.5699999928474426, 0.7599999904632568, 1.0, 0.23000000417232513, 1.0, 0.75]"
