text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
beekeeping,16,hives.,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives.","[('Colony of Bees | hives', 'natural product of taxon', 'Bee | bee'), ('Colony of Bees | hives', 'facet of', 'Beekeeping')]","[('Colony of Bees | hives', 'facet of', 'Beekeeping'), ('Colony of Bees | hives', 'natural product of taxon', 'Bee | bee')]","[0.11999999731779099, 0.4099999964237213]"
beekeeping,18,species,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species","[('Colony of Bees | hives', 'found in taxon', 'Bee | bee')]","[('Colony of Bees | hives', 'natural product of taxon', 'Bee | bee'), ('Colony of Bees | hives', 'found in taxon', 'Bee | bee')]","[0.33000001311302185, 0.10999999940395355]"
beekeeping,19,most,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most","[('Colony (biology) | hives', 'natural product of taxon', 'Bee | bee')]","[('Colony (biology) | hives', 'natural product of taxon', 'Bee | bee')]",[0.14000000059604645]
beekeeping,20,commonly,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'found in taxon', 'Bee | bee'), ('Hives | hives', 'natural product of taxon', 'Bee | bee'), ('Hives | hives', 'facet of', 'Beekeeping')]","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'facet of', 'Beekeeping'), ('Hives | hives', 'natural product of taxon', 'Bee | bee'), ('Hives | hives', 'found in taxon', 'Bee | bee')]","[0.15000000596046448, 0.14000000059604645, 0.5099999904632568, 0.23000000417232513]"
beekeeping,23,bee,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee","[('Hives | hives', 'used by', 'Bee | bee')]","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'facet of', 'Beekeeping'), ('Hives | hives', 'natural product of taxon', 'Bee | bee'), ('Hives | hives', 'used by', 'Bee | bee'), ('Hives | hives', 'found in taxon', 'Bee | bee')]","[0.2800000011920929, 0.1599999964237213, 0.5099999904632568, 0.10000000149011612, 0.5199999809265137]"
beekeeping,24,colonies,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies","[('Colony (biology) | hives', 'used by', 'Beekeeping')]","[('Colony (biology) | hives', 'used by', 'Beekeeping'), ('Colony (biology) | hives', 'natural product of taxon', 'Bee | bee')]","[0.10000000149011612, 0.12999999523162842]"
beekeeping,26,honey,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey","[('Honey | honey', 'natural product of taxon', 'Bee | bee')]","[('Hives | hives', 'natural product of taxon', 'Bee | bee'), ('Hives | hives', 'found in taxon', 'Bee | bee'), ('Honey | honey', 'natural product of taxon', 'Bee | bee'), ('Honey | honey', 'natural product of taxon', 'Bee | bee')]","[0.27000001072883606, 0.14000000059604645, 0.3400000035762787, 0.9700000286102295]"
beekeeping,29,beekeeper,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper","[('Hives | hives', 'has use', 'Beekeeping')]","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'has use', 'Beekeeping')]","[0.36000001430511475, 0.10999999940395355]"
beekeeping,30,maintains,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains","[('Hives | hives', 'used by', 'Beekeeper | Beekeeping')]","[('Hives | hives', 'used by', 'Beekeeper | Beekeeping'), ('Hives | hives', 'natural product of taxon', 'Bee | bee')]","[0.2800000011920929, 0.10000000149011612]"
beekeeping,38,honey,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey","[('Hives | hives', 'subclass of', '--NME-- | colonies'), ('Hives | hives', 'used by', '--NME-- | colonies'), ('--NME-- | colonies', 'used by', 'Beekeeper | Beekeeping')]","[('--NME-- | colonies', 'used by', 'Beekeeper | Beekeeping'), ('Hives | hives', 'used by', 'Beekeeper | Beekeeping'), ('Hives | hives', 'natural product of taxon', 'Bee | bee'), ('Hives | hives', 'subclass of', '--NME-- | colonies'), ('Hives | hives', 'used by', '--NME-- | colonies')]","[0.10000000149011612, 0.25, 0.18000000715255737, 0.23999999463558197, 0.2199999988079071]"
beekeeping,41,products,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products","[('Honey | honey', 'used by', 'Beekeeper | beekeeper'), ('Hives | hives', 'different from', '--NME-- | colonies')]","[('Hives | hives', 'used by', 'Beekeeper | Beekeeping'), ('Hives | hives', 'subclass of', '--NME-- | colonies'), ('Hives | hives', 'used by', '--NME-- | colonies'), ('Hives | hives', 'different from', '--NME-- | colonies'), ('Honey | honey', 'used by', 'Beekeeper | beekeeper')]","[0.17000000178813934, 0.2199999988079071, 0.25999999046325684, 0.15000000596046448, 0.3700000047683716]"
beekeeping,42,that,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that","[('Honey | honey', 'used by', 'Beekeeper | Beekeeping')]","[('Hives | hives', 'used by', 'Beekeeper | Beekeeping'), ('Hives | hives', 'natural product of taxon', 'Bee | bee'), ('Hives | hives', 'subclass of', '--NME-- | colonies'), ('Hives | hives', 'used by', '--NME-- | colonies'), ('Honey | honey', 'used by', 'Beekeeper | Beekeeping'), ('Honey | honey', 'used by', 'Beekeeper | beekeeper')]","[0.25999999046325684, 0.20000000298023224, 0.20000000298023224, 0.23999999463558197, 0.10999999940395355, 0.3799999952316284]"
