text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
doping,11,drugs,"In competitive sports, doping is the use of banned performance-enhancing drugs","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs')]",[0.23999999463558197]
doping,16,term,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term","[('Doping in sport | doping', 'has cause', 'Performance-enhancing substance | performance-enhancing drugs')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'has cause', 'Performance-enhancing substance | performance-enhancing drugs')]","[0.11999999731779099, 0.4399999976158142]"
doping,23,which,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which","[('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs')]","[0.1899999976158142, 0.10000000149011612]"
doping,40,therefore,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore","[('Doping in association football | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in association football | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs')]","[('Doping in association football | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in association football | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs')]","[0.3100000023841858, 0.27000001072883606]"
doping,43,most,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most","[('--NME-- | unethical', 'facet of', 'Doping in sport | doping')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs'), ('--NME-- | unethical', 'facet of', 'Doping in sport | doping')]","[0.47999998927116394, 0.1599999964237213, 0.1899999976158142]"
doping,50,Olympic,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic","[('Performance-enhancing substance | performance-enhancing drugs', 'part of', 'Doping in sport | doping')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Performance-enhancing substance | performance-enhancing drugs', 'part of', 'Doping in sport | doping')]","[0.550000011920929, 0.1599999964237213, 0.14000000059604645]"
doping,51,Committee.,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee.","[('Doping in sport | doping', 'regulated by', 'International Olympic Committee')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'regulated by', 'International Olympic Committee')]","[0.2800000011920929, 0.23000000417232513, 0.12999999523162842]"
doping,55,take,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take","[('Performance-enhancing substance | performance-enhancing drugs', 'subclass of', 'Doping in sport | doping')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'regulated by', 'International Olympic Committee'), ('Performance-enhancing substance | performance-enhancing drugs', 'subclass of', 'Doping in sport | doping')]","[0.6399999856948853, 0.3400000035762787, 0.14000000059604645, 0.10999999940395355]"
doping,56,explicit,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit","[('Doping in sport | doping', 'organizer', 'International Olympic Committee')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'regulated by', 'International Olympic Committee'), ('Doping in sport | doping', 'organizer', 'International Olympic Committee'), ('Performance-enhancing substance | performance-enhancing drugs', 'subclass of', 'Doping in sport | doping')]","[0.4399999976158142, 0.38999998569488525, 0.14000000059604645, 0.10999999940395355, 0.10999999940395355]"
doping,64,violation,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation","[('Doping in sport | doping', 'has use', 'Performance-enhancing substance | performance-enhancing drugs')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'has use', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'regulated by', 'International Olympic Committee')]","[0.4699999988079071, 0.44999998807907104, 0.41999998688697815, 0.12999999523162842]"
doping,68,and,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and","[('Overt | overt', 'facet of', 'Doping in sport | doping'), ('Overt | overt', 'subclass of', 'Doping in sport | doping')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'has use', 'Performance-enhancing substance | performance-enhancing drugs'), ('Overt | overt', 'subclass of', 'Doping in sport | doping'), ('Overt | overt', 'facet of', 'Doping in sport | doping')]","[0.6100000143051147, 0.44999998807907104, 0.36000001430511475, 0.11999999731779099, 0.3199999928474426]"
doping,77,doping,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines recently, doping","[('Doping in sport | doping', 'facet of', 'Doping in sport | doping')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'has use', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Doping in sport | doping')]","[0.49000000953674316, 0.10999999940395355, 0.11999999731779099, 0.10000000149011612]"
doping,78,is,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines recently, doping is","[('Doping in sport | doping', 'part of', 'Doping in sport | doping')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'has use', 'Performance-enhancing substance | performance-enhancing drugs'), ('Performance-enhancing substance | performance-enhancing drugs', 'part of', 'Doping in sport | doping'), ('Doping in sport | doping', 'part of', 'Doping in sport | doping')]","[0.3700000047683716, 0.1599999964237213, 0.30000001192092896, 0.10000000149011612]"
doping,80,a,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines recently, doping is not a","[('Performance-enhancing substance | performance-enhancing drugs', 'facet of', 'Doping in sport | doping')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Performance-enhancing substance | performance-enhancing drugs', 'facet of', 'Doping in sport | doping'), ('Performance-enhancing substance | performance-enhancing drugs', 'part of', 'Doping in sport | doping'), ('Doping in sport | doping', 'part of', 'Doping in sport | doping')]","[0.6200000047683716, 0.12999999523162842, 0.10000000149011612, 0.3199999928474426, 0.20000000298023224]"
