text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
international,18,conservation,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]","[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.44999998807907104]
international,25,resources.,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources.,"[('International Union for Conservation of Nature', 'field of work', 'Protected area with sustainable use of natural resources | sustainable use of natural resources'), ('Protected area with sustainable use of natural resources | sustainable use of natural resources', 'facet of', 'Nature conservation | nature conservation')]","[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation'), ('International Union for Conservation of Nature', 'field of work', 'Protected area with sustainable use of natural resources | sustainable use of natural resources'), ('Protected area with sustainable use of natural resources | sustainable use of natural resources', 'facet of', 'Nature conservation | nature conservation')]","[0.3400000035762787, 0.18000000715255737, 0.20999999344348907]"
international,26,It,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It,"[('Protected area with sustainable use of natural resources | sustainable use of natural resources', 'subclass of', 'Nature conservation | nature conservation')]","[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation'), ('International Union for Conservation of Nature', 'field of work', 'Protected area with sustainable use of natural resources | sustainable use of natural resources'), ('Protected area with sustainable use of natural resources | sustainable use of natural resources', 'subclass of', 'Nature conservation | nature conservation'), ('Protected area with sustainable use of natural resources | sustainable use of natural resources', 'facet of', 'Nature conservation | nature conservation')]","[0.4699999988079071, 0.3199999928474426, 0.10999999940395355, 0.20000000298023224]"
international,30,data,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data,"[('International Union for Conservation of Nature', 'field of work', '--NME-- | sustainable use of natural resources')]","[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation'), ('International Union for Conservation of Nature', 'field of work', '--NME-- | sustainable use of natural resources')]","[0.46000000834465027, 0.14000000059604645]"
international,34,"research,","'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research,","[('International Union for Conservation of Nature', 'field of this occupation', 'Conservation biology | nature conservation'), ('International Union for Conservation of Nature', 'interested in', 'Conservation biology | nature conservation'), ('International Union for Conservation of Nature', 'field of work', 'Conservation biology | nature conservation')]","[('International Union for Conservation of Nature', 'field of work', 'Conservation biology | nature conservation'), ('International Union for Conservation of Nature', 'interested in', 'Conservation biology | nature conservation'), ('International Union for Conservation of Nature', 'field of this occupation', 'Conservation biology | nature conservation')]","[0.38999998569488525, 0.14000000059604645, 0.15000000596046448]"
international,35,field,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field","[('International Union for Conservation of Nature', 'field of work', '--NME-- | nature conservation')]","[('International Union for Conservation of Nature', 'field of work', '--NME-- | nature conservation')]",[0.25]
international,44,"influence,","'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects, advocacy, and education. Its mission is to influence,","[('--NME-- | sustainable use of natural resources', 'subclass of', '--NME-- | nature conservation'), ('International Union for Conservation of Nature', 'interested in', '--NME-- | nature conservation')]","[('International Union for Conservation of Nature', 'field of work', '--NME-- | nature conservation'), ('International Union for Conservation of Nature', 'interested in', '--NME-- | nature conservation'), ('--NME-- | sustainable use of natural resources', 'subclass of', '--NME-- | nature conservation')]","[0.20999999344348907, 0.12999999523162842, 0.11999999731779099]"
international,48,societies,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects, advocacy, and education. Its mission is to influence, encourage and assist societies","[('International Union for Conservation of Nature', 'field of this occupation', '--NME-- | sustainable use of natural resources'), ('International Union for Conservation of Nature', 'field of this occupation', '--NME-- | nature conservation')]","[('International Union for Conservation of Nature', 'field of work', '--NME-- | nature conservation'), ('International Union for Conservation of Nature', 'interested in', '--NME-- | nature conservation'), ('International Union for Conservation of Nature', 'field of this occupation', '--NME-- | nature conservation'), ('International Union for Conservation of Nature', 'field of this occupation', '--NME-- | sustainable use of natural resources'), ('--NME-- | sustainable use of natural resources', 'subclass of', '--NME-- | nature conservation')]","[0.17000000178813934, 0.20000000298023224, 0.11999999731779099, 0.10000000149011612, 0.10000000149011612]"
international,53,conserve,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects, advocacy, and education. Its mission is to influence, encourage and assist societies throughout the world to conserve","[('International Union for Conservation of Nature', 'field of this occupation', '--NME-- | sustainable use'), ('--NME-- | sustainable use', 'subclass of', '--NME-- | nature conservation')]","[('International Union for Conservation of Nature', 'field of work', '--NME-- | nature conservation'), ('International Union for Conservation of Nature', 'interested in', '--NME-- | nature conservation'), ('International Union for Conservation of Nature', 'field of this occupation', '--NME-- | nature conservation'), ('International Union for Conservation of Nature', 'field of this occupation', '--NME-- | sustainable use'), ('--NME-- | sustainable use', 'subclass of', '--NME-- | nature conservation')]","[0.20000000298023224, 0.18000000715255737, 0.12999999523162842, 0.12999999523162842, 0.3499999940395355]"
international,54,nature,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects, advocacy, and education. Its mission is to influence, encourage and assist societies throughout the world to conserve nature","[('Country | nature', 'field of work', 'Nature conservation | nature conservation'), ('International Union for Conservation of Nature', 'field of this occupation', 'Nature conservation | nature conservation')]","[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation'), ('International Union for Conservation of Nature', 'field of this occupation', 'Nature conservation | nature conservation'), ('International Union for Conservation of Nature', 'field of this occupation', '--NME-- | sustainable use of natural resources'), ('Country | nature', 'field of work', 'Nature conservation | nature conservation')]","[0.5099999904632568, 0.10000000149011612, 0.10999999940395355, 0.12999999523162842]"
