text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
janus,13,and,"In ancient Roman religion and myth, Janus is the god of beginnings and","[('Ancient Rome | ancient Roman', 'official religion', 'Religion in ancient Rome | ancient Roman religion'), ('Ancient Rome | ancient Roman', 'official religion', 'Religion in ancient Rome | religion'), ('Ancient Rome | ancient Roman', 'religion or worldview', 'Religion in ancient Rome | ancient Roman religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion')]","[('Ancient Rome | ancient Roman', 'religion or worldview', 'Religion in ancient Rome | ancient Roman religion'), ('Ancient Rome | ancient Roman', 'official religion', 'Religion in ancient Rome | ancient Roman religion'), ('Ancient Rome | ancient Roman', 'official religion', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion')]","[0.14000000059604645, 0.1599999964237213, 0.15000000596046448, 0.36000001430511475]"
janus,15,He,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He","[('Ancient Rome | ancient Roman', 'religion or worldview', 'Religion in ancient Rome | religion')]","[('Ancient Rome | ancient Roman', 'religion or worldview', 'Religion in ancient Rome | ancient Roman religion'), ('Ancient Rome | ancient Roman', 'official religion', 'Religion in ancient Rome | ancient Roman religion'), ('Ancient Rome | ancient Roman', 'religion or worldview', 'Religion in ancient Rome | religion'), ('Ancient Rome | ancient Roman', 'official religion', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion')]","[0.1899999976158142, 0.20000000298023224, 0.1599999964237213, 0.12999999523162842, 0.12999999523162842]"
janus,20,and,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and","[('Deity | god', 'facet of', 'Religion in ancient Rome | religion'), ('Janus', 'instance of', 'Deity | god'), ('Deity | god', 'facet of', 'Myth | myth'), ('Janus | He', 'instance of', 'Deity | god')]","[('Janus', 'instance of', 'Deity | god'), ('Deity | god', 'facet of', 'Religion in ancient Rome | religion'), ('Deity | god', 'facet of', 'Myth | myth'), ('Janus | He', 'instance of', 'Deity | god')]","[0.7900000214576721, 0.23999999463558197, 0.11999999731779099, 0.3199999928474426]"
janus,21,is,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is","[('Ancient Rome | ancient Roman', 'part of', 'Religion in ancient Rome | religion'), ('Janus | He', 'instance of', '--NME-- | god'), ('Janus', 'instance of', '--NME-- | god'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Myth | myth')]","[('Ancient Rome | ancient Roman', 'part of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Myth | myth'), ('Janus', 'instance of', '--NME-- | god'), ('Janus | He', 'instance of', '--NME-- | god')]","[0.1599999964237213, 0.33000001311302185, 0.2199999988079071, 0.5, 0.33000001311302185]"
janus,29,he,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion')]","[('Ancient Rome | ancient Roman', 'part of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion'), ('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion')]","[0.14000000059604645, 0.3199999928474426, 0.11999999731779099]"
janus,37,past.,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past.","[('Janus', 'instance of', 'Myth | myth')]","[('Ancient Rome | ancient Roman', 'part of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Myth | myth'), ('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus', 'instance of', 'Myth | myth')]","[0.18000000715255737, 0.10999999940395355, 0.14000000059604645, 0.10999999940395355, 0.17000000178813934]"
janus,38,Janus,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus","[('Janus', 'part of', 'Ancient Rome | ancient Roman')]","[('Ancient Rome | ancient Roman', 'part of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion'), ('Janus', 'part of', 'Ancient Rome | ancient Roman'), ('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion')]","[0.20000000298023224, 0.12999999523162842, 0.11999999731779099, 0.18000000715255737]"
janus,41,the,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the","[('Religion in ancient Rome | ancient Roman religion', 'subclass of', '--NME-- | god')]","[('Ancient Rome | ancient Roman', 'part of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', '--NME-- | god'), ('Janus', 'part of', 'Ancient Rome | ancient Roman'), ('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus', 'instance of', '--NME-- | god')]","[0.12999999523162842, 0.2199999988079071, 0.11999999731779099, 0.12999999523162842, 0.10999999940395355, 0.4000000059604645]"
janus,46,"conflict,","In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict,","[('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Deity | god')]","[('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Deity | god'), ('Janus', 'part of', 'Ancient Rome | ancient Roman'), ('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus', 'instance of', 'Deity | god')]","[0.15000000596046448, 0.12999999523162842, 0.1599999964237213, 0.5]"
janus,56,temple,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his temple","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman')]","[('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Myth | myth'), ('Janus', 'part of', 'Religion in ancient Rome | ancient Roman'), ('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus', 'instance of', 'Myth | myth')]","[0.10999999940395355, 0.17000000178813934, 0.10999999940395355, 0.23000000417232513]"
janus,57,were,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his temple were","[('Religion in ancient Rome | ancient Roman', 'subclass of', 'Religion in ancient Rome | religion'), ('Janus | the god of beginnings and gates', 'part of', 'Religion in ancient Rome | ancient Roman')]","[('Religion in ancient Rome | ancient Roman', 'subclass of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Myth | myth'), ('Janus', 'part of', 'Religion in ancient Rome | ancient Roman'), ('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus', 'instance of', 'Myth | myth'), ('Janus | the god of beginnings and gates', 'part of', 'Religion in ancient Rome | ancient Roman')]","[0.15000000596046448, 0.10999999940395355, 0.12999999523162842, 0.25999999046325684, 0.1899999976158142, 0.10999999940395355, 0.12999999523162842]"
janus,59,in,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his temple were open in","[('Janus', 'time period', 'Ancient Rome | ancient Roman'), ('Janus | the god of beginnings and gates', 'part of', 'Ancient Rome | ancient Roman')]","[('Ancient Rome | ancient Roman', 'part of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion'), ('Janus', 'time period', 'Ancient Rome | ancient Roman'), ('Janus', 'part of', 'Ancient Rome | ancient Roman'), ('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus', 'instance of', 'Myth | myth'), ('Janus | the god of beginnings and gates', 'part of', 'Ancient Rome | ancient Roman')]","[0.12999999523162842, 0.15000000596046448, 0.10999999940395355, 0.1599999964237213, 0.25, 0.23000000417232513, 0.14000000059604645]"
janus,65,during,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his temple were open in times of war and closed during","[('Janus', 'time period', 'Religion in ancient Rome | ancient Roman'), ('Religion in ancient Rome | ancient Roman', 'part of', 'Religion in ancient Rome | religion')]","[('Religion in ancient Rome | ancient Roman', 'part of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion'), ('Janus', 'time period', 'Religion in ancient Rome | ancient Roman'), ('Janus', 'part of', 'Religion in ancient Rome | ancient Roman'), ('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', 'Religion in ancient Rome | ancient Roman')]","[0.11999999731779099, 0.4099999964237213, 0.17000000178813934, 0.20000000298023224, 0.1599999964237213, 0.12999999523162842]"
janus,66,peacetime.,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his temple were open in times of war and closed during peacetime.","[('Janus | the god of beginnings and gates', 'time period', 'Religion in ancient Rome | ancient Roman')]","[('Religion in ancient Rome | ancient Roman', 'part of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion'), ('Janus', 'time period', 'Religion in ancient Rome | ancient Roman'), ('Janus', 'part of', 'Religion in ancient Rome | ancient Roman'), ('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'time period', 'Religion in ancient Rome | ancient Roman'), ('Janus | the god of beginnings and gates', 'part of', 'Religion in ancient Rome | ancient Roman')]","[0.10999999940395355, 0.36000001430511475, 0.1899999976158142, 0.2199999988079071, 0.17000000178813934, 0.10000000149011612, 0.15000000596046448]"
janus,84,Janus,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his temple were open in times of war and closed during peacetime. As the god of gates, he was also associated with entering and exiting the doors of homes. Janus","[('--NME-- | god', 'part of', 'Religion in ancient Rome | ancient Roman religion')]","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus', 'instance of', '--NME-- | god'), ('--NME-- | god', 'part of', 'Religion in ancient Rome | ancient Roman religion')]","[0.4000000059604645, 0.36000001430511475, 0.11999999731779099]"
janus,86,symbolized,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his temple were open in times of war and closed during peacetime. As the god of gates, he was also associated with entering and exiting the doors of homes. Janus frequently symbolized","[('Janus', 'part of', '--NME-- | god')]","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus', 'part of', '--NME-- | god'), ('Janus', 'instance of', '--NME-- | god'), ('--NME-- | god', 'part of', 'Religion in ancient Rome | ancient Roman religion')]","[0.3799999952316284, 0.11999999731779099, 0.3700000047683716, 0.12999999523162842]"
janus,98,"another,","In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his temple were open in times of war and closed during peacetime. As the god of gates, he was also associated with entering and exiting the doors of homes. Janus frequently symbolized change and transitions, such as the progress from one condition to another,","[('Deity | god', 'part of', 'Religion | myth'), ('Janus', 'part of', 'Religion | myth'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion | myth'), ('Deity | god', 'facet of', 'Religion | myth')]","[('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion | myth'), ('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus', 'part of', 'Religion | myth'), ('Janus', 'instance of', 'Deity | god'), ('Deity | god', 'part of', 'Religion | myth'), ('Deity | god', 'facet of', 'Religion | myth')]","[0.41999998688697815, 0.5699999928474426, 0.23000000417232513, 0.5799999833106995, 0.33000001311302185, 0.15000000596046448]"
janus,107,of,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his temple were open in times of war and closed during peacetime. As the god of gates, he was also associated with entering and exiting the doors of homes. Janus frequently symbolized change and transitions, such as the progress from one condition to another, from one vision to another, and the growth of","[('--NME-- | god', 'part of', 'Religion | myth')]","[('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion | myth'), ('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus', 'part of', 'Religion | myth'), ('Janus', 'part of', '--NME-- | god'), ('Janus', 'instance of', '--NME-- | god'), ('--NME-- | god', 'part of', 'Religion | myth')]","[0.4399999976158142, 0.6899999976158142, 0.3400000035762787, 0.11999999731779099, 0.5699999928474426, 0.28999999165534973]"
janus,110,into,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his temple were open in times of war and closed during peacetime. As the god of gates, he was also associated with entering and exiting the doors of homes. Janus frequently symbolized change and transitions, such as the progress from one condition to another, from one vision to another, and the growth of young people into","[('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Roman mythology | myth'), ('Janus', 'part of', 'Roman mythology | myth'), ('--NME-- | god', 'part of', 'Roman mythology | myth')]","[('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Roman mythology | myth'), ('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus', 'part of', 'Roman mythology | myth'), ('Janus', 'part of', '--NME-- | god'), ('Janus', 'instance of', '--NME-- | god'), ('--NME-- | god', 'part of', 'Roman mythology | myth')]","[0.4000000059604645, 0.6299999952316284, 0.4000000059604645, 0.10999999940395355, 0.5699999928474426, 0.30000001192092896]"
janus,116,at,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his temple were open in times of war and closed during peacetime. As the god of gates, he was also associated with entering and exiting the doors of homes. Janus frequently symbolized change and transitions, such as the progress from one condition to another, from one vision to another, and the growth of young people into adulthood. Hence, Janus was worshipped at","[('Religion in ancient Rome | Roman religion', 'time period', 'Religion in ancient Rome | Roman'), ('Janus', 'part of', 'Religion in ancient Rome | Roman religion')]","[('Religion in ancient Rome | Roman religion', 'time period', 'Religion in ancient Rome | Roman'), ('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus', 'part of', 'Religion in ancient Rome | Roman religion')]","[0.18000000715255737, 0.7099999785423279, 0.23999999463558197]"
janus,123,planting,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his temple were open in times of war and closed during peacetime. As the god of gates, he was also associated with entering and exiting the doors of homes. Janus frequently symbolized change and transitions, such as the progress from one condition to another, from one vision to another, and the growth of young people into adulthood. Hence, Janus was worshipped at the beginning of the harvest and planting","[('Janus | his', 'dedicated to', 'Janus'), ('Janus', 'dedicated to', 'Janus')]","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus | his', 'dedicated to', 'Janus'), ('Janus', 'dedicated to', 'Janus')]","[0.7099999785423279, 0.23000000417232513, 0.10000000149011612]"
janus,150,ceremonies.,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his temple were open in times of war and closed during peacetime. As the god of gates, he was also associated with entering and exiting the doors of homes. Janus frequently symbolized change and transitions, such as the progress from one condition to another, from one vision to another, and the growth of young people into adulthood. Hence, Janus was worshipped at the beginning of the harvest and planting times, as well as at marriages, deaths, and other beginnings. Janus had no specialized priest assigned to him, but the high priest himself carried out his ceremonies.","[('Janus | him', 'dedicated to', 'Janus')]","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus | him', 'dedicated to', 'Janus'), ('Janus | his', 'dedicated to', 'Janus')]","[0.7099999785423279, 0.10999999940395355, 0.10000000149011612]"
janus,169,Greeks,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his temple were open in times of war and closed during peacetime. As the god of gates, he was also associated with entering and exiting the doors of homes. Janus frequently symbolized change and transitions, such as the progress from one condition to another, from one vision to another, and the growth of young people into adulthood. Hence, Janus was worshipped at the beginning of the harvest and planting times, as well as at marriages, deaths, and other beginnings. Janus had no specialized priest assigned to him, but the high priest himself carried out his ceremonies. Janus represented the middle ground between barbarism and civilization, rural and urban space, youth and adulthood. The ancient Greeks","[('Lingam | Greeks', 'ethnic group', 'Lingam | ancient Greeks'), ('Lingam | ancient Greeks', 'ethnic group', 'Lingam | Greeks'), ('Lingam | Greeks', 'country', 'Lingam | ancient Greeks'), ('Lingam | ancient Greeks', 'indigenous to', 'Lingam | Greeks'), ('Lingam | Greeks', 'ethnic group', 'Lingam | Greeks')]","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Lingam | ancient Greeks', 'ethnic group', 'Lingam | Greeks'), ('Lingam | ancient Greeks', 'indigenous to', 'Lingam | Greeks'), ('Lingam | Greeks', 'country', 'Lingam | ancient Greeks'), ('Lingam | Greeks', 'ethnic group', 'Lingam | ancient Greeks'), ('Lingam | Greeks', 'ethnic group', 'Lingam | Greeks')]","[0.7099999785423279, 0.38999998569488525, 0.47999998927116394, 0.10999999940395355, 0.6600000262260437, 0.14000000059604645]"
