text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
monocle,5,type,A monocle is a type,"[('Monocle | monocle', 'instance of', 'Type system | type')]","[('Monocle | monocle', 'instance of', 'Type system | type')]",[0.10000000149011612]
monocle,8,lens,A monocle is a type of corrective lens,"[('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]",[0.5299999713897705]
monocle,9,used,A monocle is a type of corrective lens used,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.10999999940395355, 0.7400000095367432]"
monocle,10,to,A monocle is a type of corrective lens used to,"[('Monocle | monocle', 'has use', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.12999999523162842, 0.17000000178813934, 0.7099999785423279]"
monocle,30,ring,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring","[('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens')]","[0.23000000417232513, 0.47999998927116394, 0.25999999046325684, 0.20000000298023224]"
monocle,31,around,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around","[('Glasses | lens', 'part of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Glasses | lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Glasses | lens'), ('Glasses | lens', 'part of', 'Corrective lens | corrective lens')]","[0.3799999952316284, 0.5199999809265137, 0.12999999523162842, 0.10999999940395355]"
monocle,32,the,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the","[('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Lens | lens', 'used by', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Lens | lens', 'used by', 'Corrective lens | corrective lens')]","[0.33000001311302185, 0.5, 0.11999999731779099, 0.28999999165534973, 0.18000000715255737, 0.11999999731779099]"
monocle,37,attached,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached","[('Monocle | monocle', 'instance of', 'Lens | lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Monocle | monocle', 'instance of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens')]","[0.5099999904632568, 0.7400000095367432, 0.3400000035762787, 0.20999999344348907, 0.6700000166893005, 0.25999999046325684]"
monocle,44,other,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other","[('Corrective lens | corrective lens', 'part of', 'Lens | lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Monocle | monocle', 'instance of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Corrective lens | corrective lens', 'part of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens')]","[0.5400000214576721, 0.699999988079071, 0.3799999952316284, 0.18000000715255737, 0.6299999952316284, 0.10000000149011612, 0.27000001072883606]"
monocle,67,monocle,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle","[('Monocle | It', 'instance of', 'Lens | lens'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | It', 'subclass of', 'Lens | lens'), ('Monocle | the monocle', 'instance of', 'Lens | lens'), ('Monocle | the monocle', 'subclass of', 'Lens | lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Monocle | monocle', 'instance of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | It', 'subclass of', 'Lens | lens'), ('Monocle | It', 'instance of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Lens | lens', 'used by', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'subclass of', 'Lens | lens'), ('Monocle | the monocle', 'instance of', 'Lens | lens')]","[0.5, 0.7300000190734863, 0.4000000059604645, 0.25999999046325684, 0.6200000047683716, 0.1599999964237213, 0.3400000035762787, 0.5799999833106995, 0.17000000178813934, 0.12999999523162842, 0.3199999928474426, 0.4699999988079071]"
