text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
shaka,11,gesture,"The shaka sign, sometimes known as 'hang loose', is a gesture","[('Shaka sign | shaka sign', 'instance of', 'Gesture | gesture')]","[('Shaka sign | shaka sign', 'instance of', 'Gesture | gesture')]",[0.20999999344348907]
shaka,12,of,"The shaka sign, sometimes known as 'hang loose', is a gesture of","[('Shaka | shaka', 'motto', 'Shaka | shaka')]","[('Shaka | shaka', 'motto', 'Shaka | shaka')]",[0.17000000178813934]
shaka,23,gesture,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture","[('Surf culture | surf culture', 'location', 'Hawaii')]","[('Surf culture | surf culture', 'location', 'Hawaii')]",[0.15000000596046448]
shaka,24,is,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is","[('Shaka sign | shaka sign', 'instance of', 'Gang sign | gesture')]","[('Shaka sign | shaka sign', 'instance of', 'Gang sign | gesture'), ('Surf culture | surf culture', 'location', 'Hawaii')]","[0.49000000953674316, 0.11999999731779099]"
shaka,26,by,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by","[('Shaka sign | shaka sign', 'instance of', '--NME-- | gesture'), ('Hawaii', 'instance of', 'Surf culture | surf culture')]","[('Shaka sign | shaka sign', 'instance of', '--NME-- | gesture'), ('Hawaii', 'instance of', 'Surf culture | surf culture'), ('Surf culture | surf culture', 'location', 'Hawaii')]","[0.550000011920929, 0.10999999940395355, 0.14000000059604645]"
shaka,28,the,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the","[('Intention | friendly intent', 'subclass of', 'Intention | gesture'), ('Shaka sign | shaka sign', 'instance of', 'Intention | gesture')]","[('Shaka sign | shaka sign', 'instance of', 'Intention | gesture'), ('Intention | friendly intent', 'subclass of', 'Intention | gesture'), ('Surf culture | surf culture', 'location', 'Hawaii')]","[0.5400000214576721, 0.11999999731779099, 0.23000000417232513]"
shaka,29,thumb,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb","[('Shaka sign | shaka sign', 'represents', 'Hawaii')]","[('Shaka sign | shaka sign', 'instance of', '--NME-- | gesture'), ('Shaka sign | shaka sign', 'represents', 'Hawaii'), ('Hawaii', 'instance of', 'Surf culture | surf culture'), ('Surf culture | surf culture', 'location', 'Hawaii')]","[0.5199999809265137, 0.4300000071525574, 0.25999999046325684, 0.14000000059604645]"
shaka,34,holding,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding","[('Shaka sign | shaka sign', 'subclass of', '--NME-- | gesture')]","[('Shaka sign | shaka sign', 'subclass of', '--NME-- | gesture'), ('Shaka sign | shaka sign', 'instance of', '--NME-- | gesture'), ('Shaka sign | shaka sign', 'represents', 'Hawaii'), ('Hawaii', 'instance of', 'Surf culture | surf culture'), ('Surf culture | surf culture', 'location', 'Hawaii')]","[0.10999999940395355, 0.6000000238418579, 0.10999999940395355, 0.3700000047683716, 0.20999999344348907]"
shaka,36,three,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three","[('Shaka sign | shaka sign', 'subclass of', 'Intention | gesture')]","[('Shaka sign | shaka sign', 'subclass of', 'Intention | gesture'), ('Shaka sign | shaka sign', 'instance of', 'Intention | gesture'), ('Shaka sign | shaka sign', 'represents', 'Hawaii'), ('Hawaii', 'instance of', 'Surf culture | surf culture'), ('Surf culture | surf culture', 'location', 'Hawaii')]","[0.11999999731779099, 0.6299999952316284, 0.2199999988079071, 0.3799999952316284, 0.18000000715255737]"
shaka,39,curled,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three middle fingers curled","[('Shaka sign | shaka sign', 'instance of', 'Thumb signal | gesture'), ('Middle finger | middle fingers', 'facet of', 'Thumb signal | gesture'), ('Middle finger | middle fingers', 'part of', 'Thumb signal | gesture')]","[('Shaka sign | shaka sign', 'instance of', 'Thumb signal | gesture'), ('Shaka sign | shaka sign', 'represents', 'Hawaii'), ('Middle finger | middle fingers', 'facet of', 'Thumb signal | gesture'), ('Middle finger | middle fingers', 'part of', 'Thumb signal | gesture')]","[0.44999998807907104, 0.30000001192092896, 0.11999999731779099, 0.1599999964237213]"
shaka,43,salutation,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three middle fingers curled and gesturing in salutation","[('Greetings and Salutations | salutation', 'location', 'Hawaii')]","[('Shaka sign | shaka sign', 'represents', 'Hawaii'), ('Greetings and Salutations | salutation', 'location', 'Hawaii')]","[0.23000000417232513, 0.15000000596046448]"
shaka,45,presenting,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three middle fingers curled and gesturing in salutation while presenting","[('--NME-- | Hawaii', 'instance of', 'Surf culture | surf culture'), ('--NME-- | Hawaii', 'facet of', 'Surf culture | surf culture'), ('--NME-- | Hawaii', 'subclass of', 'Surf culture | surf culture')]","[('--NME-- | Hawaii', 'subclass of', 'Surf culture | surf culture'), ('--NME-- | Hawaii', 'facet of', 'Surf culture | surf culture'), ('--NME-- | Hawaii', 'instance of', 'Surf culture | surf culture')]","[0.17000000178813934, 0.10999999940395355, 0.6000000238418579]"
shaka,52,hand;,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three middle fingers curled and gesturing in salutation while presenting the front or back of the hand;","[('Hawaii', 'part of', 'Surf culture | surf culture')]","[('Hawaii', 'instance of', 'Surf culture | surf culture'), ('Hawaii', 'part of', 'Surf culture | surf culture'), ('Surf culture | surf culture', 'location', 'Hawaii')]","[0.5699999928474426, 0.10999999940395355, 0.20000000298023224]"
