text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
thylacine,9,of,The thylacine was the largest known carnivorous marsupial of,"[('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial')]","[('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial')]",[0.5899999737739563]
thylacine,11,times.,The thylacine was the largest known carnivorous marsupial of modern times.,"[('Carnivore | carnivorous', 'subclass of', 'Marsupial | marsupial')]","[('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial'), ('Carnivore | carnivorous', 'subclass of', 'Marsupial | marsupial')]","[0.4300000071525574, 0.28999999165534973]"
thylacine,20,because,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because,"[('Ty the Tasmanian Tiger | Tasmanian tiger', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | thylacine', 'subclass of', 'Marsupial | marsupial'), ('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian')]","[('Thylacine | thylacine', 'subclass of', 'Marsupial | marsupial'), ('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Ty the Tasmanian Tiger | Tasmanian tiger', 'endemic to', 'Tasmanian devil | Tasmanian')]","[0.4000000059604645, 0.33000001311302185, 0.800000011920929]"
thylacine,22,its,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its,"[('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian')]","[('Thylacine | thylacine', 'subclass of', 'Marsupial | marsupial'), ('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Ty the Tasmanian Tiger | Tasmanian tiger', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian')]","[0.2800000011920929, 0.38999998569488525, 0.800000011920929, 0.4099999964237213]"
thylacine,24,lower,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower,"[('Thylacine | its', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | It', 'endemic to', '--NME-- | Tasmanian'), ('Ty the Tasmanian Tiger | Tasmanian tiger', 'endemic to', '--NME-- | Tasmanian')]","[('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial'), ('Thylacine | It', 'endemic to', '--NME-- | Tasmanian'), ('Ty the Tasmanian Tiger | Tasmanian tiger', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | its', 'endemic to', '--NME-- | Tasmanian')]","[0.18000000715255737, 0.44999998807907104, 0.7400000095367432, 0.47999998927116394]"
thylacine,25,"back,","The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back,","[('Ty the Tasmanian Tiger | Tasmanian tiger', 'taxon range', '--NME-- | Tasmanian')]","[('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial'), ('Thylacine | It', 'endemic to', '--NME-- | Tasmanian'), ('Ty the Tasmanian Tiger | Tasmanian tiger', 'endemic to', '--NME-- | Tasmanian'), ('Ty the Tasmanian Tiger | Tasmanian tiger', 'taxon range', '--NME-- | Tasmanian'), ('Thylacine | its', 'endemic to', '--NME-- | Tasmanian')]","[0.23000000417232513, 0.3799999952316284, 0.7599999904632568, 0.1599999964237213, 0.33000001311302185]"
thylacine,28,Tasmanian,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian","[('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Ty the Tasmanian Tiger | Tasmanian tiger', 'endemic to', 'Tasmania | Tasmanian')]","[('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial'), ('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Ty the Tasmanian Tiger | Tasmanian tiger', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian')]","[0.2800000011920929, 0.12999999523162842, 0.800000011920929, 0.23999999463558197]"
thylacine,29,wolf,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf","[('Tasmanian devil | Tasmanian', 'endemic to', 'Tasmanian devil | Tasmanian')]","[('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial'), ('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Tasmanian devil | Tasmanian', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Tasmanian devil | Tasmanian', 'endemic to', 'Tasmanian devil | Tasmanian')]","[0.23999999463558197, 0.20000000298023224, 0.2199999988079071, 0.3199999928474426, 0.20000000298023224]"
thylacine,33,canine-like,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like","[('Canine tooth | canine', 'subclass of', 'Marsupial | marsupial')]","[('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial'), ('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | It', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | its', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | its', 'endemic to', '--NME-- | Tasmanian'), ('Canine tooth | canine', 'subclass of', 'Marsupial | marsupial')]","[0.28999999165534973, 0.3100000023841858, 0.12999999523162842, 0.41999998688697815, 0.2199999988079071, 0.23999999463558197, 0.18000000715255737, 0.20000000298023224]"
thylacine,42,"Tasmania,","The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like appearance, traits and attributes. Native to continental Australia, Tasmania,","[('Tasmania', 'country', 'Australia'), ('Tasmania', 'location', 'Australia'), ('Tasmania', 'part of', 'Australia'), ('Tasmania | Tasmanian', 'location', 'Tasmania | Tasmanian')]","[('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Tasmania | Tasmanian', 'location', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Tasmania', 'part of', 'Australia'), ('Tasmania', 'country', 'Australia'), ('Tasmania', 'location', 'Australia')]","[0.25999999046325684, 0.10999999940395355, 0.10999999940395355, 0.3199999928474426, 0.9599999785423279, 0.9900000095367432, 1.0]"
thylacine,45,"Guinea,","The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like appearance, traits and attributes. Native to continental Australia, Tasmania, and New Guinea,","[('Thylacine | The thylacine', 'instance of', 'Marsupial | marsupial'), ('Tasmania | Tasmanian', 'location', 'Australia'), ('Tasmania', 'part of', 'New Guinea'), ('New Guinea', 'country', 'Australia'), ('New Guinea', 'location', 'Australia')]","[('Thylacine | The thylacine', 'instance of', 'Marsupial | marsupial'), ('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Tasmania | Tasmanian', 'location', 'Australia'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Tasmania', 'part of', 'Australia'), ('Tasmania', 'country', 'Australia'), ('Tasmania', 'location', 'Australia'), ('Tasmania', 'part of', 'New Guinea'), ('New Guinea', 'country', 'Australia'), ('New Guinea', 'location', 'Australia')]","[0.10999999940395355, 0.10000000149011612, 0.4099999964237213, 0.4399999976158142, 0.12999999523162842, 0.4399999976158142, 0.15000000596046448, 0.8999999761581421, 0.9800000190734863, 1.0, 0.10000000149011612, 0.23999999463558197, 0.15000000596046448]"
