text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
wed,19,principal,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal,"[('World Environment Day | WED', 'conferred by', 'United Nations | United Nation'), ('World Environment Day', 'conferred by', 'United Nations | United Nation')]","[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]","[0.18000000715255737, 0.17000000178813934]"
wed,20,vehicle,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle,"[('World Environment Day | WED', 'conferred by', 'United Nations Environment Programme | United Nation'), ('World Environment Day', 'conferred by', 'United Nations Environment Programme | United Nation')]","[('World Environment Day', 'conferred by', 'United Nations Environment Programme | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations Environment Programme | United Nation')]","[0.5299999713897705, 0.550000011920929]"
wed,24,and,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and,"[('World Wildlife Day | WED', 'conferred by', 'United Nations | United Nation')]","[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Wildlife Day | WED', 'conferred by', 'United Nations | United Nation')]","[0.3799999952316284, 0.36000001430511475]"
wed,51,"pollution,","World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution,","[('Marine pollution | marine pollution', 'statement is subject of', 'World Environment Day'), ('Marine pollution | marine pollution', 'statement is subject of', 'World Environment Day | WED')]","[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations | United Nation'), ('Marine pollution | marine pollution', 'statement is subject of', 'World Environment Day'), ('Marine pollution | marine pollution', 'statement is subject of', 'World Environment Day | WED')]","[0.47999998927116394, 0.25999999046325684, 0.10999999940395355, 0.18000000715255737]"
wed,53,"overpopulation,","World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation,","[('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day'), ('Human overpopulation | human overpopulation', 'subclass of', 'Human overpopulation | human overpopulation')]","[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations | United Nation'), ('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day'), ('Human overpopulation | human overpopulation', 'subclass of', 'Human overpopulation | human overpopulation')]","[0.6299999952316284, 0.4000000059604645, 0.10999999940395355, 0.10999999940395355]"
wed,57,WED,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED","[('United Nations | United Nation', 'significant event', 'World Environment Day | WED'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day | WED'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day')]","[('United Nations | United Nation', 'significant event', 'World Environment Day | WED'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day | WED')]","[0.1599999964237213, 0.10999999940395355, 0.12999999523162842]"
wed,61,become,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become","[('United Nations | United Nation', 'statement is subject of', 'World Environment Day')]","[('United Nations | United Nation', 'statement is subject of', 'World Environment Day'), ('United Nations | United Nation', 'significant event', 'World Environment Day | WED'), ('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day')]","[0.10000000149011612, 0.15000000596046448, 0.12999999523162842, 0.20999999344348907]"
wed,78,WED,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED","[('World Environment Day | WED', 'instance of', 'World Environment Day | WED')]","[('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day'), ('World Environment Day | WED', 'instance of', 'World Environment Day | WED')]","[0.1899999976158142, 0.3100000023841858, 0.11999999731779099]"
wed,79,chooses,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses","[('--NME-- | WED', 'instance of', '--NME-- | WED')]","[('Climate change | global warming', 'statement is subject of', 'World Environment Day'), ('--NME-- | WED', 'instance of', '--NME-- | WED')]","[0.20000000298023224, 0.23000000417232513]"
wed,87,"organizations,","World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations,","[('--NME-- | marine pollution', 'statement is subject of', 'World Environment Day')]","[('--NME-- | marine pollution', 'statement is subject of', 'World Environment Day'), ('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day | WED'), ('--NME-- | WED', 'instance of', '--NME-- | WED')]","[0.10999999940395355, 0.14000000059604645, 0.6100000143051147, 0.47999998927116394, 0.1899999976158142]"
wed,88,"communities,","World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities,","[('--NME-- | non-governmental organizations', 'part of', 'United Nations | United Nation')]","[('United Nations | United Nation', 'statement is subject of', 'World Environment Day'), ('--NME-- | marine pollution', 'statement is subject of', 'World Environment Day'), ('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day | WED'), ('--NME-- | WED', 'instance of', '--NME-- | WED'), ('--NME-- | non-governmental organizations', 'part of', 'United Nations | United Nation')]","[0.10999999940395355, 0.11999999731779099, 0.18000000715255737, 0.6100000143051147, 0.38999998569488525, 0.25, 0.10000000149011612]"
wed,90,and,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments and","[('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day | WED')]","[('--NME-- | marine pollution', 'statement is subject of', 'World Environment Day'), ('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day'), ('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day | WED'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day | WED'), ('--NME-- | WED', 'instance of', '--NME-- | WED')]","[0.12999999523162842, 0.1899999976158142, 0.10000000149011612, 0.6499999761581421, 0.4399999976158142, 0.2199999988079071]"
wed,91,celebrities,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments and celebrities","[('--NME-- | marine pollution', 'statement is subject of', 'World Environment Day | WED')]","[('--NME-- | marine pollution', 'statement is subject of', 'World Environment Day'), ('--NME-- | marine pollution', 'statement is subject of', 'World Environment Day | WED'), ('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day'), ('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day | WED'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day | WED'), ('--NME-- | WED', 'instance of', '--NME-- | WED'), ('--NME-- | non-governmental organizations', 'part of', 'United Nations | United Nation')]","[0.12999999523162842, 0.10000000149011612, 0.1899999976158142, 0.10999999940395355, 0.6299999952316284, 0.46000000834465027, 0.1899999976158142, 0.14000000059604645]"
wed,96,environmental,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments and celebrities worldwide adopt to advocate environmental","[('United Nations | United Nation', 'statement is subject of', 'World Environment Day | WED')]","[('United Nations | United Nation', 'statement is subject of', 'World Environment Day'), ('United Nations | United Nation', 'statement is subject of', 'World Environment Day | WED'), ('--NME-- | marine pollution', 'statement is subject of', 'World Environment Day'), ('--NME-- | marine pollution', 'statement is subject of', 'World Environment Day | WED'), ('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day'), ('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day | WED'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day | WED'), ('World Environment Day | WED', 'instance of', 'World Environment Day | WED'), ('--NME-- | non-governmental organizations', 'part of', 'United Nations | United Nation')]","[0.14000000059604645, 0.10999999940395355, 0.2199999988079071, 0.1599999964237213, 0.25, 0.14000000059604645, 0.7300000190734863, 0.5400000214576721, 0.11999999731779099, 0.10999999940395355]"
wed,97,causes.,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments and celebrities worldwide adopt to advocate environmental causes.","[('--NME-- | governments', 'part of', 'United Nations | United Nation')]","[('United Nations | United Nation', 'statement is subject of', 'World Environment Day'), ('United Nations | United Nation', 'statement is subject of', 'World Environment Day | WED'), ('--NME-- | marine pollution', 'statement is subject of', 'World Environment Day'), ('--NME-- | marine pollution', 'statement is subject of', 'World Environment Day | WED'), ('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day'), ('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day | WED'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day | WED'), ('World Environment Day | WED', 'instance of', 'World Environment Day | WED'), ('--NME-- | non-governmental organizations', 'part of', 'United Nations | United Nation'), ('--NME-- | governments', 'part of', 'United Nations | United Nation')]","[0.12999999523162842, 0.10999999940395355, 0.2199999988079071, 0.1599999964237213, 0.25, 0.1599999964237213, 0.7400000095367432, 0.5899999737739563, 0.10999999940395355, 0.12999999523162842, 0.18000000715255737]"
wed,103,2018,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments and celebrities worldwide adopt to advocate environmental causes. For example, the theme for 2018","[('--NME-- | marine pollution', 'facet of', 'Climate change | global warming')]","[('United Nations | United Nation', 'statement is subject of', 'World Environment Day'), ('--NME-- | marine pollution', 'statement is subject of', 'World Environment Day'), ('--NME-- | marine pollution', 'statement is subject of', 'World Environment Day | WED'), ('--NME-- | marine pollution', 'facet of', 'Climate change | global warming'), ('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day'), ('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day | WED'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day | WED'), ('--NME-- | WED', 'instance of', '--NME-- | WED'), ('--NME-- | non-governmental organizations', 'part of', 'United Nations | United Nation')]","[0.10999999940395355, 0.17000000178813934, 0.11999999731779099, 0.14000000059604645, 0.2199999988079071, 0.11999999731779099, 0.8100000023841858, 0.7300000190734863, 0.10000000149011612, 0.11999999731779099]"
wed,104,is,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments and celebrities worldwide adopt to advocate environmental causes. For example, the theme for 2018 is","[('Human overpopulation | human overpopulation', 'facet of', 'Climate change | global warming')]","[('--NME-- | marine pollution', 'statement is subject of', 'World Environment Day'), ('--NME-- | marine pollution', 'statement is subject of', 'World Environment Day | WED'), ('--NME-- | marine pollution', 'facet of', 'Climate change | global warming'), ('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day'), ('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day | WED'), ('Human overpopulation | human overpopulation', 'facet of', 'Climate change | global warming'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day | WED'), ('--NME-- | non-governmental organizations', 'part of', 'United Nations | United Nation'), ('--NME-- | governments', 'part of', 'United Nations | United Nation')]","[0.1599999964237213, 0.10999999940395355, 0.17000000178813934, 0.1899999976158142, 0.10000000149011612, 0.10000000149011612, 0.8100000023841858, 0.7400000095367432, 0.10000000149011612, 0.14000000059604645]"
wed,106,Plastic,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments and celebrities worldwide adopt to advocate environmental causes. For example, the theme for 2018 is Beat Plastic","[('Plastic pollution | marine pollution', 'statement is subject of', 'World Environment Day'), ('Plastic pollution | marine pollution', 'statement is subject of', 'World Environment Day | WED')]","[('United Nations | United Nation', 'statement is subject of', 'World Environment Day'), ('Plastic pollution | marine pollution', 'statement is subject of', 'World Environment Day'), ('Plastic pollution | marine pollution', 'statement is subject of', 'World Environment Day | WED'), ('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day | WED'), ('--NME-- | non-governmental organizations', 'part of', 'United Nations | United Nation'), ('--NME-- | governments', 'part of', 'United Nations | United Nation')]","[0.17000000178813934, 0.23000000417232513, 0.17000000178813934, 0.18000000715255737, 0.7900000214576721, 0.699999988079071, 0.12999999523162842, 0.17000000178813934]"
wed,107,Pollution.,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments and celebrities worldwide adopt to advocate environmental causes. For example, the theme for 2018 is Beat Plastic Pollution.","[('Plastic pollution | marine pollution', 'facet of', 'Climate change | global warming'), ('Overpopulation | overpopulation', 'subclass of', 'Human overpopulation | human overpopulation')]","[('United Nations | United Nation', 'statement is subject of', 'World Environment Day'), ('United Nations | United Nation', 'statement is subject of', 'World Environment Day | WED'), ('Plastic pollution | marine pollution', 'statement is subject of', 'World Environment Day'), ('Plastic pollution | marine pollution', 'statement is subject of', 'World Environment Day | WED'), ('Plastic pollution | marine pollution', 'facet of', 'Climate change | global warming'), ('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day'), ('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day | WED'), ('Human overpopulation | human overpopulation', 'facet of', 'Climate change | global warming'), ('Overpopulation | overpopulation', 'subclass of', 'Human overpopulation | human overpopulation'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day | WED'), ('--NME-- | non-governmental organizations', 'part of', 'United Nations | United Nation'), ('--NME-- | governments', 'part of', 'United Nations | United Nation')]","[0.1899999976158142, 0.12999999523162842, 0.20999999344348907, 0.2199999988079071, 0.12999999523162842, 0.12999999523162842, 0.10000000149011612, 0.10999999940395355, 0.1899999976158142, 0.8100000023841858, 0.7799999713897705, 0.11999999731779099, 0.20000000298023224]"
wed,110,is,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments and celebrities worldwide adopt to advocate environmental causes. For example, the theme for 2018 is Beat Plastic Pollution. The goal is","[('Climate change | global warming', 'has cause', 'Plastic pollution | marine pollution')]","[('United Nations | United Nation', 'statement is subject of', 'World Environment Day'), ('United Nations | United Nation', 'statement is subject of', 'World Environment Day | WED'), ('Plastic pollution | marine pollution', 'statement is subject of', 'World Environment Day'), ('Plastic pollution | marine pollution', 'statement is subject of', 'World Environment Day | WED'), ('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day'), ('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day | WED'), ('Climate change | global warming', 'has cause', 'Plastic pollution | marine pollution'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day | WED'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day | WED'), ('--NME-- | non-governmental organizations', 'part of', 'United Nations | United Nation'), ('--NME-- | non-governmental organizations', 'part of', 'United Nations | United Nation'), ('--NME-- | governments', 'part of', 'United Nations | United Nation'), ('--NME-- | governments', 'part of', 'United Nations | United Nation')]","[0.15000000596046448, 0.10000000149011612, 0.23000000417232513, 0.25999999046325684, 0.1599999964237213, 0.14000000059604645, 0.33000001311302185, 0.75, 0.4099999964237213, 0.7300000190734863, 0.11999999731779099, 0.15000000596046448, 0.2199999988079071, 0.23000000417232513]"
