text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
wine,8,evaluation,Wine tasting is the sensory examination and evaluation,"[('Wine tasting', 'facet of', 'Sensory analysis | sensory'), ('Sensory analysis | sensory examination', 'facet of', 'Sensory analysis | sensory')]","[('Wine tasting', 'facet of', 'Sensory analysis | sensory'), ('Sensory analysis | sensory examination', 'facet of', 'Sensory analysis | sensory')]","[0.1599999964237213, 0.4099999964237213]"
wine,10,wine.,Wine tasting is the sensory examination and evaluation of wine.,"[('Sensory analysis | sensory', 'is the study of', 'Wine | wine'), ('Wine tasting', 'facet of', 'Wine | wine')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine')]","[0.30000001192092896, 0.10000000149011612]"
wine,21,its,Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its,"[('Wine tasting | wine tasting', 'facet of', 'Wine | wine'), ('Wine tasting', 'is the study of', 'Wine | wine')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('Wine tasting', 'is the study of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine'), ('Wine tasting | wine tasting', 'facet of', 'Wine | wine')]","[0.6899999976158142, 0.12999999523162842, 0.4699999988079071, 0.38999998569488525]"
wine,22,"production,","Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production,","[('Sensory analysis | sensory', 'facet of', 'Wine | wine')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine')]","[0.6600000262260437, 0.11999999731779099, 0.4300000071525574]"
wine,23,a,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a","[('Wine | its', 'instance of', 'Wine tasting | wine tasting'), ('Wine tasting | wine tasting', 'subclass of', 'Wine | wine')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine'), ('Wine tasting | wine tasting', 'subclass of', 'Wine | wine'), ('Wine tasting | wine tasting', 'facet of', 'Wine | wine'), ('Wine | its', 'instance of', 'Wine tasting | wine tasting')]","[0.6399999856948853, 0.10999999940395355, 0.17000000178813934, 0.2199999988079071, 0.25]"
wine,26,methodology,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology","[('--NME-- | evaluation', 'is the study of', 'Wine | wine')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine'), ('--NME-- | evaluation', 'is the study of', 'Wine | wine')]","[0.3400000035762787, 0.10999999940395355, 0.28999999165534973]"
wine,35,ages,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages","[('Wine | wine', 'field of work', '--NME-- | evaluation')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('--NME-- | evaluation', 'is the study of', 'Wine | wine'), ('Wine | wine', 'field of work', '--NME-- | evaluation')]","[0.5099999904632568, 0.27000001072883606, 0.10000000149011612]"
wine,36,onwards.,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards.","[('MEASURE Evaluation | evaluation', 'is the study of', 'Wine | wine')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('MEASURE Evaluation | evaluation', 'is the study of', 'Wine | wine')]","[0.33000001311302185, 0.23999999463558197]"
wine,37,"Modern,","Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards. Modern,","[('Wine | wine', 'field of work', 'MEASURE Evaluation | evaluation')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('MEASURE Evaluation | evaluation', 'is the study of', 'Wine | wine'), ('Wine | wine', 'field of work', 'MEASURE Evaluation | evaluation'), ('Wine tasting | wine tasting', 'facet of', 'Wine | wine'), ('Wine tasting | wine tasting', 'subclass of', 'Wine | wine'), ('Wine | its', 'instance of', 'Wine tasting | wine tasting')]","[0.3700000047683716, 0.2199999988079071, 0.11999999731779099, 0.12999999523162842, 0.28999999165534973, 0.11999999731779099]"
wine,40,tasters,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards. Modern, professional wine tasters","[('Wine | wine', 'field of work', 'Wine tasting')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine'), ('Wine | wine', 'field of work', 'Wine tasting'), ('Wine | its', 'instance of', 'Wine tasting | wine tasting')]","[0.4000000059604645, 0.2199999988079071, 0.10999999940395355, 0.11999999731779099]"
