text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
doping,7,use,"In competitive sports, doping is the use","[('Doping in sport | doping', 'subclass of', 'Doping in sport | competitive sports')]","[('Doping in sport | doping', 'subclass of', 'Doping in sport | competitive sports')]",[0.1599999964237213]
doping,33,performance,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance","[('Doping in sport | doping', 'facet of', 'High-performance sport | competitive sports')]","[('Doping in sport | doping', 'facet of', 'High-performance sport | competitive sports')]",[0.10999999940395355]
doping,38,and,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and","[('Performance-enhancing substance | performance-enhancing drugs', 'has use', 'High-performance sport | competitive sports')]","[('Performance-enhancing substance | performance-enhancing drugs', 'has use', 'High-performance sport | competitive sports')]",[0.10999999940395355]
doping,45,sports,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports","[('Doping in sport | doping', 'subclass of', 'International sport | competitive sports')]","[('Doping in sport | doping', 'subclass of', 'International sport | competitive sports')]",[0.7699999809265137]
doping,46,"organizations,","In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations,","[('Doping in sport | doping', 'subclass of', 'High-performance sport | competitive sports')]","[('Doping in sport | doping', 'subclass of', 'High-performance sport | competitive sports')]",[0.6499999761581421]
doping,52,"Furthermore,","In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore,","[('Athlete | athletic', 'field of work', 'High-performance sport | competitive sports')]","[('Athlete | athletic', 'field of work', 'High-performance sport | competitive sports')]",[0.11999999731779099]
doping,56,explicit,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit","[('Doping in sport | doping', 'organizer', '--NME-- | international sports organizations')]","[('Doping in sport | doping', 'organizer', '--NME-- | international sports organizations')]",[0.14000000059604645]
doping,60,detection,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection","[('--NME-- | organizations which regulate sporting competitions', 'organizer', 'International Olympic Committee'), ('--NME-- | organizations which regulate sporting competitions', 'organizer', 'International Olympic Committee | international sports organizations')]","[('Athlete | athletic', 'field of work', 'High-performance sport | competitive sports'), ('--NME-- | organizations which regulate sporting competitions', 'organizer', 'International Olympic Committee | international sports organizations'), ('--NME-- | organizations which regulate sporting competitions', 'organizer', 'International Olympic Committee')]","[0.1599999964237213, 0.20000000298023224, 0.2800000011920929]"
doping,69,cheating.,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating.","[('Doping in sport | doping', 'organizer', 'International Olympic Committee | international sports organizations'), ('Performance-enhancing substance | performance-enhancing drugs', 'facet of', 'Doping in sport | doping')]","[('Doping in sport | doping', 'organizer', 'International Olympic Committee | international sports organizations'), ('Performance-enhancing substance | performance-enhancing drugs', 'facet of', 'Doping in sport | doping')]","[0.10999999940395355, 0.10999999940395355]"
doping,78,is,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines recently, doping is","[('High-performance sport | organizations which regulate sporting competitions', 'organizer', 'International Olympic Committee')]","[('Performance-enhancing substance | performance-enhancing drugs', 'facet of', 'Doping in sport | doping'), ('High-performance sport | organizations which regulate sporting competitions', 'organizer', 'International Olympic Committee')]","[0.17000000178813934, 0.30000001192092896]"
