text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
international,11,organization,'The International Union for Conservation of Nature is an international organization,"[('International Union for Conservation of Nature', 'instance of', 'International organization | international organization')]","[('International Union for Conservation of Nature', 'instance of', 'International organization | international organization')]",[1.0]
international,20,the,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]","[('International Union for Conservation of Nature', 'instance of', 'International organization | international organization'), ('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]","[0.9900000095367432, 0.1899999976158142]"
international,34,"research,","'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research,","[('Data analysis | analysis', 'subclass of', 'Research | research')]","[('International Union for Conservation of Nature', 'instance of', 'International organization | international organization'), ('Data analysis | analysis', 'subclass of', 'Research | research')]","[1.0, 0.3100000023841858]"
international,82,and,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects, advocacy, and education. Its mission is to influence, encourage and assist societies throughout the world to conserve nature and to ensure that any use of natural resources is equitable and ecologically sustainable. Over the past decades, the organization has widened its focus beyond conservation ecology and","[('International Union for Conservation of Nature | its', 'field of work', 'Conservation biology | conservation ecology')]","[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation'), ('International Union for Conservation of Nature | its', 'field of work', 'Conservation biology | conservation ecology')]","[1.0, 0.17000000178813934]"
international,87,to,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects, advocacy, and education. Its mission is to influence, encourage and assist societies throughout the world to conserve nature and to ensure that any use of natural resources is equitable and ecologically sustainable. Over the past decades, the organization has widened its focus beyond conservation ecology and now incorporates issues related to","[('Nature conservation | nature conservation', 'field of work', 'Conservation biology | conservation ecology')]","[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation'), ('Nature conservation | nature conservation', 'field of work', 'Conservation biology | conservation ecology'), ('International Union for Conservation of Nature | its', 'field of work', 'Conservation biology | conservation ecology')]","[1.0, 0.14000000059604645, 0.15000000596046448]"
international,91,its,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects, advocacy, and education. Its mission is to influence, encourage and assist societies throughout the world to conserve nature and to ensure that any use of natural resources is equitable and ecologically sustainable. Over the past decades, the organization has widened its focus beyond conservation ecology and now incorporates issues related to sustainable development in its","[('Conservation biology | conservation ecology', 'subclass of', 'Nature conservation | nature conservation')]","[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation'), ('Nature conservation | nature conservation', 'field of work', 'Conservation biology | conservation ecology'), ('Conservation biology | conservation ecology', 'subclass of', 'Nature conservation | nature conservation')]","[1.0, 0.4300000071525574, 0.14000000059604645]"
international,111,conservation.,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects, advocacy, and education. Its mission is to influence, encourage and assist societies throughout the world to conserve nature and to ensure that any use of natural resources is equitable and ecologically sustainable. Over the past decades, the organization has widened its focus beyond conservation ecology and now incorporates issues related to sustainable development in its projects. Unlike many other international environmental organizations, it does not aim to mobilize the public in support of nature conservation.","[('International Union for Conservation of Nature | it', 'field of work', 'Nature conservation | nature conservation')]","[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation'), ('Nature conservation | nature conservation', 'field of work', 'Conservation biology | conservation ecology'), ('Conservation biology | conservation ecology', 'subclass of', 'Nature conservation | nature conservation'), ('International Union for Conservation of Nature | it', 'field of work', 'Nature conservation | nature conservation')]","[1.0, 0.44999998807907104, 0.1599999964237213, 0.38999998569488525]"
international,118,the,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects, advocacy, and education. Its mission is to influence, encourage and assist societies throughout the world to conserve nature and to ensure that any use of natural resources is equitable and ecologically sustainable. Over the past decades, the organization has widened its focus beyond conservation ecology and now incorporates issues related to sustainable development in its projects. Unlike many other international environmental organizations, it does not aim to mobilize the public in support of nature conservation. Instead, the organization tries to influence the","[('Nature conservation | nature conservation', 'has use', 'Conservation biology | conservation ecology')]","[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation'), ('Nature conservation | nature conservation', 'field of work', 'Conservation biology | conservation ecology'), ('Nature conservation | nature conservation', 'has use', 'Conservation biology | conservation ecology'), ('Conservation biology | conservation ecology', 'subclass of', 'Nature conservation | nature conservation')]","[1.0, 0.33000001311302185, 0.4399999976158142, 0.14000000059604645]"
international,119,actions,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects, advocacy, and education. Its mission is to influence, encourage and assist societies throughout the world to conserve nature and to ensure that any use of natural resources is equitable and ecologically sustainable. Over the past decades, the organization has widened its focus beyond conservation ecology and now incorporates issues related to sustainable development in its projects. Unlike many other international environmental organizations, it does not aim to mobilize the public in support of nature conservation. Instead, the organization tries to influence the actions","[('Nature conservation | nature conservation', 'part of', 'Conservation biology | conservation ecology'), ('Nature Conservation | Conservation of Nature', 'field of work', 'Conservation biology | conservation ecology')]","[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation'), ('Nature Conservation | Conservation of Nature', 'field of work', 'Conservation biology | conservation ecology'), ('Nature conservation | nature conservation', 'field of work', 'Conservation biology | conservation ecology'), ('Nature conservation | nature conservation', 'field of work', 'Conservation biology | conservation ecology'), ('Nature conservation | nature conservation', 'has use', 'Conservation biology | conservation ecology'), ('Nature conservation | nature conservation', 'part of', 'Conservation biology | conservation ecology'), ('Conservation biology | conservation ecology', 'subclass of', 'Nature conservation | nature conservation')]","[1.0, 0.4099999964237213, 0.1599999964237213, 0.33000001311302185, 0.6000000238418579, 0.11999999731779099, 0.14000000059604645]"
international,122,business,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects, advocacy, and education. Its mission is to influence, encourage and assist societies throughout the world to conserve nature and to ensure that any use of natural resources is equitable and ecologically sustainable. Over the past decades, the organization has widened its focus beyond conservation ecology and now incorporates issues related to sustainable development in its projects. Unlike many other international environmental organizations, it does not aim to mobilize the public in support of nature conservation. Instead, the organization tries to influence the actions of governments, business","[('Conserve (NGO) | it', 'field of work', 'Nature conservation | nature conservation')]","[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation'), ('Nature conservation | nature conservation', 'field of work', 'Conservation biology | conservation ecology'), ('Conservation biology | conservation ecology', 'subclass of', 'Nature conservation | nature conservation'), ('Conserve (NGO) | it', 'field of work', 'Nature conservation | nature conservation')]","[1.0, 0.33000001311302185, 0.14000000059604645, 0.25999999046325684]"
