text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
thylacine,8,marsupial,The thylacine was the largest known carnivorous marsupial,"[('Thylacine | thylacine', 'subclass of', 'Marsupial | marsupial')]","[('Thylacine | thylacine', 'subclass of', 'Marsupial | marsupial')]",[0.10999999940395355]
thylacine,18,Tasmanian,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian,"[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian')]",[1.0]
thylacine,19,tiger,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger,"[('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian')]","[('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian')]",[1.0]
thylacine,22,its,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its,"[('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian')]","[('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian')]","[1.0, 1.0]"
thylacine,23,striped,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped,"[('Thylacine | its', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | It', 'endemic to', '--NME-- | Tasmanian')]","[('Thylacine | It', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | its', 'endemic to', '--NME-- | Tasmanian')]","[1.0, 1.0]"
thylacine,28,Tasmanian,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian","[('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian')]","[1.0, 1.0, 0.9900000095367432, 1.0]"
thylacine,30,because,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because","[('Carnivore | carnivorous', 'subclass of', 'Marsupial | marsupial')]","[('Carnivore | carnivorous', 'subclass of', 'Marsupial | marsupial'), ('Thylacine | It', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | its', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian')]","[0.1599999964237213, 1.0, 0.9800000190734863, 0.9900000095367432, 0.9599999785423279]"
thylacine,33,canine-like,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like","[('Thylacine | its', 'endemic to', 'Bat | Tasmanian'), ('Thylacine | It', 'endemic to', 'Bat | Tasmanian')]","[('Thylacine | It', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | It', 'endemic to', 'Bat | Tasmanian'), ('Thylacine | its', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | its', 'endemic to', 'Bat | Tasmanian'), ('Thylacine | its', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | its', 'endemic to', 'Bat | Tasmanian')]","[1.0, 1.0, 1.0, 0.9900000095367432, 1.0, 0.9900000095367432]"
thylacine,42,"Tasmania,","The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like appearance, traits and attributes. Native to continental Australia, Tasmania,","[('Tasmania', 'country', 'Australia'), ('Tasmania', 'location', 'Australia'), ('Tasmania', 'part of', 'Australia')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Tasmania', 'part of', 'Australia'), ('Tasmania', 'country', 'Australia'), ('Tasmania', 'location', 'Australia')]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9700000286102295, 0.9900000095367432, 1.0]"
thylacine,46,it,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like appearance, traits and attributes. Native to continental Australia, Tasmania, and New Guinea, it","[('Thylacine | it', 'endemic to', 'Tasmania'), ('Thylacine | it', 'significant place', 'Tasmania')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Tasmania', 'part of', 'Australia'), ('Tasmania', 'country', 'Australia'), ('Tasmania', 'location', 'Australia'), ('Thylacine | it', 'endemic to', 'Tasmania'), ('Thylacine | it', 'significant place', 'Tasmania')]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8799999952316284, 0.9900000095367432, 0.9800000190734863, 1.0, 1.0]"
