text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
beekeeping,10,typically,"Beekeeping is the maintenance of bee colonies by humans, typically","[('Beekeeping', 'harvested organism(s)', 'Ant and Bee | bee')]",[],[]
beekeeping,17,The,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The","[('Hives | hives', 'has use', 'Beekeeping')]","[('Hives | hives', 'used by', 'Beekeeping')]",[1.0]
beekeeping,19,most,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most","[('Hives | hives', 'has use', 'Beekeeping')]","[('Hives | hives', 'used by', 'Beekeeping')]",[1.0]
beekeeping,26,honey,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey","[('Hives | hives', 'has use', 'Beekeeping')]","[('Hives | hives', 'used by', 'Beekeeping'), ('Honey bee | honey', 'natural product of taxon', 'Bee | bee')]","[0.9900000095367432, 0.9800000190734863]"
beekeeping,27,bees.,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees.","[('Honey bee | honey', 'natural product of taxon', 'Bee | bee')]","[('Hives | hives', 'used by', 'Beekeeping'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee')]","[0.9800000190734863, 0.23999999463558197]"
beekeeping,31,these,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these","[('Hives | hives', 'used by', 'Beekeeping'), ('Honey bee | honey bees', 'different from', 'Bee | bee')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee')]",[0.9599999785423279]
beekeeping,34,order,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order","[('Honey bee | honey bees', 'different from', 'Bee | bee')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee')]",[0.75]
beekeeping,37,the,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the","[('Hives | hives', 'used by', 'Beekeeping')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'different from', 'Bee | bee')]","[0.8899999856948853, 0.4300000071525574]"
beekeeping,39,and,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and","[('Hives | hives', 'used by', 'Beekeeping')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'different from', 'Bee | bee'), ('Beekeeper | beekeeper', 'used by', 'Beekeeping')]","[0.8500000238418579, 0.1899999976158142, 0.20999999344348907]"
beekeeping,40,other,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other","[('Beekeeper | beekeeper', 'used by', 'Beekeeping')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'different from', 'Bee | bee')]","[0.8399999737739563, 0.18000000715255737]"
