text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
doping,8,of,"In competitive sports, doping is the use of","[('Doping in sport | doping', 'facet of', 'Doping in sport | competitive sports')]","[('Doping in sport | doping', 'subclass of', 'Doping in sport | competitive sports')]",[0.6299999952316284]
doping,9,banned,"In competitive sports, doping is the use of banned","[('Doping in sport | doping', 'subclass of', 'Doping in sport | competitive sports')]","[('Doping in sport | doping', 'competition class', '--NME-- | competitive sports')]",[0.11999999731779099]
doping,10,performance-enhancing,"In competitive sports, doping is the use of banned performance-enhancing","[('Doping in sport | doping', 'competition class', '--NME-- | competitive sports')]","[('Doping in sport | doping', 'sport', 'Doping in sport | competitive sports')]",[0.10999999940395355]
doping,13,athletic,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic","[('Doping in sport | doping', 'sport', 'Doping in sport | competitive sports')]",[],[]
doping,16,term,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term","[('Doping in sport | doping', 'subclass of', 'Doping in sport | competitive sports')]",[],[]
doping,19,widely,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely","[('Doping in sport | doping', 'subclass of', 'Doping in sport | competitive sports')]","[('Doping in sport | doping', 'subclass of', 'Competition | competitive sports')]",[0.3199999928474426]
doping,20,used,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used","[('Doping in sport | doping', 'subclass of', 'Competition | competitive sports')]","[('Doping in sport | doping', 'subclass of', 'Doping in sport | competitive sports')]",[0.44999998807907104]
doping,22,organizations,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations","[('Doping in sport | doping', 'subclass of', 'Doping in sport | competitive sports')]","[('Doping in sport | doping', 'subclass of', 'Competition | competitive sports')]",[0.7300000190734863]
doping,26,competitions.,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions.","[('Doping in sport | doping', 'subclass of', 'Competition | competitive sports')]",[],[]
doping,33,performance,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance","[('Performance-enhancing substance | performance-enhancing drugs', 'facet of', 'Doping in sport | doping')]",[],[]
doping,39,is,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is","[('Performance-enhancing substance | performance-enhancing drugs', 'facet of', 'Doping in sport | doping')]",[],[]
doping,42,by,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by","[('Performance-enhancing substance | performance-enhancing drugs', 'facet of', 'Doping in sport | doping')]","[('Doping in sport | doping', 'subclass of', 'High-performance sport | competitive sports')]",[0.10000000149011612]
doping,43,most,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most","[('Doping in sport | doping', 'subclass of', 'High-performance sport | competitive sports')]",[],[]
doping,45,sports,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports","[('Performance-enhancing substance | performance-enhancing drugs', 'facet of', 'Doping in sport | doping')]",[],[]
doping,51,Committee.,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee.","[('Performance-enhancing substance | performance-enhancing drugs', 'facet of', 'Doping in sport | doping')]",[],[]
