text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
flag,24,"country,","A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country,","[('Country | country', 'flag', 'National flag | national flag')]","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.17000000178813934]
flag,27,can,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can","[('Government | government', 'significant place', 'Country | country')]","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.25999999046325684]
flag,34,A,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A","[('Country | country', 'flag', 'National flag | national flag')]","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.49000000953674316]
flag,48,flags,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags","[('National flag | national flag', 'instance of', 'Flag | flag')]","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.4399999976158142]
flag,54,were,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were","[('Country | country', 'flag', 'National flag | national flag')]","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.20000000298023224]
flag,57,signs,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs","[('Country | country', 'flag', 'National flag | national flag')]","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.4000000059604645]
flag,86,describe,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe","[('Military colours, standards and guidons | military standards', 'subclass of', 'Flag | flag')]","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.46000000834465027]
flag,93,are,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are","[('National flag | national flag', 'main regulatory text', ""Government | country's constitution""), ('Flag | flag', 'main regulatory text', ""Government | country's constitution"")]","[('National flag | national flag', 'subclass of', 'Flag | flag'), ('Military colours, standards and guidons | military standards', 'subclass of', 'Flag | flag')]","[0.8600000143051147, 0.38999998569488525]"
flag,98,flag,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag","[('National flag | national flag', 'main regulatory text', ""Government | country's constitution"")]","[('National flag | national flag', 'subclass of', 'Flag | flag'), ('National flag | national flag', 'main regulatory text', ""National flag | country's constitution""), ('Military colours, standards and guidons | military standards', 'subclass of', 'Flag | flag')]","[0.8700000047683716, 0.4699999988079071, 0.41999998688697815]"
flag,99,of,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of","[('National flag | national flag', 'main regulatory text', ""National flag | country's constitution"")]","[('National flag | national flag', 'subclass of', 'Flag | flag'), ('National flag | national flag', 'main regulatory text', ""Government | country's constitution""), ('Flag | flag', 'main regulatory text', ""Government | country's constitution""), ('Military colours, standards and guidons | military standards', 'subclass of', 'Flag | flag')]","[0.8700000047683716, 0.8299999833106995, 0.14000000059604645, 0.6299999952316284]"
flag,100,"Nepal,","A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal,","[('Military colours, standards and guidons | military standards', 'subclass of', 'Flag | flag'), ('National flag | national flag', 'subclass of', 'Flag | flag'), ('National flag | national flag', 'main regulatory text', ""Government | country's constitution""), ('Flag | flag', 'main regulatory text', ""Government | country's constitution"")]","[('National flag | national flag', 'subclass of', 'National flag | flag'), ('National flag | national flag', 'country', '--NME-- | country'), ('National flag | national flag', 'main regulatory text', ""Constitution of Nepal | country's constitution""), (""Constitution of Nepal | country's constitution"", 'country', '--NME-- | country'), ('Flag of Nepal | flag of Nepal', 'instance of', 'National flag | national flag'), ('Flag of Nepal | flag of Nepal', 'instance of', 'National flag | flag'), ('Flag of Nepal | flag of Nepal', 'country', '--NME-- | country')]","[0.8799999952316284, 0.30000001192092896, 0.11999999731779099, 0.10999999940395355, 0.6100000143051147, 0.2199999988079071, 0.5799999833106995]"
flag,101,which,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal, which","[('National flag | national flag', 'main regulatory text', ""Constitution of Nepal | country's constitution"")]","[('National flag | national flag', 'subclass of', 'National flag | flag'), ('National flag | national flag', 'country', '--NME-- | country'), (""Constitution of Nepal | country's constitution"", 'country', '--NME-- | country'), ('Flag of Nepal | flag of Nepal', 'instance of', 'National flag | national flag'), ('Flag of Nepal | flag of Nepal', 'instance of', 'National flag | flag'), ('Flag of Nepal | flag of Nepal', 'country', '--NME-- | country')]","[0.8799999952316284, 0.25, 0.10000000149011612, 0.7599999904632568, 0.2800000011920929, 0.550000011920929]"
flag,109,of,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal, which uses a unique triangular shape. The ratios of","[('National flag | national flag', 'country', '--NME-- | country')]","[('National flag | national flag', 'subclass of', 'National flag | flag'), (""Constitution of Nepal | country's constitution"", 'country', '--NME-- | country'), ('Flag of Nepal | flag of Nepal', 'instance of', 'National flag | national flag'), ('Flag of Nepal | flag of Nepal', 'instance of', 'National flag | flag'), ('Flag of Nepal | flag of Nepal', 'country', '--NME-- | country')]","[0.8799999952316284, 0.17000000178813934, 0.6399999856948853, 0.4099999964237213, 0.4099999964237213]"
flag,110,height,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal, which uses a unique triangular shape. The ratios of height","[(""Constitution of Nepal | country's constitution"", 'country', '--NME-- | country'), ('Flag of Nepal | flag of Nepal', 'instance of', 'National flag | flag'), ('National flag | national flag', 'subclass of', 'National flag | flag'), ('Flag of Nepal | flag of Nepal', 'instance of', 'National flag | national flag')]","[('Flag of Nepal | national flag', 'instance of', '--NME-- | flag'), ('Flag of Nepal | national flag', 'country', '--NME-- | country'), ('Flag of Nepal | flag of Nepal', 'instance of', '--NME-- | flag'), ('Flag of Nepal | flag of Nepal', 'country', '--NME-- | country')]","[0.6499999761581421, 0.15000000596046448, 0.75, 0.14000000059604645]"
flag,111,to,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal, which uses a unique triangular shape. The ratios of height to","[('Flag of Nepal | flag of Nepal', 'instance of', '--NME-- | flag'), ('Flag of Nepal | national flag', 'country', '--NME-- | country'), ('Flag of Nepal | national flag', 'instance of', '--NME-- | flag')]","[('National flag | national flag', 'subclass of', 'National flag | flag'), (""Constitution of Nepal | country's constitution"", 'country', '--NME-- | country'), ('Flag of Nepal | flag of Nepal', 'instance of', 'National flag | national flag'), ('Flag of Nepal | flag of Nepal', 'instance of', 'National flag | flag'), ('Flag of Nepal | flag of Nepal', 'country', '--NME-- | country')]","[0.8299999833106995, 0.23999999463558197, 0.1599999964237213, 0.3400000035762787, 0.33000001311302185]"
flag,112,width,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal, which uses a unique triangular shape. The ratios of height to width","[(""Constitution of Nepal | country's constitution"", 'country', '--NME-- | country'), ('Flag of Nepal | flag of Nepal', 'instance of', 'National flag | flag'), ('National flag | national flag', 'subclass of', 'National flag | flag'), ('Flag of Nepal | flag of Nepal', 'instance of', 'National flag | national flag')]","[('Flag of Nepal | national flag', 'instance of', '--NME-- | flag'), ('Flag of Nepal | flag of Nepal', 'instance of', '--NME-- | flag'), ('Flag of Nepal | flag of Nepal', 'country', '--NME-- | country')]","[0.550000011920929, 0.7799999713897705, 0.11999999731779099]"
flag,114,among,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal, which uses a unique triangular shape. The ratios of height to width vary among","[('Flag of Nepal | national flag', 'country', '--NME-- | country')]","[('Flag of Nepal | national flag', 'instance of', '--NME-- | flag'), ('Flag of Nepal | flag of Nepal', 'instance of', '--NME-- | flag'), ('Flag of Nepal | flag of Nepal', 'country', '--NME-- | country')]","[0.41999998688697815, 0.699999988079071, 0.10000000149011612]"
flag,115,standard,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal, which uses a unique triangular shape. The ratios of height to width vary among standard","[('Flag of Nepal | flag of Nepal', 'country', '--NME-- | country')]","[('Flag of Nepal | national flag', 'instance of', '--NME-- | flag'), ('Flag of Nepal | flag of Nepal', 'instance of', '--NME-- | flag')]","[0.49000000953674316, 0.7400000095367432]"
flag,139,which,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal, which uses a unique triangular shape. The ratios of height to width vary among standard rectangular flags, but none is taller than it is wide. The flags of Switzerland and the Vatican City are the only national flags which","[('Flag of Switzerland | flags of Switzerland', 'significant place', 'Vatican City')]","[('Flag of Nepal | national flag', 'instance of', '--NME-- | flag'), ('Flag of Nepal | flag of Nepal', 'instance of', '--NME-- | flag')]","[0.49000000953674316, 0.7400000095367432]"
