text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
janus,10,god,"In ancient Roman religion and myth, Janus is the god","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion')]",[],[]
janus,12,beginnings,"In ancient Roman religion and myth, Janus is the god of beginnings","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion')]",[],[]
janus,28,since,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since","[('Janus | the god of beginnings and gates', 'religion or worldview', '--NME-- | ancient Roman religion')]","[('Janus', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', '--NME-- | ancient Roman religion')]","[0.8100000023841858, 1.0]"
janus,84,Janus,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his temple were open in times of war and closed during peacetime. As the god of gates, he was also associated with entering and exiting the doors of homes. Janus","[('Janus', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', '--NME-- | ancient Roman religion')]",[],[]
janus,87,change,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his temple were open in times of war and closed during peacetime. As the god of gates, he was also associated with entering and exiting the doors of homes. Janus frequently symbolized change","[('Janus', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', '--NME-- | ancient Roman religion')]",[],[]
janus,91,as,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his temple were open in times of war and closed during peacetime. As the god of gates, he was also associated with entering and exiting the doors of homes. Janus frequently symbolized change and transitions, such as","[('Janus', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', '--NME-- | ancient Roman religion')]",[],[]
janus,98,"another,","In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his temple were open in times of war and closed during peacetime. As the god of gates, he was also associated with entering and exiting the doors of homes. Janus frequently symbolized change and transitions, such as the progress from one condition to another,","[('Janus', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', '--NME-- | ancient Roman religion')]",[],[]
janus,109,people,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his temple were open in times of war and closed during peacetime. As the god of gates, he was also associated with entering and exiting the doors of homes. Janus frequently symbolized change and transitions, such as the progress from one condition to another, from one vision to another, and the growth of young people","[('Janus | two faces', 'part of', '--NME-- | ancient Roman religion'), ('Janus', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', '--NME-- | ancient Roman religion')]",[],[]
janus,171,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his temple were open in times of war and closed during peacetime. As the god of gates, he was also associated with entering and exiting the doors of homes. Janus frequently symbolized change and transitions, such as the progress from one condition to another, from one vision to another, and the growth of young people into adulthood. Hence, Janus was worshipped at the beginning of the harvest and planting times, as well as at marriages, deaths, and other beginnings. Janus had no specialized priest assigned to him, but the high priest himself carried out his ceremonies. Janus represented the middle ground between barbarism and civilization, rural and urban space, youth and adulthood. The ancient Greeks had no","[('Janus | him', 'patron saint', 'Janus'), ('Janus | his', 'patron saint', 'Janus')]",[],[]
janus,174,"Janus,","In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his temple were open in times of war and closed during peacetime. As the god of gates, he was also associated with entering and exiting the doors of homes. Janus frequently symbolized change and transitions, such as the progress from one condition to another, from one vision to another, and the growth of young people into adulthood. Hence, Janus was worshipped at the beginning of the harvest and planting times, as well as at marriages, deaths, and other beginnings. Janus had no specialized priest assigned to him, but the high priest himself carried out his ceremonies. Janus represented the middle ground between barbarism and civilization, rural and urban space, youth and adulthood. The ancient Greeks had no equivalent to Janus,","[('Greeks', 'ethnic group', 'Greeks')]",[],[]
janus,176,the,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his temple were open in times of war and closed during peacetime. As the god of gates, he was also associated with entering and exiting the doors of homes. Janus frequently symbolized change and transitions, such as the progress from one condition to another, from one vision to another, and the growth of young people into adulthood. Hence, Janus was worshipped at the beginning of the harvest and planting times, as well as at marriages, deaths, and other beginnings. Janus had no specialized priest assigned to him, but the high priest himself carried out his ceremonies. Janus represented the middle ground between barbarism and civilization, rural and urban space, youth and adulthood. The ancient Greeks had no equivalent to Janus, whom the","[('Janus', 'ethnic group', '--NME-- | ancient Greeks'), ('Janus', 'time period', '--NME-- | ancient Greeks')]",[],[]
