text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
shaka,12,of,"The shaka sign, sometimes known as 'hang loose', is a gesture of","[('Shaka sign | shaka sign', 'instance of', 'Gesture | gesture')]",[],[]
shaka,38,fingers,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three middle fingers","[('Surf culture | surf culture', 'facet of', 'Hawaii')]",[],[]
shaka,55,maybe,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three middle fingers curled and gesturing in salutation while presenting the front or back of the hand; the hand maybe","[('Shaka sign | shaka sign', 'represents', 'Hawaii')]","[('Surf culture | surf culture', 'facet of', 'Hawaii')]",[0.15000000596046448]
shaka,59,forth,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three middle fingers curled and gesturing in salutation while presenting the front or back of the hand; the hand maybe rotated back and forth","[('Surf culture | surf culture', 'facet of', 'Hawaii')]",[],[]
shaka,61,emphasis.The,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three middle fingers curled and gesturing in salutation while presenting the front or back of the hand; the hand maybe rotated back and forth for emphasis.The","[('Shaka sign | shaka sign', 'represents', 'Hawaii')]","[('Shaka sign | shaka sign', 'used by', 'Hawaii'), ('Surf culture | surf culture', 'facet of', 'Hawaii')]","[0.75, 0.2199999988079071]"
shaka,63,sign,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three middle fingers curled and gesturing in salutation while presenting the front or back of the hand; the hand maybe rotated back and forth for emphasis.The shaka sign","[('Surf culture | surf culture', 'facet of', 'Hawaii'), ('Shaka sign | shaka sign', 'used by', 'Hawaii')]",[],[]
shaka,68,Hawaiian,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three middle fingers curled and gesturing in salutation while presenting the front or back of the hand; the hand maybe rotated back and forth for emphasis.The shaka sign was adopted from local Hawaiian","[('Shaka sign | shaka sign', 'represents', 'Hawaii')]","[('Surf culture | surf culture', 'facet of', 'Hawaii')]",[0.20000000298023224]
shaka,69,culture,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three middle fingers curled and gesturing in salutation while presenting the front or back of the hand; the hand maybe rotated back and forth for emphasis.The shaka sign was adopted from local Hawaiian culture","[('Surf culture | surf culture', 'facet of', 'Hawaii')]",[],[]
shaka,88,used,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three middle fingers curled and gesturing in salutation while presenting the front or back of the hand; the hand maybe rotated back and forth for emphasis.The shaka sign was adopted from local Hawaiian culture and customs by visiting surfers in the 1960s, and its use has spread around the world.It is primarily used","[('Shaka sign | shaka sign', 'represents', 'Hawaii')]",[],[]
shaka,117,concept,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three middle fingers curled and gesturing in salutation while presenting the front or back of the hand; the hand maybe rotated back and forth for emphasis.The shaka sign was adopted from local Hawaiian culture and customs by visiting surfers in the 1960s, and its use has spread around the world.It is primarily used as a greeting gesture or to express thanks, acknowledgement, or even praise from one individual to another.Residents of Hawaii use the shaka to convey the 'Aloha Spirit': a concept","[('Hawaii Aloha | Aloha Spirit', 'location', 'Hawaii')]",[],[]
shaka,120,"understanding,","The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three middle fingers curled and gesturing in salutation while presenting the front or back of the hand; the hand maybe rotated back and forth for emphasis.The shaka sign was adopted from local Hawaiian culture and customs by visiting surfers in the 1960s, and its use has spread around the world.It is primarily used as a greeting gesture or to express thanks, acknowledgement, or even praise from one individual to another.Residents of Hawaii use the shaka to convey the 'Aloha Spirit': a concept of friendship, understanding,","[('Hawaii Aloha | Aloha Spirit', 'location', 'Hawaii')]",[],[]
shaka,122,and,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three middle fingers curled and gesturing in salutation while presenting the front or back of the hand; the hand maybe rotated back and forth for emphasis.The shaka sign was adopted from local Hawaiian culture and customs by visiting surfers in the 1960s, and its use has spread around the world.It is primarily used as a greeting gesture or to express thanks, acknowledgement, or even praise from one individual to another.Residents of Hawaii use the shaka to convey the 'Aloha Spirit': a concept of friendship, understanding, compassion, and","[('Hawaii Aloha | Aloha Spirit', 'location', 'Hawaii')]",[],[]
shaka,124,among,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three middle fingers curled and gesturing in salutation while presenting the front or back of the hand; the hand maybe rotated back and forth for emphasis.The shaka sign was adopted from local Hawaiian culture and customs by visiting surfers in the 1960s, and its use has spread around the world.It is primarily used as a greeting gesture or to express thanks, acknowledgement, or even praise from one individual to another.Residents of Hawaii use the shaka to convey the 'Aloha Spirit': a concept of friendship, understanding, compassion, and solidarity among","[('Hawaii Aloha | Aloha Spirit', 'location', 'Hawaii')]",[],[]
