text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
thylacine,19,tiger,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger,"[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian')]","[('Thylacine | It', 'endemic to', '--NME-- | Tasmanian')]",[1.0]
thylacine,20,because,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because,"[('Thylacine | It', 'endemic to', '--NME-- | Tasmanian')]",[],[]
thylacine,23,striped,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped,"[('Thylacine | its', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | It', 'endemic to', '--NME-- | Tasmanian')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian')]","[0.9900000095367432, 0.9700000286102295]"
thylacine,25,"back,","The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back,","[('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian')]","[('Carnivore | carnivorous', 'subclass of', 'Marsupial | marsupial')]",[0.10999999940395355]
thylacine,26,or,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or","[('Carnivore | carnivorous', 'subclass of', 'Marsupial | marsupial')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian')]","[0.9900000095367432, 0.9399999976158142]"
thylacine,29,wolf,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf","[('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian')]","[('Carnivore | carnivorous', 'subclass of', 'Marsupial | marsupial'), ('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian')]","[0.14000000059604645, 0.9900000095367432, 1.0, 0.9800000190734863, 0.9900000095367432]"
thylacine,31,of,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of","[('Carnivore | carnivorous', 'subclass of', 'Marsupial | marsupial')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian')]","[1.0, 1.0, 0.9900000095367432, 1.0]"
thylacine,33,canine-like,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like","[('Carnivore | carnivorous', 'subclass of', 'Marsupial | marsupial')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian')]","[0.9900000095367432, 1.0, 0.9800000190734863, 1.0, 0.9700000286102295, 0.9900000095367432]"
thylacine,43,and,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like appearance, traits and attributes. Native to continental Australia, Tasmania, and","[('Tasmania', 'country', 'Australia')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Tasmania', 'part of', 'Australia'), ('Tasmania', 'location', 'Australia')]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6100000143051147, 0.6700000166893005]"
thylacine,48,believed,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like appearance, traits and attributes. Native to continental Australia, Tasmania, and New Guinea, it is believed","[('Tasmania', 'country', 'Australia'), ('Tasmania', 'location', 'Australia'), ('Tasmania', 'part of', 'Australia'), ('Australia (continent) | continental Australia', 'country', 'Australia')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | it', 'endemic to', 'Tasmania'), ('Thylacine | it', 'significant place', 'Tasmania')]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9900000095367432, 1.0]"
thylacine,53,in,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like appearance, traits and attributes. Native to continental Australia, Tasmania, and New Guinea, it is believed to have become extinct in","[('Australia (continent) | continental Australia', 'location', 'Australia'), ('Tasmania', 'country', 'Australia'), ('Tasmania', 'location', 'Australia'), ('Tasmania', 'part of', 'Australia'), ('Australia (continent) | continental Australia', 'country', 'Australia')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | it', 'endemic to', 'Tasmania'), ('Thylacine | it', 'significant place', 'Tasmania')]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
