text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
doping,17,doping,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping","[('Doping in sport | doping', 'has cause', 'Performance-enhancing substance | performance-enhancing drugs')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs')]",[0.1599999964237213]
doping,20,used,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs')]",[],[]
doping,24,regulate,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate","[('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs')]",[0.23000000417232513]
doping,35,largely,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely","[('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs')]",[0.3799999952316284]
doping,40,therefore,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs')]","[('Doping in association football | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in association football | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs')]","[0.3100000023841858, 0.27000001072883606]"
doping,41,prohibited,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited","[('Doping in association football | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in association football | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs')]","[0.46000000834465027, 0.17000000178813934]"
doping,44,international,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international","[('--NME-- | unethical', 'facet of', 'Doping in sport | doping')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs')]","[0.4300000071525574, 0.1599999964237213]"
doping,51,Committee.,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee.","[('Performance-enhancing substance | performance-enhancing drugs', 'part of', 'Doping in sport | doping')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'regulated by', 'International Olympic Committee')]","[0.2800000011920929, 0.23000000417232513, 0.12999999523162842]"
doping,52,"Furthermore,","In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore,","[('Doping in sport | doping', 'regulated by', 'International Olympic Committee')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs')]","[0.46000000834465027, 0.25999999046325684]"
doping,57,measures,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures","[('Performance-enhancing substance | performance-enhancing drugs', 'subclass of', 'Doping in sport | doping')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'regulated by', 'International Olympic Committee'), ('Doping in sport | doping', 'organizer', 'International Olympic Committee')]","[0.4300000071525574, 0.4099999964237213, 0.12999999523162842, 0.10000000149011612]"
doping,58,to,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to","[('Doping in sport | doping', 'organizer', 'International Olympic Committee')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'regulated by', 'International Olympic Committee')]","[0.4399999976158142, 0.4000000059604645, 0.11999999731779099]"
doping,59,evade,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade","[('Doping in sport | doping', 'regulated by', 'International Olympic Committee')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'organizer', 'International Olympic Committee')]","[0.46000000834465027, 0.46000000834465027, 0.10999999940395355]"
doping,60,detection,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection","[('Doping in sport | doping', 'organizer', 'International Olympic Committee')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'regulated by', 'International Olympic Committee')]","[0.49000000953674316, 0.36000001430511475, 0.1599999964237213]"
doping,61,exacerbate,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate","[('Doping in sport | doping', 'regulated by', 'International Olympic Committee')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs')]","[0.6700000166893005, 0.5199999809265137]"
doping,64,violation,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation","[('Doping in sport | doping', 'organizer', 'International Olympic Committee'), ('Performance-enhancing substance | performance-enhancing drugs', 'subclass of', 'Doping in sport | doping')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'has use', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'regulated by', 'International Olympic Committee')]","[0.4699999988079071, 0.44999998807907104, 0.41999998688697815, 0.12999999523162842]"
doping,67,deception,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception","[('Doping in sport | doping', 'regulated by', 'International Olympic Committee')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'has use', 'Performance-enhancing substance | performance-enhancing drugs')]","[0.5400000214576721, 0.5199999809265137, 0.3799999952316284]"
doping,69,cheating.,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating.","[('Overt | overt', 'facet of', 'Doping in sport | doping'), ('Overt | overt', 'subclass of', 'Doping in sport | doping')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'has use', 'Performance-enhancing substance | performance-enhancing drugs')]","[0.5199999809265137, 0.10999999940395355, 0.41999998688697815]"
doping,72,prevalence,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence","[('Doping in sport | doping', 'organizer', 'International Olympic Committee')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'has use', 'Performance-enhancing substance | performance-enhancing drugs')]","[0.5600000023841858, 0.15000000596046448, 0.3700000047683716]"
doping,75,headlines,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines","[('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'has use', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'organizer', 'International Olympic Committee')]","[0.4699999988079071, 0.49000000953674316, 0.10999999940395355]"
doping,77,doping,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines recently, doping","[('Doping in sport | doping', 'organizer', 'International Olympic Committee')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'has use', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Doping in sport | doping')]","[0.49000000953674316, 0.10999999940395355, 0.11999999731779099, 0.10000000149011612]"
doping,78,is,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines recently, doping is","[('Doping in sport | doping', 'facet of', 'Doping in sport | doping'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'has use', 'Performance-enhancing substance | performance-enhancing drugs'), ('Performance-enhancing substance | performance-enhancing drugs', 'part of', 'Doping in sport | doping'), ('Doping in sport | doping', 'part of', 'Doping in sport | doping')]","[0.3700000047683716, 0.1599999964237213, 0.30000001192092896, 0.10000000149011612]"
doping,79,not,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines recently, doping is not","[('Performance-enhancing substance | performance-enhancing drugs', 'part of', 'Doping in sport | doping'), ('Doping in sport | doping', 'part of', 'Doping in sport | doping')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'has use', 'Performance-enhancing substance | performance-enhancing drugs')]","[0.5600000023841858, 0.6499999761581421]"
doping,80,a,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines recently, doping is not a","[('Doping in sport | doping', 'has use', 'Performance-enhancing substance | performance-enhancing drugs')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Performance-enhancing substance | performance-enhancing drugs', 'facet of', 'Doping in sport | doping'), ('Performance-enhancing substance | performance-enhancing drugs', 'part of', 'Doping in sport | doping'), ('Doping in sport | doping', 'part of', 'Doping in sport | doping')]","[0.6200000047683716, 0.12999999523162842, 0.10000000149011612, 0.3199999928474426, 0.20000000298023224]"
doping,81,new,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines recently, doping is not a new","[('Performance-enhancing substance | performance-enhancing drugs', 'facet of', 'Doping in sport | doping')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Performance-enhancing substance | performance-enhancing drugs', 'part of', 'Doping in sport | doping'), ('Doping in sport | doping', 'facet of', 'Doping in sport | doping'), ('Doping in sport | doping', 'part of', 'Doping in sport | doping')]","[0.5600000023841858, 0.17000000178813934, 0.28999999165534973, 0.10000000149011612, 0.2199999988079071]"
doping,82,phenomenon;,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines recently, doping is not a new phenomenon;","[('Doping in sport | doping', 'facet of', 'Doping in sport | doping')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Performance-enhancing substance | performance-enhancing drugs', 'part of', 'Doping in sport | doping'), ('Doping in sport | doping', 'part of', 'Doping in sport | doping')]","[0.5799999833106995, 0.18000000715255737, 0.2800000011920929, 0.14000000059604645]"
doping,84,"fact,","In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines recently, doping is not a new phenomenon; in fact,","[('Doping in sport | doping', 'part of', 'Doping in sport | doping')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Performance-enhancing substance | performance-enhancing drugs', 'subclass of', 'Doping in sport | doping'), ('Performance-enhancing substance | performance-enhancing drugs', 'part of', 'Doping in sport | doping')]","[0.6100000143051147, 0.18000000715255737, 0.10000000149011612, 0.28999999165534973]"
doping,85,it,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines recently, doping is not a new phenomenon; in fact, it","[('Performance-enhancing substance | performance-enhancing drugs', 'subclass of', 'Doping in sport | doping'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'has use', 'Performance-enhancing substance | performance-enhancing drugs'), ('Performance-enhancing substance | performance-enhancing drugs', 'part of', 'Doping in sport | doping')]","[0.5699999928474426, 0.4099999964237213, 0.23000000417232513]"
doping,86,is,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines recently, doping is not a new phenomenon; in fact, it is","[('Doping in sport | doping', 'has use', 'Performance-enhancing substance | performance-enhancing drugs')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Performance-enhancing substance | performance-enhancing drugs', 'part of', 'Doping in sport | doping')]","[0.6399999856948853, 0.1599999964237213, 0.2800000011920929]"
doping,89,as,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines recently, doping is not a new phenomenon; in fact, it is as old as","[('Performance-enhancing substance | performance-enhancing drugs', 'subclass of', 'Doping in sport | doping')]","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'facet of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Performance-enhancing substance | performance-enhancing drugs', 'part of', 'Doping in sport | doping')]","[0.6399999856948853, 0.17000000178813934, 0.2800000011920929]"
