text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
janus,14,gates.,"In ancient Roman religion and myth, Janus is the god of beginnings and gates.","[('Ancient Rome | ancient Roman', 'official religion', 'Religion in ancient Rome | ancient Roman religion'), ('Ancient Rome | ancient Roman', 'official religion', 'Religion in ancient Rome | religion'), ('Ancient Rome | ancient Roman', 'religion or worldview', 'Religion in ancient Rome | ancient Roman religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion')]",[],[]
janus,16,has,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has","[('Ancient Rome | ancient Roman', 'official religion', 'Religion in ancient Rome | ancient Roman religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion'), ('Ancient Rome | ancient Roman', 'religion or worldview', 'Religion in ancient Rome | religion'), ('Ancient Rome | ancient Roman', 'official religion', 'Religion in ancient Rome | religion'), ('Ancient Rome | ancient Roman', 'religion or worldview', 'Religion in ancient Rome | ancient Roman religion')]",[],[]
janus,18,double,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double","[('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion')]",[],[]
janus,21,is,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is","[('Deity | god', 'facet of', 'Religion in ancient Rome | religion'), ('Janus', 'instance of', 'Deity | god'), ('Deity | god', 'facet of', 'Myth | myth'), ('Janus | He', 'instance of', 'Deity | god')]","[('Ancient Rome | ancient Roman', 'part of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Myth | myth'), ('Janus', 'instance of', '--NME-- | god'), ('Janus | He', 'instance of', '--NME-- | god')]","[0.1599999964237213, 0.33000001311302185, 0.2199999988079071, 0.5, 0.33000001311302185]"
janus,22,usually,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually","[('Janus | He', 'instance of', '--NME-- | god'), ('Janus', 'instance of', '--NME-- | god')]","[('Ancient Rome | ancient Roman', 'part of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Myth | myth')]","[0.1599999964237213, 0.3199999928474426, 0.20999999344348907]"
janus,23,depicted,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted","[('Ancient Rome | ancient Roman', 'part of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Myth | myth')]",[],[]
janus,25,having,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having","[('Deity | god', 'facet of', 'Religion in ancient Rome | religion'), ('Janus', 'instance of', 'Deity | god'), ('Janus | He', 'instance of', 'Deity | god')]","[('Ancient Rome | ancient Roman', 'part of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Myth | myth')]","[0.2199999988079071, 0.15000000596046448, 0.12999999523162842]"
janus,26,two,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two","[('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Myth | myth')]","[('Ancient Rome | ancient Roman', 'part of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion')]","[0.1899999976158142, 0.23999999463558197]"
janus,28,since,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since","[('Janus', 'instance of', 'Deity | god')]","[('Ancient Rome | ancient Roman', 'part of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion')]","[0.14000000059604645, 0.3100000023841858]"
janus,30,looks,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion')]","[('Ancient Rome | ancient Roman', 'part of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion'), ('Janus', 'instance of', 'Deity | god')]","[0.17000000178813934, 0.20000000298023224, 0.8399999737739563]"
