text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
monocle,6,of,A monocle is a type of,"[('Monocle | monocle', 'instance of', 'Type system | type')]",[],[]
monocle,11,correct,A monocle is a type of corrective lens used to correct,"[('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]",[0.7699999809265137]
monocle,31,around,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around","[('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Glasses | lens'), ('Glasses | lens', 'part of', 'Corrective lens | corrective lens')]","[0.3799999952316284, 0.5199999809265137, 0.12999999523162842, 0.10999999940395355]"
monocle,32,the,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the","[('Glasses | lens', 'part of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Glasses | lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Lens | lens', 'used by', 'Corrective lens | corrective lens')]","[0.33000001311302185, 0.5, 0.11999999731779099, 0.28999999165534973, 0.18000000715255737, 0.11999999731779099]"
monocle,37,attached,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached","[('Lens | lens', 'used by', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Monocle | monocle', 'instance of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens')]","[0.5099999904632568, 0.7400000095367432, 0.3400000035762787, 0.20999999344348907, 0.6700000166893005, 0.25999999046325684]"
monocle,39,a,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a","[('Monocle | monocle', 'instance of', 'Lens | lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Lens | lens', 'used by', 'Corrective lens | corrective lens')]","[0.5799999833106995, 0.6800000071525574, 0.3499999940395355, 0.6600000262260437, 0.3199999928474426, 0.1599999964237213]"
monocle,40,string,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string","[('Lens | lens', 'used by', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Monocle | monocle', 'instance of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens')]","[0.49000000953674316, 0.699999988079071, 0.44999998807907104, 0.2199999988079071, 0.6000000238418579, 0.25]"
monocle,42,wire.,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire.","[('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Lens | lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.4399999976158142, 0.6800000071525574]"
monocle,45,end,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end","[('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Corrective lens | corrective lens', 'part of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Lens | lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.5600000023841858, 0.699999988079071]"
monocle,68,was,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was","[('Monocle | It', 'instance of', 'Lens | lens'), ('Monocle | It', 'subclass of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Lens | lens'), ('Monocle | the monocle', 'subclass of', 'Lens | lens'), ('Monocle | monocle', 'instance of', 'Lens | lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Lens | lens', 'used by', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens')]","[0.5199999809265137, 0.7300000190734863, 0.17000000178813934]"
