text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
shaka,12,of,"The shaka sign, sometimes known as 'hang loose', is a gesture of","[('Shaka sign | shaka sign', 'instance of', 'Gesture | gesture')]","[('Shaka | shaka', 'motto', 'Shaka | shaka')]",[0.17000000178813934]
shaka,13,friendly,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly","[('Shaka | shaka', 'motto', 'Shaka | shaka')]",[],[]
shaka,26,by,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by","[('Shaka sign | shaka sign', 'instance of', 'Gang sign | gesture')]","[('Shaka sign | shaka sign', 'instance of', '--NME-- | gesture'), ('Hawaii', 'instance of', 'Surf culture | surf culture'), ('Surf culture | surf culture', 'location', 'Hawaii')]","[0.550000011920929, 0.10999999940395355, 0.14000000059604645]"
shaka,27,extending,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending","[('Hawaii', 'instance of', 'Surf culture | surf culture')]","[('Shaka sign | shaka sign', 'instance of', '--NME-- | gesture'), ('Surf culture | surf culture', 'location', 'Hawaii')]","[0.36000001430511475, 0.3499999940395355]"
shaka,28,the,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the","[('Shaka sign | shaka sign', 'instance of', '--NME-- | gesture')]","[('Shaka sign | shaka sign', 'instance of', 'Intention | gesture'), ('Intention | friendly intent', 'subclass of', 'Intention | gesture'), ('Surf culture | surf culture', 'location', 'Hawaii')]","[0.5400000214576721, 0.11999999731779099, 0.23000000417232513]"
shaka,29,thumb,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb","[('Intention | friendly intent', 'subclass of', 'Intention | gesture'), ('Shaka sign | shaka sign', 'instance of', 'Intention | gesture')]","[('Shaka sign | shaka sign', 'instance of', '--NME-- | gesture'), ('Shaka sign | shaka sign', 'represents', 'Hawaii'), ('Hawaii', 'instance of', 'Surf culture | surf culture'), ('Surf culture | surf culture', 'location', 'Hawaii')]","[0.5199999809265137, 0.4300000071525574, 0.25999999046325684, 0.14000000059604645]"
shaka,32,finger,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger","[('Surf culture | surf culture', 'location', 'Hawaii'), ('Hawaii', 'instance of', 'Surf culture | surf culture')]","[('Shaka sign | shaka sign', 'instance of', '--NME-- | gesture'), ('Shaka sign | shaka sign', 'represents', 'Hawaii')]","[0.49000000953674316, 0.41999998688697815]"
shaka,36,three,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three","[('Shaka sign | shaka sign', 'subclass of', '--NME-- | gesture'), ('Shaka sign | shaka sign', 'instance of', '--NME-- | gesture')]","[('Shaka sign | shaka sign', 'subclass of', 'Intention | gesture'), ('Shaka sign | shaka sign', 'instance of', 'Intention | gesture'), ('Shaka sign | shaka sign', 'represents', 'Hawaii'), ('Hawaii', 'instance of', 'Surf culture | surf culture'), ('Surf culture | surf culture', 'location', 'Hawaii')]","[0.11999999731779099, 0.6299999952316284, 0.2199999988079071, 0.3799999952316284, 0.18000000715255737]"
shaka,37,middle,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three middle","[('Shaka sign | shaka sign', 'instance of', 'Intention | gesture'), ('Shaka sign | shaka sign', 'subclass of', 'Intention | gesture')]","[('Shaka sign | shaka sign', 'subclass of', '--NME-- | gesture'), ('Shaka sign | shaka sign', 'instance of', '--NME-- | gesture'), ('Shaka sign | shaka sign', 'represents', 'Hawaii'), ('Hawaii', 'instance of', 'Surf culture | surf culture'), ('Surf culture | surf culture', 'location', 'Hawaii')]","[0.12999999523162842, 0.5899999737739563, 0.27000001072883606, 0.3799999952316284, 0.1899999976158142]"
shaka,38,fingers,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three middle fingers","[('Shaka sign | shaka sign', 'subclass of', '--NME-- | gesture'), ('Shaka sign | shaka sign', 'instance of', '--NME-- | gesture'), ('Hawaii', 'instance of', 'Surf culture | surf culture'), ('Surf culture | surf culture', 'location', 'Hawaii'), ('Shaka sign | shaka sign', 'represents', 'Hawaii')]",[],[]
