text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
thylacine,12,It,The thylacine was the largest known carnivorous marsupial of modern times. It,"[('Carnivore | carnivorous', 'subclass of', 'Marsupial | marsupial')]","[('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial')]",[0.5400000214576721]
thylacine,16,as,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as,"[('Carnivore | carnivorous', 'subclass of', 'Marsupial | marsupial'), ('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial')]",[],[]
thylacine,18,Tasmanian,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian,"[('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial')]",[],[]
thylacine,23,striped,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped,"[('Ty the Tasmanian Tiger | Tasmanian tiger', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | thylacine', 'subclass of', 'Marsupial | marsupial'), ('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian')]","[('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial')]",[0.17000000178813934]
thylacine,27,the,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the","[('Ty the Tasmanian Tiger | Tasmanian tiger', 'taxon range', '--NME-- | Tasmanian'), ('Ty the Tasmanian Tiger | Tasmanian tiger', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | its', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | It', 'endemic to', '--NME-- | Tasmanian')]","[('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial'), ('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Ty the Tasmanian Tiger | Tasmanian tiger', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian')]","[0.27000001072883606, 0.33000001311302185, 0.7400000095367432, 0.3400000035762787]"
thylacine,28,Tasmanian,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian","[('Ty the Tasmanian Tiger | Tasmanian tiger', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian')]","[('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial'), ('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Ty the Tasmanian Tiger | Tasmanian tiger', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian')]","[0.2800000011920929, 0.12999999523162842, 0.800000011920929, 0.23999999463558197]"
thylacine,29,wolf,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf","[('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Ty the Tasmanian Tiger | Tasmanian tiger', 'endemic to', 'Tasmania | Tasmanian')]","[('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial'), ('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Tasmanian devil | Tasmanian', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Tasmanian devil | Tasmanian', 'endemic to', 'Tasmanian devil | Tasmanian')]","[0.23999999463558197, 0.20000000298023224, 0.2199999988079071, 0.3199999928474426, 0.20000000298023224]"
thylacine,30,because,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because","[('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian')]","[('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial'), ('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Tasmanian devil | Tasmanian', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Tasmanian devil | Tasmanian', 'endemic to', 'Tasmanian devil | Tasmanian')]","[0.17000000178813934, 0.10999999940395355, 0.3499999940395355, 0.25999999046325684]"
thylacine,33,canine-like,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like","[('Tasmanian devil | Tasmanian', 'endemic to', 'Tasmanian devil | Tasmanian')]","[('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial'), ('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | It', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | its', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | its', 'endemic to', '--NME-- | Tasmanian'), ('Canine tooth | canine', 'subclass of', 'Marsupial | marsupial')]","[0.28999999165534973, 0.3100000023841858, 0.12999999523162842, 0.41999998688697815, 0.2199999988079071, 0.23999999463558197, 0.18000000715255737, 0.20000000298023224]"
thylacine,34,"appearance,","The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like appearance,","[('Thylacine | It', 'endemic to', '--NME-- | Tasmanian')]","[('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial'), ('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | its', 'endemic to', '--NME-- | Tasmanian'), ('Canine tooth | canine', 'subclass of', 'Marsupial | marsupial')]","[0.3700000047683716, 0.20999999344348907, 0.3199999928474426, 0.15000000596046448, 0.23000000417232513]"
