text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
wine,9,of,Wine tasting is the sensory examination and evaluation of,"[('Wine tasting', 'facet of', 'Sensory analysis | sensory'), ('Sensory analysis | sensory examination', 'facet of', 'Sensory analysis | sensory')]",[],[]
wine,22,"production,","Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production,","[('Wine tasting | wine tasting', 'facet of', 'Wine | wine'), ('Wine tasting', 'is the study of', 'Wine | wine')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine')]","[0.6600000262260437, 0.11999999731779099, 0.4300000071525574]"
wine,23,a,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a","[('Sensory analysis | sensory', 'facet of', 'Wine | wine')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine'), ('Wine tasting | wine tasting', 'subclass of', 'Wine | wine'), ('Wine tasting | wine tasting', 'facet of', 'Wine | wine'), ('Wine | its', 'instance of', 'Wine tasting | wine tasting')]","[0.6399999856948853, 0.10999999940395355, 0.17000000178813934, 0.2199999988079071, 0.25]"
wine,24,more,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more","[('Wine | its', 'instance of', 'Wine tasting | wine tasting'), ('Wine tasting | wine tasting', 'facet of', 'Wine | wine'), ('Wine tasting | wine tasting', 'subclass of', 'Wine | wine')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine')]","[0.5899999737739563, 0.20000000298023224, 0.23000000417232513]"
wine,25,formalized,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized","[('Sensory analysis | sensory', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('Wine | its', 'instance of', 'Wine tasting | wine tasting')]","[0.5099999904632568, 0.30000001192092896]"
wine,26,methodology,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology","[('Wine | its', 'instance of', 'Wine tasting | wine tasting')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine'), ('--NME-- | evaluation', 'is the study of', 'Wine | wine')]","[0.3400000035762787, 0.10999999940395355, 0.28999999165534973]"
wine,28,slowly,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly","[('Sensory analysis | sensory', 'is the study of', 'Wine | wine'), ('Wine tasting | wine tasting', 'subclass of', 'Wine | wine')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('--NME-- | evaluation', 'is the study of', 'Wine | wine'), ('Wine tasting | wine tasting', 'facet of', 'Wine | wine'), ('Wine | its', 'instance of', 'Wine tasting | wine tasting')]","[0.3499999940395355, 0.2800000011920929, 0.10000000149011612, 0.11999999731779099]"
wine,29,become,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become","[('Wine tasting | wine tasting', 'facet of', 'Wine | wine'), ('Wine | its', 'instance of', 'Wine tasting | wine tasting')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('--NME-- | evaluation', 'is the study of', 'Wine | wine')]","[0.41999998688697815, 0.30000001192092896]"
wine,32,the,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the","[('Sensory analysis | sensory', 'is the study of', 'Wine | wine')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('--NME-- | evaluation', 'is the study of', 'Wine | wine'), ('Wine tasting | wine tasting', 'facet of', 'Wine | wine'), ('Wine tasting | wine tasting', 'subclass of', 'Wine | wine'), ('Wine | its', 'instance of', 'Wine tasting | wine tasting')]","[0.4000000059604645, 0.3199999928474426, 0.14000000059604645, 0.10000000149011612, 0.1599999964237213]"
wine,34,middle,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle","[('Wine | its', 'instance of', 'Wine tasting | wine tasting'), ('Wine tasting | wine tasting', 'facet of', 'Wine | wine'), ('--NME-- | evaluation', 'is the study of', 'Wine | wine'), ('Wine tasting | wine tasting', 'subclass of', 'Wine | wine'), ('Wine tasting', 'is the study of', 'Wine | wine')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine')]","[0.4300000071525574, 0.12999999523162842]"
wine,35,ages,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages","[('Sensory analysis | sensory', 'is the study of', 'Wine | wine')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('--NME-- | evaluation', 'is the study of', 'Wine | wine'), ('Wine | wine', 'field of work', '--NME-- | evaluation')]","[0.5099999904632568, 0.27000001072883606, 0.10000000149011612]"
wine,36,onwards.,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards.","[('Wine | wine', 'field of work', '--NME-- | evaluation'), ('--NME-- | evaluation', 'is the study of', 'Wine | wine')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('MEASURE Evaluation | evaluation', 'is the study of', 'Wine | wine')]","[0.33000001311302185, 0.23999999463558197]"
wine,38,professional,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards. Modern, professional","[('Wine | its', 'instance of', 'Wine tasting | wine tasting'), ('Wine tasting | wine tasting', 'facet of', 'Wine | wine'), ('Wine | wine', 'field of work', 'MEASURE Evaluation | evaluation'), ('Wine tasting | wine tasting', 'subclass of', 'Wine | wine')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine'), ('MEASURE Evaluation | evaluation', 'is the study of', 'Wine | wine')]","[0.4699999988079071, 0.10000000149011612, 0.27000001072883606]"
wine,39,wine,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards. Modern, professional wine","[('MEASURE Evaluation | evaluation', 'is the study of', 'Wine | wine')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine'), ('--NME-- | evaluation', 'is the study of', 'Wine | wine')]","[0.3199999928474426, 0.25, 0.30000001192092896]"
wine,40,tasters,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards. Modern, professional wine tasters","[('--NME-- | evaluation', 'is the study of', 'Wine | wine')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine'), ('Wine | wine', 'field of work', 'Wine tasting'), ('Wine | its', 'instance of', 'Wine tasting | wine tasting')]","[0.4000000059604645, 0.2199999988079071, 0.10999999940395355, 0.11999999731779099]"
wine,42,a,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards. Modern, professional wine tasters use a","[('Wine | its', 'instance of', 'Wine tasting | wine tasting')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine'), ('Wine | wine', 'field of work', 'Wine tasting')]","[0.3400000035762787, 0.18000000715255737, 0.15000000596046448]"
wine,44,evolving,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards. Modern, professional wine tasters use a constantly evolving","[('Sensory analysis | sensory', 'facet of', 'Wine | wine')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine'), ('Wine | wine', 'field of work', 'Wine tasting')]","[0.3400000035762787, 0.14000000059604645, 0.14000000059604645]"
wine,47,which,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards. Modern, professional wine tasters use a constantly evolving specialized terminology which","[('Wine tasting', 'is the study of', 'Wine | wine')]","[('Wine tasting', 'subclass of', 'Sensory analysis | sensory'), ('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine'), ('Wine | wine', 'field of work', 'Wine tasting')]","[0.10000000149011612, 0.25, 0.1599999964237213, 0.17000000178813934, 0.12999999523162842]"
wine,52,the,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards. Modern, professional wine tasters use a constantly evolving specialized terminology which is used to describe the","[('Wine tasting', 'is the study of', 'Wine | wine')]","[('Wine tasting', 'subclass of', 'Sensory analysis | sensory'), ('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine'), ('Wine | wine', 'field of work', 'Wine tasting')]","[0.15000000596046448, 0.28999999165534973, 0.1599999964237213, 0.17000000178813934, 0.11999999731779099]"
wine,55,perceived,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards. Modern, professional wine tasters use a constantly evolving specialized terminology which is used to describe the range of perceived","[('Wine | wine', 'field of work', 'Wine tasting'), ('Wine tasting', 'is the study of', 'Wine | wine')]","[('Wine tasting', 'subclass of', 'Sensory analysis | sensory'), ('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine')]","[0.18000000715255737, 0.23999999463558197, 0.18000000715255737, 0.17000000178813934]"
wine,56,"flavors,","Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards. Modern, professional wine tasters use a constantly evolving specialized terminology which is used to describe the range of perceived flavors,","[('Wine tasting', 'subclass of', 'Sensory analysis | sensory')]","[('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine')]","[0.18000000715255737, 0.14000000059604645, 0.20999999344348907]"
