text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
beekeeping,9,"humans,","Beekeeping is the maintenance of bee colonies by humans,","[('Colony of Bees | bee colonies', 'used by', 'Beekeeping'), ('Colony of Bees | bee colonies', 'natural product of taxon', 'Beekeeping')]",[],[]
beekeeping,19,most,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most","[('Hives | hives', 'has use', 'Beekeeping')]","[('Hives | hives', 'used by', 'Beekeeping')]",[1.0]
beekeeping,26,honey,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey","[('Hives | hives', 'has use', 'Beekeeping')]","[('Hives | hives', 'used by', 'Beekeeping'), ('Honey bee | honey', 'natural product of taxon', 'Bee | bee')]","[1.0, 0.9599999785423279]"
beekeeping,27,bees.,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees.","[('Honey bee | honey', 'natural product of taxon', 'Bee | bee'), ('Hives | hives', 'used by', 'Beekeeping')]",[],[]
beekeeping,30,maintains,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains","[('Hives | hives', 'used by', 'Beekeeping')]","[('Hives | hives', 'used by', 'Beekeeper | Beekeeping'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'different from', 'Bee | bee')]","[0.1599999964237213, 0.6000000238418579, 0.17000000178813934]"
beekeeping,31,these,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these","[('Honey bee | honey bees', 'different from', 'Bee | bee')]","[('Hives | hives', 'used by', 'Beekeeper | Beekeeping'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee')]","[0.36000001430511475, 0.75]"
beekeeping,41,products,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products","[('Honey bee | honey bees', 'different from', 'Bee | bee')]","[('Hives | hives', 'used by', 'Beekeeper | Beekeeping'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey | honey', 'natural product of taxon', 'Honey bee | honey bees')]","[0.47999998927116394, 0.5199999809265137, 0.6700000166893005]"
beekeeping,44,hive,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive","[('Hives | hives', 'used by', 'Beekeeper | Beekeeping'), ('Honey | honey', 'natural product of taxon', 'Honey bee | honey bees')]","[('Beekeeping', 'facet of', 'Honey bee | honey bees'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'different from', 'Bee | bee')]","[0.25, 0.5799999833106995, 0.10999999940395355]"
beekeeping,45,produces,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces","[('Beekeeping', 'facet of', 'Honey bee | honey bees')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'different from', 'Bee | bee')]","[0.36000001430511475, 0.27000001072883606]"
beekeeping,48,"beeswax),","Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax),","[('Honey bee | honey bees', 'different from', 'Bee | bee')]","[('Honey bee | honey bees', 'part of', 'Beekeeping'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Beekeeper | beekeeper', 'part of', 'Beekeeping'), ('Honey | honey', 'natural product of taxon', 'Honey bee | honey bees')]","[0.14000000059604645, 0.2199999988079071, 0.1599999964237213, 0.17000000178813934]"
beekeeping,49,but,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but","[('Beekeeper | beekeeper', 'part of', 'Beekeeping')]","[('Honey bee | honey bees', 'part of', 'Beekeeping'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey | honey', 'natural product of taxon', 'Honey bee | honey bees')]","[0.14000000059604645, 0.23000000417232513, 0.14000000059604645]"
beekeeping,52,pollinate,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate","[('Beekeeper | beekeeper', 'part of', 'Beekeeping')]","[('Honey bee | honey bees', 'part of', 'Beekeeping'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'different from', 'Bee | bee'), ('Honey | honey', 'natural product of taxon', 'Honey bee | honey bees')]","[0.30000001192092896, 0.6700000166893005, 0.14000000059604645, 0.6200000047683716]"
beekeeping,53,"crops,","Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops,","[('Honey bee | honey bees', 'part of', 'Beekeeping')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'different from', 'Bee | bee'), ('Honey | honey', 'natural product of taxon', 'Honey bee | honey bees')]","[0.4699999988079071, 0.10000000149011612, 0.11999999731779099]"
beekeeping,54,or,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or","[('Honey bee | honey bees', 'different from', 'Bee | bee')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey | honey', 'natural product of taxon', 'Honey bee | honey bees')]","[0.28999999165534973, 0.30000001192092896]"
beekeeping,55,to,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to","[('Honey | honey', 'natural product of taxon', 'Honey bee | honey bees')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee')]",[0.28999999165534973]
beekeeping,57,bees,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees","[('Honey | honey', 'natural product of taxon', 'Honey bee | honey bees')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'different from', 'Bee | bee')]","[0.6600000262260437, 0.18000000715255737]"
beekeeping,59,sale,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees for sale","[('Honey bee | honey bees', 'different from', 'Bee | bee')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee')]",[0.7200000286102295]
beekeeping,64,domestication,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees for sale to other beekeepers. The domestication","[('Beekeeper | beekeeper', 'part of', 'Beekeeping')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'different from', 'Bee | bee')]","[0.7699999809265137, 0.27000001072883606]"
beekeeping,66,bees,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees for sale to other beekeepers. The domestication of bees","[('Beekeeper | beekeeper', 'part of', 'Beekeeping')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'different from', 'Bee | bee'), ('Beekeeper | beekeeper', 'used by', 'Beekeeping'), ('Beeswax | beeswax', 'used by', 'Beekeeping')]","[0.7900000214576721, 0.25, 0.17000000178813934, 0.27000001072883606]"
beekeeping,68,depicted,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees for sale to other beekeepers. The domestication of bees is depicted","[('Beeswax | beeswax', 'used by', 'Beekeeping'), ('Honey bee | honey bees', 'different from', 'Bee | bee'), ('Beekeeper | beekeeper', 'used by', 'Beekeeping')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee')]",[0.8700000047683716]
beekeeping,76,years,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees for sale to other beekeepers. The domestication of bees is depicted in Egyptian art from over four thousand years","[('Honey | honey', 'natural product of taxon', 'Bee | bees')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee')]",[0.7099999785423279]
beekeeping,78,Back,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees for sale to other beekeepers. The domestication of bees is depicted in Egyptian art from over four thousand years ago. Back","[('Honey | honey', 'natural product of taxon', 'Bee | bees')]","[('Honeycomb | hives', 'used by', 'Beekeeper | Beekeeping'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee')]","[0.5099999904632568, 0.6499999761581421]"
beekeeping,79,"then,","Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees for sale to other beekeepers. The domestication of bees is depicted in Egyptian art from over four thousand years ago. Back then,","[('Honeycomb | hives', 'used by', 'Beekeeper | Beekeeping')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee')]",[0.6399999856948853]
beekeeping,86,for,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees for sale to other beekeepers. The domestication of bees is depicted in Egyptian art from over four thousand years ago. Back then, simple hives and smoke were used for","[('Beeswax | beeswax', 'used by', 'Beekeeping')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee')]",[0.3700000047683716]
beekeeping,115,an,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees for sale to other beekeepers. The domestication of bees is depicted in Egyptian art from over four thousand years ago. Back then, simple hives and smoke were used for beekeeping, and honey was stored in jars – some of which were found in the tombs of pharaohs. This process was largely unchanged until the eighteenth century, when an","[('Bee | bee', 'different from', 'Honey bee | honey bees'), ('Honey bee | honey bees', 'different from', 'Bee | bee')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Beekeeper | beekeeper', 'part of', 'Beekeeping')]","[0.23999999463558197, 0.33000001311302185]"
beekeeping,122,bees,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees for sale to other beekeepers. The domestication of bees is depicted in Egyptian art from over four thousand years ago. Back then, simple hives and smoke were used for beekeeping, and honey was stored in jars – some of which were found in the tombs of pharaohs. This process was largely unchanged until the eighteenth century, when an improved understanding of the biology of bees","[('Honey bee | honey bees', 'different from', 'Bee | bee')]","[('Bee | bee', 'different from', 'Honey bee | honey bees'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Beekeeper | beekeeper', 'part of', 'Beekeeping')]","[0.23000000417232513, 0.23999999463558197, 0.3199999928474426, 0.33000001311302185]"
beekeeping,126,invention,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees for sale to other beekeepers. The domestication of bees is depicted in Egyptian art from over four thousand years ago. Back then, simple hives and smoke were used for beekeeping, and honey was stored in jars – some of which were found in the tombs of pharaohs. This process was largely unchanged until the eighteenth century, when an improved understanding of the biology of bees led to the invention","[('Honey bee | honey bees', 'different from', 'Bee | bee')]","[('Bee | bee', 'different from', 'Honey bee | honey bees'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Beekeeper | beekeeper', 'part of', 'Beekeeping')]","[0.1599999964237213, 0.23999999463558197, 0.4399999976158142, 0.33000001311302185]"
beekeeping,127,of,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees for sale to other beekeepers. The domestication of bees is depicted in Egyptian art from over four thousand years ago. Back then, simple hives and smoke were used for beekeeping, and honey was stored in jars – some of which were found in the tombs of pharaohs. This process was largely unchanged until the eighteenth century, when an improved understanding of the biology of bees led to the invention of","[('Bee | bee', 'different from', 'Honey bee | honey bees')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Beekeeper | beekeeper', 'part of', 'Beekeeping')]","[0.23999999463558197, 0.30000001192092896, 0.33000001311302185]"
beekeeping,130,comb,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees for sale to other beekeepers. The domestication of bees is depicted in Egyptian art from over four thousand years ago. Back then, simple hives and smoke were used for beekeeping, and honey was stored in jars – some of which were found in the tombs of pharaohs. This process was largely unchanged until the eighteenth century, when an improved understanding of the biology of bees led to the invention of the moveable comb","[('Honey bee | honey bees', 'different from', 'Bee | bee')]","[('Bee | bee', 'different from', 'Honey bee | honey bees'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Beekeeper | beekeeper', 'part of', 'Beekeeping')]","[0.11999999731779099, 0.23999999463558197, 0.5400000214576721, 0.33000001311302185]"
beekeeping,131,hive,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees for sale to other beekeepers. The domestication of bees is depicted in Egyptian art from over four thousand years ago. Back then, simple hives and smoke were used for beekeeping, and honey was stored in jars – some of which were found in the tombs of pharaohs. This process was largely unchanged until the eighteenth century, when an improved understanding of the biology of bees led to the invention of the moveable comb hive","[('Bee | bee', 'different from', 'Honey bee | honey bees')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Beekeeper | beekeeper', 'part of', 'Beekeeping')]","[0.23999999463558197, 0.6499999761581421, 0.33000001311302185]"
beekeeping,134,allowing,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees for sale to other beekeepers. The domestication of bees is depicted in Egyptian art from over four thousand years ago. Back then, simple hives and smoke were used for beekeeping, and honey was stored in jars – some of which were found in the tombs of pharaohs. This process was largely unchanged until the eighteenth century, when an improved understanding of the biology of bees led to the invention of the moveable comb hive in Europe, allowing","[('Bee | bee', 'different from', 'Honey bee | honey bees')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Beekeeper | beekeeper', 'part of', 'Beekeeping')]","[0.23999999463558197, 0.33000001311302185]"
beekeeping,147,believe,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees for sale to other beekeepers. The domestication of bees is depicted in Egyptian art from over four thousand years ago. Back then, simple hives and smoke were used for beekeeping, and honey was stored in jars – some of which were found in the tombs of pharaohs. This process was largely unchanged until the eighteenth century, when an improved understanding of the biology of bees led to the invention of the moveable comb hive in Europe, allowing honey to be harvested without destroying the entire colony. Today, some beekeepers believe","[('Beeswax | beeswax', 'natural product of taxon', 'Bee | bees')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Beekeeper | beekeeper', 'part of', 'Beekeeping'), ('Honey | honey', 'natural product of taxon', 'Bee | bees'), ('Honey | honey', 'natural product of taxon', 'Bee | bees'), ('Honey | honey', 'natural product of taxon', 'Bee | bees'), ('Honey | honey', 'natural product of taxon', 'Bee | bees')]","[0.23999999463558197, 0.33000001311302185, 0.9200000166893005, 0.9399999976158142, 0.9800000190734863, 0.9900000095367432]"
beekeeping,150,more,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees for sale to other beekeepers. The domestication of bees is depicted in Egyptian art from over four thousand years ago. Back then, simple hives and smoke were used for beekeeping, and honey was stored in jars – some of which were found in the tombs of pharaohs. This process was largely unchanged until the eighteenth century, when an improved understanding of the biology of bees led to the invention of the moveable comb hive in Europe, allowing honey to be harvested without destroying the entire colony. Today, some beekeepers believe that the more","[('Beeswax | beeswax', 'natural product of taxon', 'Bee | bees')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Beekeeper | beekeeper', 'part of', 'Beekeeping'), ('Honey | honey', 'natural product of taxon', 'Bee | bees'), ('Honey | honey', 'natural product of taxon', 'Bee | bees'), ('Honey | honey', 'natural product of taxon', 'Bee | bees'), ('Honey | honey', 'natural product of taxon', 'Bee | bees')]","[0.23999999463558197, 0.33000001311302185, 0.9200000166893005, 0.9800000190734863, 0.9800000190734863, 0.9900000095367432]"
beekeeping,162,it,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees for sale to other beekeepers. The domestication of bees is depicted in Egyptian art from over four thousand years ago. Back then, simple hives and smoke were used for beekeeping, and honey was stored in jars – some of which were found in the tombs of pharaohs. This process was largely unchanged until the eighteenth century, when an improved understanding of the biology of bees led to the invention of the moveable comb hive in Europe, allowing honey to be harvested without destroying the entire colony. Today, some beekeepers believe that the more stings a beekeeper receives, the less irritation each one causes, and it","[('Beeswax | beeswax', 'natural product of taxon', 'Bee | bees')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Beekeeper | beekeeper', 'part of', 'Beekeeping'), ('Honey | honey', 'natural product of taxon', 'Bee | bees'), ('Honey | honey', 'natural product of taxon', 'Bee | bees'), ('Honey | honey', 'natural product of taxon', 'Bee | bees'), ('Honey | honey', 'natural product of taxon', 'Bee | bees')]","[0.23999999463558197, 0.33000001311302185, 0.9200000166893005, 0.11999999731779099, 0.7099999785423279, 0.9900000095367432]"
beekeeping,164,considered,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees for sale to other beekeepers. The domestication of bees is depicted in Egyptian art from over four thousand years ago. Back then, simple hives and smoke were used for beekeeping, and honey was stored in jars – some of which were found in the tombs of pharaohs. This process was largely unchanged until the eighteenth century, when an improved understanding of the biology of bees led to the invention of the moveable comb hive in Europe, allowing honey to be harvested without destroying the entire colony. Today, some beekeepers believe that the more stings a beekeeper receives, the less irritation each one causes, and it is considered","[('Ancient Egypt | Egyptian', 'location', 'Europe')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Beekeeper | beekeeper', 'part of', 'Beekeeping'), ('Honey | honey', 'natural product of taxon', 'Bee | bees'), ('Honey | honey', 'natural product of taxon', 'Bee | bees'), ('Honey | honey', 'natural product of taxon', 'Bee | bees'), ('Honey | honey', 'natural product of taxon', 'Bee | bees')]","[0.23999999463558197, 0.33000001311302185, 0.9200000166893005, 0.2199999988079071, 0.8700000047683716, 0.9900000095367432]"
beekeeping,167,the,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees for sale to other beekeepers. The domestication of bees is depicted in Egyptian art from over four thousand years ago. Back then, simple hives and smoke were used for beekeeping, and honey was stored in jars – some of which were found in the tombs of pharaohs. This process was largely unchanged until the eighteenth century, when an improved understanding of the biology of bees led to the invention of the moveable comb hive in Europe, allowing honey to be harvested without destroying the entire colony. Today, some beekeepers believe that the more stings a beekeeper receives, the less irritation each one causes, and it is considered important for the","[('Ancient Egypt | Egyptian', 'location', 'Europe')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Beekeeper | beekeeper', 'part of', 'Beekeeping'), ('Honey | honey', 'natural product of taxon', 'Bee | bees'), ('Honey | honey', 'natural product of taxon', 'Bee | bees')]","[0.23999999463558197, 0.33000001311302185, 0.9200000166893005, 0.9900000095367432]"
