text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
doping,9,banned,"In competitive sports, doping is the use of banned","[('Doping in sport | doping', 'subclass of', 'Doping in sport | competitive sports')]",[],[]
doping,17,doping,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping","[('Doping in sport | doping', 'subclass of', 'Doping in sport | competitive sports')]",[],[]
doping,20,used,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used","[('Doping in sport | doping', 'subclass of', 'Doping in sport | competitive sports')]",[],[]
doping,37,"unethical,","In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical,","[('Doping in sport | doping', 'facet of', 'High-performance sport | competitive sports')]",[],[]
doping,39,is,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is","[('Performance-enhancing substance | performance-enhancing drugs', 'has use', 'High-performance sport | competitive sports')]",[],[]
doping,43,most,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most","[('Doping in sport | doping', 'facet of', 'High-performance sport | competitive sports')]",[],[]
doping,46,"organizations,","In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations,","[('Doping in sport | doping', 'subclass of', 'International sport | competitive sports')]","[('Doping in sport | doping', 'subclass of', 'High-performance sport | competitive sports')]",[0.6499999761581421]
doping,51,Committee.,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee.","[('Doping in sport | doping', 'subclass of', 'High-performance sport | competitive sports')]",[],[]
doping,53,athletes,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes","[('Athlete | athletic', 'field of work', 'High-performance sport | competitive sports')]","[('Doping in sport | doping', 'facet of', 'High-performance sport | competitive sports')]",[0.11999999731779099]
doping,54,who,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who","[('Doping in sport | doping', 'facet of', 'High-performance sport | competitive sports')]","[('Athlete | athletic', 'field of work', 'High-performance sport | competitive sports')]",[0.14000000059604645]
doping,56,explicit,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit","[('Athlete | athletic', 'field of work', 'High-performance sport | competitive sports')]","[('Doping in sport | doping', 'organizer', '--NME-- | international sports organizations')]",[0.14000000059604645]
doping,57,measures,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures","[('Doping in sport | doping', 'organizer', '--NME-- | international sports organizations')]",[],[]
doping,61,exacerbate,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate","[('--NME-- | organizations which regulate sporting competitions', 'organizer', 'International Olympic Committee'), ('--NME-- | organizations which regulate sporting competitions', 'organizer', 'International Olympic Committee | international sports organizations')]","[('Doping in sport | doping', 'facet of', 'High-performance sport | competitive sports'), ('Athlete | athletic', 'field of work', 'High-performance sport | competitive sports')]","[0.15000000596046448, 0.11999999731779099]"
doping,63,ethical,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical","[('--NME-- | organizations which regulate sporting competitions', 'organizer', 'International Olympic Committee'), ('--NME-- | organizations which regulate sporting competitions', 'organizer', 'International Olympic Committee | international sports organizations')]","[('Doping in sport | doping', 'facet of', 'High-performance sport | competitive sports'), ('Athlete | athletic', 'field of work', 'High-performance sport | competitive sports')]","[0.12999999523162842, 0.15000000596046448]"
doping,64,violation,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation","[('Athlete | athletic', 'field of work', 'High-performance sport | competitive sports'), ('Doping in sport | doping', 'facet of', 'High-performance sport | competitive sports')]",[],[]
doping,68,and,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and","[('Doping in sport | doping', 'facet of', 'High-performance sport | competitive sports')]",[],[]
doping,70,Despite,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite","[('Doping in sport | doping', 'organizer', 'International Olympic Committee | international sports organizations')]","[('Performance-enhancing substance | performance-enhancing drugs', 'facet of', 'Doping in sport | doping'), ('--NME-- | organizations which regulate sporting competitions', 'organizer', 'International Olympic Committee')]","[0.1599999964237213, 0.25]"
doping,71,its,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its","[('--NME-- | organizations which regulate sporting competitions', 'organizer', 'International Olympic Committee')]","[('Performance-enhancing substance | performance-enhancing drugs', 'facet of', 'Doping in sport | doping'), ('Athlete | athletic', 'field of work', 'High-performance sport | competitive sports')]","[0.2199999988079071, 0.3100000023841858]"
doping,72,prevalence,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence","[('Athlete | athletic', 'field of work', 'High-performance sport | competitive sports')]","[('Performance-enhancing substance | performance-enhancing drugs', 'facet of', 'Doping in sport | doping'), ('--NME-- | organizations which regulate sporting competitions', 'organizer', 'International Olympic Committee')]","[0.23000000417232513, 0.25999999046325684]"
doping,75,headlines,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines","[('--NME-- | organizations which regulate sporting competitions', 'organizer', 'International Olympic Committee')]","[('Performance-enhancing substance | performance-enhancing drugs', 'facet of', 'Doping in sport | doping')]",[0.12999999523162842]
doping,77,doping,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines recently, doping","[('--NME-- | organizations which regulate sporting competitions', 'organizer', 'International Olympic Committee')]","[('Performance-enhancing substance | performance-enhancing drugs', 'facet of', 'Doping in sport | doping'), ('Athlete | athletic', 'field of work', 'High-performance sport | competitive sports')]","[0.14000000059604645, 0.36000001430511475]"
doping,78,is,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines recently, doping is","[('Athlete | athletic', 'field of work', 'High-performance sport | competitive sports')]","[('Performance-enhancing substance | performance-enhancing drugs', 'facet of', 'Doping in sport | doping'), ('High-performance sport | organizations which regulate sporting competitions', 'organizer', 'International Olympic Committee')]","[0.17000000178813934, 0.30000001192092896]"
doping,79,not,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines recently, doping is not","[('High-performance sport | organizations which regulate sporting competitions', 'organizer', 'International Olympic Committee')]","[('Performance-enhancing substance | performance-enhancing drugs', 'facet of', 'Doping in sport | doping'), ('Athlete | athletic', 'field of work', 'High-performance sport | competitive sports'), ('Athlete | athletic', 'field of work', '--NME-- | organizations which regulate sporting competitions'), ('--NME-- | organizations which regulate sporting competitions', 'organizer', '--NME-- | international sports organizations'), ('--NME-- | organizations which regulate sporting competitions', 'organizer', 'International Olympic Committee')]","[0.1899999976158142, 0.20999999344348907, 0.1599999964237213, 0.18000000715255737, 0.5699999928474426]"
