text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
janus,8,is,"In ancient Roman religion and myth, Janus is","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus', 'part of', 'Roman mythology | myth')]",[],[]
janus,12,beginnings,"In ancient Roman religion and myth, Janus is the god of beginnings","[('Janus', 'part of', 'Roman mythology | myth')]","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion')]",[0.10999999940395355]
janus,14,gates.,"In ancient Roman religion and myth, Janus is the god of beginnings and gates.","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion')]",[],[]
janus,19,nature,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature","[('Janus | the god of beginnings and gates', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus', 'part of', 'Roman mythology | myth')]",[],[]
janus,42,beginning,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning","[('Janus | the god of beginnings and gates', 'part of', 'Religion in ancient Rome | ancient Roman religion')]","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion')]",[0.10999999940395355]
janus,43,and,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion')]",[],[]
janus,47,and,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and","[('Janus | the god of beginnings and gates', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion')]",[],[]
janus,49,war,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion')]","[('Janus | the god of beginnings and gates', 'part of', 'Religion in ancient Rome | ancient Roman religion')]",[0.47999998927116394]
janus,53,doors,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus', 'part of', 'Roman mythology | myth')]","[('Janus | the god of beginnings and gates', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', 'Roman mythology | myth')]","[0.75, 0.14000000059604645]"
janus,54,of,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of","[('Janus | the god of beginnings and gates', 'part of', 'Roman mythology | myth')]","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', 'Religion in ancient Rome | ancient Roman religion')]","[0.11999999731779099, 0.5199999809265137]"
janus,56,temple,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his temple","[('Janus | the god of beginnings and gates', 'part of', 'Roman mythology | myth')]","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', 'Religion in ancient Rome | ancient Roman religion')]","[0.4099999964237213, 0.9200000166893005]"
janus,59,in,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his temple were open in","[('Janus | the god of beginnings and gates', 'part of', 'Roman mythology | myth')]","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', 'Religion in ancient Rome | ancient Roman religion')]","[0.5899999737739563, 0.8700000047683716]"
