text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
monocle,8,lens,A monocle is a type of corrective lens,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[0.949999988079071]
monocle,37,attached,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached","[('Lens | lens', 'part of', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,73,upper-class,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]","[('Corrective lens | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[0.8799999952316284]
monocle,79,coat,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat","[('Corrective lens | monocle', 'subclass of', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,82,top,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]","[('Corrective lens | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[0.9599999785423279]
monocle,85,monocle,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle","[('Corrective lens | monocle', 'subclass of', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[0.9900000095367432]
monocle,95,capitalist.,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist.","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]","[('Corrective lens | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[0.9300000071525574]
monocle,96,Monocles,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles","[('Corrective lens | monocle', 'subclass of', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[0.9200000166893005]
monocle,118,today.,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century, monocles are rarely worn today.","[('Monocle | It', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'subclass of', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[0.9900000095367432]
monocle,137,so,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century, monocles are rarely worn today. This is due in large part to advances in optometry, which allow for better measurement of refractive error, so","[('Monocle | the monocle', 'part of', 'Top hat | long coat')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[0.9900000095367432]
monocle,139,glasses,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century, monocles are rarely worn today. This is due in large part to advances in optometry, which allow for better measurement of refractive error, so that glasses","[('Monocle | the monocle', 'part of', 'Top hat | long coat')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Optometry | optometry', 'is the study of', 'Glasses | glasses')]","[0.9900000095367432, 0.9700000286102295]"
monocle,140,and,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century, monocles are rarely worn today. This is due in large part to advances in optometry, which allow for better measurement of refractive error, so that glasses and","[('Optometry | optometry', 'is the study of', 'Glasses | glasses')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Refractive error | refractive error', 'part of', 'Glasses | glasses')]","[0.9900000095367432, 0.15000000596046448]"
monocle,141,contact,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century, monocles are rarely worn today. This is due in large part to advances in optometry, which allow for better measurement of refractive error, so that glasses and contact","[('Refractive error | refractive error', 'part of', 'Glasses | glasses')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Optometry | optometry', 'is the study of', 'Glasses | glasses'), ('Glasses | glasses', 'field of work', 'Optometry | optometry')]","[0.9900000095367432, 0.9800000190734863, 1.0]"
