text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
thylacine,9,of,The thylacine was the largest known carnivorous marsupial of,"[('Thylacine | thylacine', 'subclass of', 'Marsupial | marsupial')]",[],[]
thylacine,19,tiger,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger,"[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian')]","[('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian')]",[1.0]
thylacine,23,striped,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped,"[('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian')]","[('Thylacine | It', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | its', 'endemic to', '--NME-- | Tasmanian')]","[1.0, 1.0]"
thylacine,24,lower,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower,"[('Thylacine | its', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | It', 'endemic to', '--NME-- | Tasmanian')]","[('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian')]","[1.0, 1.0]"
thylacine,25,"back,","The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back,","[('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian')]",[],[]
thylacine,28,Tasmanian,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian","[('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian')]","[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian')]","[1.0, 1.0, 0.9900000095367432, 1.0]"
thylacine,29,wolf,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf","[('Thylacine | its', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian'), ('Thylacine | its', 'significant place', 'Tasmania | Tasmanian'), ('Thylacine | It', 'significant place', 'Tasmania | Tasmanian')]","[('Thylacine | It', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | its', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian')]","[1.0, 0.9800000190734863, 1.0, 0.9700000286102295]"
thylacine,31,of,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of","[('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian')]","[('Carnivore | carnivorous', 'subclass of', 'Marsupial | marsupial'), ('Thylacine | It', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | It', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | its', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | its', 'endemic to', '--NME-- | Tasmanian')]","[0.14000000059604645, 1.0, 0.9800000190734863, 0.9900000095367432, 0.9800000190734863]"
thylacine,33,canine-like,"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like","[('Carnivore | carnivorous', 'subclass of', 'Marsupial | marsupial'), ('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian')]","[('Thylacine | It', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | It', 'endemic to', 'Bat | Tasmanian'), ('Thylacine | its', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | its', 'endemic to', 'Bat | Tasmanian'), ('Thylacine | its', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | its', 'endemic to', 'Bat | Tasmanian')]","[1.0, 1.0, 1.0, 0.9900000095367432, 1.0, 0.9900000095367432]"
thylacine,34,"appearance,","The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like appearance,","[('Thylacine | its', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | It', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | its', 'endemic to', 'Bat | Tasmanian'), ('Thylacine | It', 'endemic to', 'Bat | Tasmanian')]","[('Carnivore | carnivorous', 'subclass of', 'Marsupial | marsupial'), ('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | It', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian'), ('Thylacine | its', 'endemic to', 'Tasmanian devil | Tasmanian')]","[0.27000001072883606, 1.0, 0.9700000286102295, 1.0, 0.9700000286102295, 1.0, 0.9700000286102295]"
