text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
beekeeping,1,Beekeeping,no,Beekeeping,[],[]
beekeeping,2,is,no,Beekeeping is,[],[]
beekeeping,3,the,no,Beekeeping is the,[],[]
beekeeping,4,maintenance,no,Beekeeping is the maintenance,[],[]
beekeeping,5,of,no,Beekeeping is the maintenance of,[],[]
beekeeping,6,bee,no,Beekeeping is the maintenance of bee,[],[]
beekeeping,7,colonies,no,Beekeeping is the maintenance of bee colonies,[],[]
beekeeping,8,by,no,Beekeeping is the maintenance of bee colonies by,[],[]
beekeeping,9,"humans,",yes,"Beekeeping is the maintenance of bee colonies by humans,","[('Beekeeping', 'harvested organism(s)', 'Ant and Bee | bee')]",[0.33000001311302185]
beekeeping,10,typically,yes,"Beekeeping is the maintenance of bee colonies by humans, typically",[],[]
beekeeping,11,with,no,"Beekeeping is the maintenance of bee colonies by humans, typically with",[],[]
beekeeping,12,the,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the",[],[]
beekeeping,13,use,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use",[],[]
beekeeping,14,of,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of",[],[]
beekeeping,15,man-made,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made",[],[]
beekeeping,16,hives.,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives.","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'has use', 'Beekeeping')]","[0.9900000095367432, 0.1599999964237213]"
beekeeping,17,The,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The","[('Hives | hives', 'used by', 'Beekeeping')]",[1.0]
beekeeping,18,species,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'has use', 'Beekeeping')]","[1.0, 0.44999998807907104]"
beekeeping,19,most,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most","[('Hives | hives', 'used by', 'Beekeeping')]",[1.0]
beekeeping,20,commonly,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly","[('Hives | hives', 'used by', 'Beekeeping')]",[1.0]
beekeeping,21,used,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used","[('Hives | hives', 'used by', 'Beekeeping')]",[1.0]
beekeeping,22,in,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in","[('Hives | hives', 'used by', 'Beekeeping')]",[0.9900000095367432]
beekeeping,23,bee,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'has use', 'Beekeeping')]","[1.0, 0.10999999940395355]"
beekeeping,24,colonies,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'has use', 'Beekeeping')]","[1.0, 0.5099999904632568]"
beekeeping,25,are,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'has use', 'Beekeeping')]","[1.0, 0.5799999833106995]"
beekeeping,26,honey,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey","[('Hives | hives', 'used by', 'Beekeeping'), ('Honey bee | honey', 'natural product of taxon', 'Bee | bee')]","[0.9900000095367432, 0.9800000190734863]"
beekeeping,27,bees.,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees.","[('Hives | hives', 'used by', 'Beekeeping'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee')]","[0.9800000190734863, 0.23999999463558197]"
beekeeping,28,A,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A","[('Hives | hives', 'used by', 'Beekeeping'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee')]","[0.9800000190734863, 0.3799999952316284]"
beekeeping,29,beekeeper,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper","[('Hives | hives', 'used by', 'Beekeeping'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'different from', 'Bee | bee')]","[0.9800000190734863, 0.6499999761581421, 0.7699999809265137]"
beekeeping,30,maintains,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains","[('Hives | hives', 'used by', 'Beekeeping'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'different from', 'Bee | bee')]","[0.9900000095367432, 0.9100000262260437, 0.550000011920929]"
beekeeping,31,these,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these","[('Honey bee | honey bees', 'subclass of', 'Bee | bee')]",[0.9599999785423279]
