text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
doping,1,In,no,In,[],[]
doping,2,competitive,no,In competitive,[],[]
doping,3,"sports,",no,"In competitive sports,",[],[]
doping,4,doping,no,"In competitive sports, doping",[],[]
doping,5,is,no,"In competitive sports, doping is",[],[]
doping,6,the,yes,"In competitive sports, doping is the","[('Doping in sport | doping', 'facet of', 'Doping in sport | competitive sports')]",[0.46000000834465027]
doping,7,use,no,"In competitive sports, doping is the use","[('Doping in sport | doping', 'facet of', 'Doping in sport | competitive sports')]",[0.20999999344348907]
doping,8,of,yes,"In competitive sports, doping is the use of","[('Doping in sport | doping', 'subclass of', 'Doping in sport | competitive sports')]",[0.6299999952316284]
doping,9,banned,yes,"In competitive sports, doping is the use of banned","[('Doping in sport | doping', 'competition class', '--NME-- | competitive sports')]",[0.11999999731779099]
doping,10,performance-enhancing,yes,"In competitive sports, doping is the use of banned performance-enhancing","[('Doping in sport | doping', 'sport', 'Doping in sport | competitive sports')]",[0.10999999940395355]
doping,11,drugs,no,"In competitive sports, doping is the use of banned performance-enhancing drugs","[('Doping in sport | doping', 'sport', 'Doping in sport | competitive sports')]",[0.33000001311302185]
doping,12,by,no,"In competitive sports, doping is the use of banned performance-enhancing drugs by","[('Doping in sport | doping', 'sport', 'Doping in sport | competitive sports')]",[0.10999999940395355]
doping,13,athletic,yes,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic",[],[]
doping,14,competitors.,yes,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors.","[('Doping in sport | doping', 'subclass of', 'Doping in sport | competitive sports')]",[0.14000000059604645]
doping,15,The,no,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The","[('Doping in sport | doping', 'subclass of', 'Doping in sport | competitive sports')]",[0.3799999952316284]
doping,16,term,yes,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term",[],[]
doping,17,doping,no,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping",[],[]
doping,18,is,yes,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is","[('Doping in sport | doping', 'subclass of', 'Doping in sport | competitive sports')]",[0.6000000238418579]
doping,19,widely,yes,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely","[('Doping in sport | doping', 'subclass of', 'Competition | competitive sports')]",[0.3199999928474426]
