text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
flag,1,A,no,A,[],[]
flag,2,national,no,A national,[],[]
flag,3,flag,no,A national flag,[],[]
flag,4,is,no,A national flag is,[],[]
flag,5,a,no,A national flag is a,[],[]
flag,6,flag,no,A national flag is a flag,[],[]
flag,7,which,no,A national flag is a flag which,[],[]
flag,8,represents,no,A national flag is a flag which represents,[],[]
flag,9,and,no,A national flag is a flag which represents and,[],[]
flag,10,symbolizes,no,A national flag is a flag which represents and symbolizes,[],[]
flag,11,a,no,A national flag is a flag which represents and symbolizes a,[],[]
flag,12,country.,no,A national flag is a flag which represents and symbolizes a country.,[],[]
flag,13,The,no,A national flag is a flag which represents and symbolizes a country. The,[],[]
flag,14,national,no,A national flag is a flag which represents and symbolizes a country. The national,[],[]
flag,15,flag,no,A national flag is a flag which represents and symbolizes a country. The national flag,[],[]
flag,16,is,no,A national flag is a flag which represents and symbolizes a country. The national flag is,[],[]
flag,17,usually,no,A national flag is a flag which represents and symbolizes a country. The national flag is usually,[],[]
flag,18,flown,no,A national flag is a flag which represents and symbolizes a country. The national flag is usually flown,[],[]
flag,19,by,no,A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by,[],[]
flag,20,the,no,A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the,[],[]
flag,21,government,yes,A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government,"[('National flag | national flag', 'instance of', 'Flag | flag'), ('Country | country', 'flag', 'National flag | national flag')]","[0.10999999940395355, 0.27000001072883606]"
flag,22,of,no,A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of,"[('National flag | national flag', 'instance of', 'Flag | flag'), ('Country | country', 'flag', 'National flag | national flag')]","[0.23999999463558197, 0.11999999731779099]"
flag,23,a,no,A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a,"[('National flag | national flag', 'instance of', 'Flag | flag'), ('Country | country', 'flag', 'National flag | national flag')]","[0.17000000178813934, 0.11999999731779099]"
flag,24,"country,",yes,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country,","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.17000000178813934]
flag,25,but,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.2800000011920929]
flag,26,it,yes,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it","[('National flag | national flag', 'instance of', 'Flag | flag'), ('Government | government', 'significant place', 'Country | country')]","[0.41999998688697815, 0.12999999523162842]"
flag,27,can,yes,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.25999999046325684]
flag,28,also,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.23000000417232513]
flag,29,be,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.15000000596046448]
flag,30,flown,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.4699999988079071]
flag,31,by,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.5699999928474426]
flag,32,its,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.6399999856948853]
flag,33,citizens.,yes,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens.","[('National flag | national flag', 'instance of', 'Flag | flag'), ('Country | country', 'flag', 'National flag | national flag')]","[0.6700000166893005, 0.20000000298023224]"
flag,34,A,yes,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.49000000953674316]
flag,35,national,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.5400000214576721]
flag,36,flag,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.3700000047683716]
flag,37,is,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.3199999928474426]
flag,38,designed,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.23000000417232513]
flag,39,with,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.3100000023841858]
flag,40,specific,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.1899999976158142]
flag,41,meanings,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.11999999731779099]
flag,42,for,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.12999999523162842]
flag,43,its,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.17000000178813934]
flag,44,colours,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.2199999988079071]
flag,45,and,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.14000000059604645]
flag,46,symbols.,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols.","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.12999999523162842]
flag,47,"Historically,",no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically,","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.3100000023841858]
