text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
international,1,'The,no,'The,[],[]
international,2,International,no,'The International,[],[]
international,3,Union,no,'The International Union,[],[]
international,4,for,no,'The International Union for,[],[]
international,5,Conservation,no,'The International Union for Conservation,[],[]
international,6,of,no,'The International Union for Conservation of,[],[]
international,7,Nature,no,'The International Union for Conservation of Nature,[],[]
international,8,is,no,'The International Union for Conservation of Nature is,[],[]
international,9,an,no,'The International Union for Conservation of Nature is an,[],[]
international,10,international,no,'The International Union for Conservation of Nature is an international,[],[]
international,11,organization,no,'The International Union for Conservation of Nature is an international organization,[],[]
international,12,working,no,'The International Union for Conservation of Nature is an international organization working,[],[]
international,13,in,no,'The International Union for Conservation of Nature is an international organization working in,[],[]
international,14,the,no,'The International Union for Conservation of Nature is an international organization working in the,[],[]
international,15,field,no,'The International Union for Conservation of Nature is an international organization working in the field,[],[]
international,16,of,no,'The International Union for Conservation of Nature is an international organization working in the field of,[],[]
international,17,nature,no,'The International Union for Conservation of Nature is an international organization working in the field of nature,[],[]
international,18,conservation,yes,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[1.0]
international,19,and,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.27000001072883606]
international,20,the,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.14000000059604645]
international,21,sustainable,yes,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable,[],[]
international,22,use,yes,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.8899999856948853]
international,23,of,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.28999999165534973]
international,24,natural,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.5699999928474426]
international,25,resources.,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources.,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.6600000262260437]
international,26,It,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.2800000011920929]
international,27,is,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.6499999761581421]
international,28,involved,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.8299999833106995]
international,29,in,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.9399999976158142]
international,30,data,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.949999988079071]
international,31,gathering,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.9900000095367432]
international,32,and,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[1.0]
international,33,"analysis,",no,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis,","[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.9900000095367432]
international,34,"research,",no,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research,","[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.9900000095367432]
international,35,field,no,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field","[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[1.0]
international,36,"projects,",no,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects,","[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[1.0]
international,37,"advocacy,",no,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects, advocacy,","[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[1.0]
international,38,and,no,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects, advocacy, and","[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[1.0]
international,39,education.,no,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects, advocacy, and education.","[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.9900000095367432]
international,40,Its,no,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects, advocacy, and education. Its","[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.9900000095367432]
international,41,mission,no,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects, advocacy, and education. Its mission","[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.9900000095367432]
international,42,is,no,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects, advocacy, and education. Its mission is","[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[1.0]
