text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
janus,1,In,no,In,[],[]
janus,2,ancient,no,In ancient,[],[]
janus,3,Roman,no,In ancient Roman,[],[]
janus,4,religion,no,In ancient Roman religion,[],[]
janus,5,and,no,In ancient Roman religion and,[],[]
janus,6,"myth,",no,"In ancient Roman religion and myth,",[],[]
janus,7,Janus,no,"In ancient Roman religion and myth, Janus",[],[]
janus,8,is,yes,"In ancient Roman religion and myth, Janus is","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion')]",[0.15000000596046448]
janus,9,the,no,"In ancient Roman religion and myth, Janus is the","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion')]",[0.5600000023841858]
janus,10,god,yes,"In ancient Roman religion and myth, Janus is the god",[],[]
janus,11,of,yes,"In ancient Roman religion and myth, Janus is the god of","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion')]",[0.5699999928474426]
janus,12,beginnings,yes,"In ancient Roman religion and myth, Janus is the god of beginnings",[],[]
janus,13,and,no,"In ancient Roman religion and myth, Janus is the god of beginnings and",[],[]
janus,14,gates.,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates.",[],[]
janus,15,He,yes,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He","[('Janus', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', '--NME-- | ancient Roman religion')]","[0.4000000059604645, 0.5799999833106995]"
janus,16,has,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has","[('Janus', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', '--NME-- | ancient Roman religion')]","[0.5600000023841858, 0.6600000262260437]"
janus,17,a,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a","[('Janus', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', '--NME-- | ancient Roman religion')]","[0.38999998569488525, 0.7900000214576721]"
janus,18,double,yes,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double","[('Janus', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'religion or worldview', '--NME-- | ancient Roman religion')]","[0.7099999785423279, 0.8100000023841858, 0.14000000059604645]"
janus,19,nature,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature","[('Janus', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'religion or worldview', '--NME-- | ancient Roman religion')]","[0.41999998688697815, 0.8500000238418579, 0.4099999964237213]"
janus,20,and,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and","[('Janus', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'religion or worldview', '--NME-- | ancient Roman religion')]","[0.6000000238418579, 0.9399999976158142, 0.5899999737739563]"
janus,21,is,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is","[('Janus', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'religion or worldview', '--NME-- | ancient Roman religion')]","[0.4300000071525574, 0.9399999976158142, 0.33000001311302185]"
janus,22,usually,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually","[('Janus', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'religion or worldview', '--NME-- | ancient Roman religion')]","[0.4300000071525574, 0.9700000286102295, 0.1899999976158142]"
janus,23,depicted,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted","[('Janus', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'religion or worldview', '--NME-- | ancient Roman religion')]","[0.699999988079071, 0.9700000286102295, 0.3400000035762787]"
janus,24,as,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as","[('Janus', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'religion or worldview', '--NME-- | ancient Roman religion')]","[0.6800000071525574, 0.9900000095367432, 0.12999999523162842]"
janus,25,having,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having","[('Janus', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'religion or worldview', '--NME-- | ancient Roman religion')]","[0.6499999761581421, 0.9700000286102295, 0.1899999976158142]"
janus,26,two,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two","[('Janus', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'religion or worldview', '--NME-- | ancient Roman religion')]","[0.5, 0.9700000286102295, 0.3100000023841858]"
janus,27,"faces,",no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces,","[('Janus', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'religion or worldview', '--NME-- | ancient Roman religion')]","[0.6000000238418579, 0.9900000095367432, 0.14000000059604645]"
janus,28,since,yes,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since","[('Janus', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', '--NME-- | ancient Roman religion')]","[0.8100000023841858, 1.0]"
janus,29,he,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he","[('Janus', 'part of', '--NME-- | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', '--NME-- | ancient Roman religion')]","[0.9100000262260437, 1.0]"
