text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
thylacine,1,The,no,The,[],[]
thylacine,2,thylacine,no,The thylacine,[],[]
thylacine,3,was,no,The thylacine was,[],[]
thylacine,4,the,no,The thylacine was the,[],[]
thylacine,5,largest,no,The thylacine was the largest,[],[]
thylacine,6,known,no,The thylacine was the largest known,[],[]
thylacine,7,carnivorous,no,The thylacine was the largest known carnivorous,[],[]
thylacine,8,marsupial,no,The thylacine was the largest known carnivorous marsupial,[],[]
thylacine,9,of,no,The thylacine was the largest known carnivorous marsupial of,[],[]
thylacine,10,modern,no,The thylacine was the largest known carnivorous marsupial of modern,[],[]
thylacine,11,times.,no,The thylacine was the largest known carnivorous marsupial of modern times.,[],[]
thylacine,12,It,no,The thylacine was the largest known carnivorous marsupial of modern times. It,[],[]
thylacine,13,is,no,The thylacine was the largest known carnivorous marsupial of modern times. It is,[],[]
thylacine,14,commonly,no,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly,[],[]
thylacine,15,known,no,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known,[],[]
thylacine,16,as,no,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as,[],[]
thylacine,17,the,no,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the,[],[]
thylacine,18,Tasmanian,yes,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian,"[('Thylacine | It', 'endemic to', 'Tasmania | Tasmanian')]",[1.0]
thylacine,19,tiger,yes,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger,"[('Thylacine | It', 'endemic to', '--NME-- | Tasmanian')]",[1.0]
thylacine,20,because,yes,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because,[],[]
thylacine,21,of,yes,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of,"[('Thylacine | It', 'endemic to', '--NME-- | Tasmanian')]",[1.0]
thylacine,22,its,yes,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its,"[('Thylacine | It', 'endemic to', '--NME-- | Tasmanian'), ('Thylacine | its', 'endemic to', '--NME-- | Tasmanian')]","[1.0, 1.0]"
