text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
beekeeping,1,Beekeeping,no,Beekeeping,[],[]
beekeeping,2,is,no,Beekeeping is,[],[]
beekeeping,3,the,no,Beekeeping is the,[],[]
beekeeping,4,maintenance,no,Beekeeping is the maintenance,[],[]
beekeeping,5,of,no,Beekeeping is the maintenance of,[],[]
beekeeping,6,bee,no,Beekeeping is the maintenance of bee,[],[]
beekeeping,7,colonies,no,Beekeeping is the maintenance of bee colonies,[],[]
beekeeping,8,by,no,Beekeeping is the maintenance of bee colonies by,[],[]
beekeeping,9,"humans,",no,"Beekeeping is the maintenance of bee colonies by humans,",[],[]
beekeeping,10,typically,no,"Beekeeping is the maintenance of bee colonies by humans, typically",[],[]
beekeeping,11,with,no,"Beekeeping is the maintenance of bee colonies by humans, typically with",[],[]
beekeeping,12,the,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the",[],[]
beekeeping,13,use,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use",[],[]
beekeeping,14,of,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of",[],[]
beekeeping,15,man-made,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made",[],[]
beekeeping,16,hives.,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives.","[('Colony of Bees | hives', 'facet of', 'Beekeeping'), ('Colony of Bees | hives', 'natural product of taxon', 'Bee | bee')]","[0.11999999731779099, 0.4099999964237213]"
beekeeping,17,The,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The","[('Colony of Bees | hives', 'natural product of taxon', 'Bee | bee')]",[0.3799999952316284]
beekeeping,18,species,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species","[('Colony of Bees | hives', 'natural product of taxon', 'Bee | bee'), ('Colony of Bees | hives', 'found in taxon', 'Bee | bee')]","[0.33000001311302185, 0.10999999940395355]"
beekeeping,19,most,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most","[('Colony (biology) | hives', 'natural product of taxon', 'Bee | bee')]",[0.14000000059604645]
beekeeping,20,commonly,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'facet of', 'Beekeeping'), ('Hives | hives', 'natural product of taxon', 'Bee | bee'), ('Hives | hives', 'found in taxon', 'Bee | bee')]","[0.15000000596046448, 0.14000000059604645, 0.5099999904632568, 0.23000000417232513]"
beekeeping,21,used,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'facet of', 'Beekeeping'), ('Hives | hives', 'natural product of taxon', 'Bee | bee'), ('Hives | hives', 'found in taxon', 'Bee | bee')]","[0.1599999964237213, 0.10999999940395355, 0.49000000953674316, 0.23000000417232513]"
beekeeping,22,in,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'facet of', 'Beekeeping'), ('Hives | hives', 'natural product of taxon', 'Bee | bee'), ('Hives | hives', 'found in taxon', 'Bee | bee')]","[0.1899999976158142, 0.12999999523162842, 0.5299999713897705, 0.25999999046325684]"
beekeeping,23,bee,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'facet of', 'Beekeeping'), ('Hives | hives', 'natural product of taxon', 'Bee | bee'), ('Hives | hives', 'used by', 'Bee | bee'), ('Hives | hives', 'found in taxon', 'Bee | bee')]","[0.2800000011920929, 0.1599999964237213, 0.5099999904632568, 0.10000000149011612, 0.5199999809265137]"
beekeeping,24,colonies,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies","[('Colony (biology) | hives', 'used by', 'Beekeeping'), ('Colony (biology) | hives', 'natural product of taxon', 'Bee | bee')]","[0.10000000149011612, 0.12999999523162842]"
beekeeping,25,are,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are","[('Colony (biology) | hives', 'used by', 'Beekeeping'), ('Colony (biology) | hives', 'natural product of taxon', 'Bee | bee')]","[0.17000000178813934, 0.20000000298023224]"
beekeeping,26,honey,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey","[('Hives | hives', 'natural product of taxon', 'Bee | bee'), ('Hives | hives', 'found in taxon', 'Bee | bee'), ('Honey | honey', 'natural product of taxon', 'Bee | bee'), ('Honey | honey', 'natural product of taxon', 'Bee | bee')]","[0.27000001072883606, 0.14000000059604645, 0.3400000035762787, 0.9700000286102295]"
beekeeping,27,bees.,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees.","[('Hives | hives', 'natural product of taxon', 'Bee | bee')]",[0.10999999940395355]
beekeeping,28,A,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A","[('Hives | hives', 'natural product of taxon', 'Bee | bee')]",[0.11999999731779099]
