text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
doping,1,In,no,In,[],[]
doping,2,competitive,no,In competitive,[],[]
doping,3,"sports,",no,"In competitive sports,",[],[]
doping,4,doping,no,"In competitive sports, doping",[],[]
doping,5,is,no,"In competitive sports, doping is",[],[]
doping,6,the,no,"In competitive sports, doping is the",[],[]
doping,7,use,no,"In competitive sports, doping is the use",[],[]
doping,8,of,no,"In competitive sports, doping is the use of",[],[]
doping,9,banned,no,"In competitive sports, doping is the use of banned",[],[]
doping,10,performance-enhancing,no,"In competitive sports, doping is the use of banned performance-enhancing",[],[]
doping,11,drugs,yes,"In competitive sports, doping is the use of banned performance-enhancing drugs","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs')]",[0.23999999463558197]
doping,12,by,no,"In competitive sports, doping is the use of banned performance-enhancing drugs by","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs')]",[0.27000001072883606]
doping,13,athletic,no,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs')]",[0.28999999165534973]
doping,14,competitors.,no,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors.","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs')]",[0.12999999523162842]
doping,15,The,no,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs')]",[0.11999999731779099]
doping,16,term,yes,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs'), ('Doping in sport | doping', 'has cause', 'Performance-enhancing substance | performance-enhancing drugs')]","[0.11999999731779099, 0.4399999976158142]"
doping,17,doping,yes,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs')]",[0.1599999964237213]
doping,18,is,no,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is","[('Doping in sport | doping', 'subclass of', 'Performance-enhancing substance | performance-enhancing drugs')]",[0.20999999344348907]
