text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
international,1,'The,no,'The,[],[]
international,2,International,no,'The International,[],[]
international,3,Union,no,'The International Union,[],[]
international,4,for,no,'The International Union for,[],[]
international,5,Conservation,no,'The International Union for Conservation,[],[]
international,6,of,no,'The International Union for Conservation of,[],[]
international,7,Nature,no,'The International Union for Conservation of Nature,[],[]
international,8,is,no,'The International Union for Conservation of Nature is,[],[]
international,9,an,no,'The International Union for Conservation of Nature is an,[],[]
international,10,international,no,'The International Union for Conservation of Nature is an international,[],[]
international,11,organization,no,'The International Union for Conservation of Nature is an international organization,[],[]
international,12,working,no,'The International Union for Conservation of Nature is an international organization working,[],[]
international,13,in,no,'The International Union for Conservation of Nature is an international organization working in,[],[]
international,14,the,no,'The International Union for Conservation of Nature is an international organization working in the,[],[]
international,15,field,no,'The International Union for Conservation of Nature is an international organization working in the field,[],[]
international,16,of,no,'The International Union for Conservation of Nature is an international organization working in the field of,[],[]
international,17,nature,no,'The International Union for Conservation of Nature is an international organization working in the field of nature,[],[]
international,18,conservation,yes,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.44999998807907104]
international,19,and,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.41999998688697815]
international,20,the,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.38999998569488525]
international,21,sustainable,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.23999999463558197]
international,22,use,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.30000001192092896]
international,23,of,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.2800000011920929]
international,24,natural,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.33000001311302185]
international,25,resources.,yes,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources.,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation'), ('International Union for Conservation of Nature', 'field of work', 'Protected area with sustainable use of natural resources | sustainable use of natural resources'), ('Protected area with sustainable use of natural resources | sustainable use of natural resources', 'facet of', 'Nature conservation | nature conservation')]","[0.3400000035762787, 0.18000000715255737, 0.20999999344348907]"
international,26,It,yes,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation'), ('International Union for Conservation of Nature', 'field of work', 'Protected area with sustainable use of natural resources | sustainable use of natural resources'), ('Protected area with sustainable use of natural resources | sustainable use of natural resources', 'subclass of', 'Nature conservation | nature conservation'), ('Protected area with sustainable use of natural resources | sustainable use of natural resources', 'facet of', 'Nature conservation | nature conservation')]","[0.4699999988079071, 0.3199999928474426, 0.10999999940395355, 0.20000000298023224]"
international,27,is,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation'), ('International Union for Conservation of Nature', 'field of work', 'Protected area with sustainable use of natural resources | sustainable use of natural resources'), ('Protected area with sustainable use of natural resources | sustainable use of natural resources', 'subclass of', 'Nature conservation | nature conservation'), ('Protected area with sustainable use of natural resources | sustainable use of natural resources', 'facet of', 'Nature conservation | nature conservation')]","[0.5099999904632568, 0.25999999046325684, 0.1599999964237213, 0.2199999988079071]"
international,28,involved,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation'), ('International Union for Conservation of Nature', 'field of work', 'Protected area with sustainable use of natural resources | sustainable use of natural resources'), ('Protected area with sustainable use of natural resources | sustainable use of natural resources', 'subclass of', 'Nature conservation | nature conservation'), ('Protected area with sustainable use of natural resources | sustainable use of natural resources', 'facet of', 'Nature conservation | nature conservation')]","[0.41999998688697815, 0.12999999523162842, 0.11999999731779099, 0.20000000298023224]"
international,29,in,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation'), ('International Union for Conservation of Nature', 'field of work', 'Protected area with sustainable use of natural resources | sustainable use of natural resources'), ('Protected area with sustainable use of natural resources | sustainable use of natural resources', 'subclass of', 'Nature conservation | nature conservation'), ('Protected area with sustainable use of natural resources | sustainable use of natural resources', 'facet of', 'Nature conservation | nature conservation')]","[0.5699999928474426, 0.20000000298023224, 0.17000000178813934, 0.25999999046325684]"
international,30,data,yes,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation'), ('International Union for Conservation of Nature', 'field of work', '--NME-- | sustainable use of natural resources')]","[0.46000000834465027, 0.14000000059604645]"
international,31,gathering,yes,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.4300000071525574]
international,32,and,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.4099999964237213]
international,33,"analysis,",no,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis,","[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.3700000047683716]
