text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
janus,1,In,no,In,[],[]
janus,2,ancient,no,In ancient,[],[]
janus,3,Roman,no,In ancient Roman,[],[]
janus,4,religion,no,In ancient Roman religion,[],[]
janus,5,and,no,In ancient Roman religion and,[],[]
janus,6,"myth,",no,"In ancient Roman religion and myth,",[],[]
janus,7,Janus,no,"In ancient Roman religion and myth, Janus",[],[]
janus,8,is,no,"In ancient Roman religion and myth, Janus is",[],[]
janus,9,the,no,"In ancient Roman religion and myth, Janus is the",[],[]
janus,10,god,no,"In ancient Roman religion and myth, Janus is the god",[],[]
janus,11,of,no,"In ancient Roman religion and myth, Janus is the god of",[],[]
janus,12,beginnings,no,"In ancient Roman religion and myth, Janus is the god of beginnings",[],[]
janus,13,and,yes,"In ancient Roman religion and myth, Janus is the god of beginnings and","[('Ancient Rome | ancient Roman', 'religion or worldview', 'Religion in ancient Rome | ancient Roman religion'), ('Ancient Rome | ancient Roman', 'official religion', 'Religion in ancient Rome | ancient Roman religion'), ('Ancient Rome | ancient Roman', 'official religion', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion')]","[0.14000000059604645, 0.1599999964237213, 0.15000000596046448, 0.36000001430511475]"
janus,14,gates.,yes,"In ancient Roman religion and myth, Janus is the god of beginnings and gates.",[],[]
janus,15,He,yes,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He","[('Ancient Rome | ancient Roman', 'religion or worldview', 'Religion in ancient Rome | ancient Roman religion'), ('Ancient Rome | ancient Roman', 'official religion', 'Religion in ancient Rome | ancient Roman religion'), ('Ancient Rome | ancient Roman', 'religion or worldview', 'Religion in ancient Rome | religion'), ('Ancient Rome | ancient Roman', 'official religion', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion')]","[0.1899999976158142, 0.20000000298023224, 0.1599999964237213, 0.12999999523162842, 0.12999999523162842]"
janus,16,has,yes,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has",[],[]
janus,17,a,yes,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a","[('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion')]",[0.15000000596046448]
janus,18,double,yes,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double",[],[]
janus,19,nature,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature",[],[]
janus,20,and,yes,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and","[('Janus', 'instance of', 'Deity | god'), ('Deity | god', 'facet of', 'Religion in ancient Rome | religion'), ('Deity | god', 'facet of', 'Myth | myth'), ('Janus | He', 'instance of', 'Deity | god')]","[0.7900000214576721, 0.23999999463558197, 0.11999999731779099, 0.3199999928474426]"
janus,21,is,yes,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is","[('Ancient Rome | ancient Roman', 'part of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Myth | myth'), ('Janus', 'instance of', '--NME-- | god'), ('Janus | He', 'instance of', '--NME-- | god')]","[0.1599999964237213, 0.33000001311302185, 0.2199999988079071, 0.5, 0.33000001311302185]"
janus,22,usually,yes,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually","[('Ancient Rome | ancient Roman', 'part of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Myth | myth')]","[0.1599999964237213, 0.3199999928474426, 0.20999999344348907]"
janus,23,depicted,yes,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted",[],[]
janus,24,as,yes,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as","[('Janus', 'instance of', 'Deity | god'), ('Deity | god', 'facet of', 'Religion in ancient Rome | religion'), ('Janus | He', 'instance of', 'Deity | god')]","[0.75, 0.14000000059604645, 0.18000000715255737]"
janus,25,having,yes,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having","[('Ancient Rome | ancient Roman', 'part of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Myth | myth')]","[0.2199999988079071, 0.15000000596046448, 0.12999999523162842]"
janus,26,two,yes,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two","[('Ancient Rome | ancient Roman', 'part of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion')]","[0.1899999976158142, 0.23999999463558197]"
janus,27,"faces,",yes,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces,","[('Ancient Rome | ancient Roman', 'part of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion'), ('Janus', 'instance of', 'Deity | god')]","[0.1599999964237213, 0.33000001311302185, 0.5]"
janus,28,since,yes,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since","[('Ancient Rome | ancient Roman', 'part of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion')]","[0.14000000059604645, 0.3100000023841858]"
janus,29,he,yes,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he","[('Ancient Rome | ancient Roman', 'part of', 'Religion in ancient Rome | religion'), ('Religion in ancient Rome | ancient Roman religion', 'subclass of', 'Religion in ancient Rome | religion'), ('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion')]","[0.14000000059604645, 0.3199999928474426, 0.11999999731779099]"
