text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
monocle,1,A,no,A,[],[]
monocle,2,monocle,no,A monocle,[],[]
monocle,3,is,no,A monocle is,[],[]
monocle,4,a,no,A monocle is a,[],[]
monocle,5,type,yes,A monocle is a type,"[('Monocle | monocle', 'instance of', 'Type system | type')]",[0.10000000149011612]
monocle,6,of,yes,A monocle is a type of,[],[]
monocle,7,corrective,no,A monocle is a type of corrective,[],[]
monocle,8,lens,yes,A monocle is a type of corrective lens,"[('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]",[0.5299999713897705]
monocle,9,used,yes,A monocle is a type of corrective lens used,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.10999999940395355, 0.7400000095367432]"
monocle,10,to,yes,A monocle is a type of corrective lens used to,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.12999999523162842, 0.17000000178813934, 0.7099999785423279]"
monocle,11,correct,yes,A monocle is a type of corrective lens used to correct,"[('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]",[0.7699999809265137]
monocle,12,or,no,A monocle is a type of corrective lens used to correct or,"[('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]",[0.7200000286102295]
monocle,13,enhance,no,A monocle is a type of corrective lens used to correct or enhance,"[('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]",[0.8999999761581421]
monocle,14,the,yes,A monocle is a type of corrective lens used to correct or enhance the,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.10999999940395355, 0.8899999856948853]"
monocle,15,vision,no,A monocle is a type of corrective lens used to correct or enhance the vision,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.23999999463558197, 0.8399999737739563]"
monocle,16,in,no,A monocle is a type of corrective lens used to correct or enhance the vision in,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.3100000023841858, 0.8299999833106995]"
monocle,17,only,no,A monocle is a type of corrective lens used to correct or enhance the vision in only,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.30000001192092896, 0.8700000047683716]"
monocle,18,one,no,A monocle is a type of corrective lens used to correct or enhance the vision in only one,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.4399999976158142, 0.8399999737739563]"
monocle,19,eye.,no,A monocle is a type of corrective lens used to correct or enhance the vision in only one eye.,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.23000000417232513, 0.8100000023841858]"
monocle,20,It,no,A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.2199999988079071, 0.7799999713897705]"
monocle,21,consists,no,A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.2199999988079071, 0.7599999904632568]"
monocle,22,of,no,A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.3199999928474426, 0.7599999904632568]"
monocle,23,a,no,A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.28999999165534973, 0.75]"
monocle,24,circular,no,A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.25999999046325684, 0.6399999856948853]"
monocle,25,"lens,",no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens,","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.4099999964237213, 0.6499999761581421]"
monocle,26,generally,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.23000000417232513, 0.6299999952316284]"
monocle,27,with,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.25999999046325684, 0.6299999952316284]"
monocle,28,a,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.2800000011920929, 0.6200000047683716]"
monocle,29,wire,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens')]","[0.44999998807907104, 0.5899999737739563]"
monocle,30,ring,yes,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens')]","[0.23000000417232513, 0.47999998927116394, 0.25999999046325684, 0.20000000298023224]"
monocle,31,around,yes,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Glasses | lens'), ('Glasses | lens', 'part of', 'Corrective lens | corrective lens')]","[0.3799999952316284, 0.5199999809265137, 0.12999999523162842, 0.10999999940395355]"
monocle,32,the,yes,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Lens | lens', 'used by', 'Corrective lens | corrective lens')]","[0.33000001311302185, 0.5, 0.11999999731779099, 0.28999999165534973, 0.18000000715255737, 0.11999999731779099]"
monocle,33,circumference,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Lens | lens'), ('Corrective lens | corrective lens', 'subclass of', 'Lens | lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens'), ('Lens | lens', 'used by', 'Corrective lens | corrective lens')]","[0.5, 0.5600000023841858, 0.3100000023841858, 0.5400000214576721, 0.28999999165534973, 0.14000000059604645]"
