text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
shaka,1,The,no,The,[],[]
shaka,2,shaka,no,The shaka,[],[]
shaka,3,"sign,",no,"The shaka sign,",[],[]
shaka,4,sometimes,no,"The shaka sign, sometimes",[],[]
shaka,5,known,no,"The shaka sign, sometimes known",[],[]
shaka,6,as,no,"The shaka sign, sometimes known as",[],[]
shaka,7,'hang,no,"The shaka sign, sometimes known as 'hang",[],[]
shaka,8,"loose',",no,"The shaka sign, sometimes known as 'hang loose',",[],[]
shaka,9,is,no,"The shaka sign, sometimes known as 'hang loose', is",[],[]
shaka,10,a,no,"The shaka sign, sometimes known as 'hang loose', is a",[],[]
shaka,11,gesture,yes,"The shaka sign, sometimes known as 'hang loose', is a gesture","[('Shaka sign | shaka sign', 'instance of', 'Gesture | gesture')]",[0.20999999344348907]
shaka,12,of,yes,"The shaka sign, sometimes known as 'hang loose', is a gesture of","[('Shaka | shaka', 'motto', 'Shaka | shaka')]",[0.17000000178813934]
shaka,13,friendly,yes,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly",[],[]
shaka,14,intent,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent",[],[]
shaka,15,often,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often",[],[]
shaka,16,associated,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated",[],[]
shaka,17,with,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with",[],[]
shaka,18,Hawaii,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii",[],[]
shaka,19,and,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and",[],[]
shaka,20,surf,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf",[],[]
shaka,21,culture.,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture.",[],[]
shaka,22,The,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The",[],[]
shaka,23,gesture,yes,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture","[('Surf culture | surf culture', 'location', 'Hawaii')]",[0.15000000596046448]
shaka,24,is,yes,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is","[('Shaka sign | shaka sign', 'instance of', 'Gang sign | gesture'), ('Surf culture | surf culture', 'location', 'Hawaii')]","[0.49000000953674316, 0.11999999731779099]"
