text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
wine,1,Wine,no,Wine,[],[]
wine,2,tasting,no,Wine tasting,[],[]
wine,3,is,no,Wine tasting is,[],[]
wine,4,the,no,Wine tasting is the,[],[]
wine,5,sensory,no,Wine tasting is the sensory,[],[]
wine,6,examination,no,Wine tasting is the sensory examination,[],[]
wine,7,and,no,Wine tasting is the sensory examination and,[],[]
wine,8,evaluation,yes,Wine tasting is the sensory examination and evaluation,"[('Wine tasting', 'facet of', 'Sensory analysis | sensory'), ('Sensory analysis | sensory examination', 'facet of', 'Sensory analysis | sensory')]","[0.1599999964237213, 0.4099999964237213]"
wine,9,of,yes,Wine tasting is the sensory examination and evaluation of,[],[]
wine,10,wine.,yes,Wine tasting is the sensory examination and evaluation of wine.,"[('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine')]","[0.30000001192092896, 0.10000000149011612]"
wine,11,While,no,Wine tasting is the sensory examination and evaluation of wine. While,"[('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine')]","[0.4699999988079071, 0.28999999165534973]"
wine,12,the,no,Wine tasting is the sensory examination and evaluation of wine. While the,"[('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine')]","[0.4000000059604645, 0.2199999988079071]"
wine,13,practice,no,Wine tasting is the sensory examination and evaluation of wine. While the practice,"[('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine')]","[0.47999998927116394, 0.2800000011920929]"
wine,14,of,no,Wine tasting is the sensory examination and evaluation of wine. While the practice of,"[('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine')]","[0.44999998807907104, 0.38999998569488525]"
wine,15,wine,no,Wine tasting is the sensory examination and evaluation of wine. While the practice of wine,"[('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine')]","[0.25, 0.25]"
wine,16,tasting,no,Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting,"[('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine')]","[0.3700000047683716, 0.4399999976158142]"
wine,17,is,no,Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is,"[('Wine tasting', 'facet of', 'Wine | wine'), ('Sensory analysis | sensory', 'is the study of', 'Wine | wine')]","[0.4399999976158142, 0.36000001430511475]"
