text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
beekeeping,1,Beekeeping,no,Beekeeping,[],[]
beekeeping,2,is,no,Beekeeping is,[],[]
beekeeping,3,the,no,Beekeeping is the,[],[]
beekeeping,4,maintenance,no,Beekeeping is the maintenance,[],[]
beekeeping,5,of,no,Beekeeping is the maintenance of,[],[]
beekeeping,6,bee,no,Beekeeping is the maintenance of bee,[],[]
beekeeping,7,colonies,no,Beekeeping is the maintenance of bee colonies,[],[]
beekeeping,8,by,yes,Beekeeping is the maintenance of bee colonies by,"[('Colony of Bees | bee colonies', 'natural product of taxon', 'Beekeeping'), ('Colony of Bees | bee colonies', 'used by', 'Beekeeping')]","[0.23999999463558197, 0.699999988079071]"
beekeeping,9,"humans,",yes,"Beekeeping is the maintenance of bee colonies by humans,",[],[]
beekeeping,10,typically,no,"Beekeeping is the maintenance of bee colonies by humans, typically",[],[]
beekeeping,11,with,no,"Beekeeping is the maintenance of bee colonies by humans, typically with",[],[]
beekeeping,12,the,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the",[],[]
beekeeping,13,use,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use",[],[]
beekeeping,14,of,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of",[],[]
beekeeping,15,man-made,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made",[],[]
beekeeping,16,hives.,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives.","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'has use', 'Beekeeping')]","[1.0, 0.38999998569488525]"
beekeeping,17,The,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'has use', 'Beekeeping')]","[1.0, 0.33000001311302185]"
beekeeping,18,species,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'has use', 'Beekeeping')]","[1.0, 0.8100000023841858]"
beekeeping,19,most,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most","[('Hives | hives', 'used by', 'Beekeeping')]",[1.0]
beekeeping,20,commonly,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly","[('Hives | hives', 'used by', 'Beekeeping')]",[1.0]
beekeeping,21,used,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used","[('Hives | hives', 'used by', 'Beekeeping')]",[1.0]
beekeeping,22,in,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in","[('Hives | hives', 'used by', 'Beekeeping')]",[1.0]
beekeeping,23,bee,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee","[('Hives | hives', 'used by', 'Beekeeping')]",[1.0]
beekeeping,24,colonies,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'has use', 'Beekeeping')]","[1.0, 0.6600000262260437]"
beekeeping,25,are,no,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'has use', 'Beekeeping')]","[1.0, 0.5]"
beekeeping,26,honey,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey","[('Hives | hives', 'used by', 'Beekeeping'), ('Honey bee | honey', 'natural product of taxon', 'Bee | bee')]","[1.0, 0.9599999785423279]"
beekeeping,27,bees.,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees.",[],[]
beekeeping,28,A,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A","[('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'different from', 'Bee | bee')]","[0.10000000149011612, 0.27000001072883606]"
beekeeping,29,beekeeper,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper","[('Hives | hives', 'used by', 'Beekeeping'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'different from', 'Bee | bee')]","[0.9800000190734863, 0.33000001311302185, 0.6800000071525574]"
beekeeping,30,maintains,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains","[('Hives | hives', 'used by', 'Beekeeper | Beekeeping'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'different from', 'Bee | bee')]","[0.1599999964237213, 0.6000000238418579, 0.17000000178813934]"
beekeeping,31,these,yes,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these","[('Hives | hives', 'used by', 'Beekeeper | Beekeeping'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee')]","[0.36000001430511475, 0.75]"
