text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
doping,1,In,no,In,[],[]
doping,2,competitive,no,In competitive,[],[]
doping,3,"sports,",no,"In competitive sports,",[],[]
doping,4,doping,no,"In competitive sports, doping",[],[]
doping,5,is,no,"In competitive sports, doping is",[],[]
doping,6,the,no,"In competitive sports, doping is the",[],[]
doping,7,use,yes,"In competitive sports, doping is the use","[('Doping in sport | doping', 'subclass of', 'Doping in sport | competitive sports')]",[0.1599999964237213]
doping,8,of,no,"In competitive sports, doping is the use of","[('Doping in sport | doping', 'subclass of', 'Doping in sport | competitive sports')]",[0.5600000023841858]
doping,9,banned,yes,"In competitive sports, doping is the use of banned",[],[]
doping,10,performance-enhancing,no,"In competitive sports, doping is the use of banned performance-enhancing",[],[]
doping,11,drugs,no,"In competitive sports, doping is the use of banned performance-enhancing drugs",[],[]
doping,12,by,no,"In competitive sports, doping is the use of banned performance-enhancing drugs by",[],[]
doping,13,athletic,no,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic",[],[]
doping,14,competitors.,no,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors.",[],[]
doping,15,The,yes,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The","[('Doping in sport | doping', 'subclass of', 'Doping in sport | competitive sports')]",[0.3700000047683716]
doping,16,term,no,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term","[('Doping in sport | doping', 'subclass of', 'Doping in sport | competitive sports')]",[0.20999999344348907]
doping,17,doping,yes,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping",[],[]
doping,18,is,no,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is",[],[]
doping,19,widely,yes,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely","[('Doping in sport | doping', 'subclass of', 'Doping in sport | competitive sports')]",[0.14000000059604645]
doping,20,used,yes,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used",[],[]
doping,21,by,no,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by",[],[]
doping,22,organizations,no,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations",[],[]
doping,23,which,no,"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which",[],[]
