text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
flag,1,A,no,A,[],[]
flag,2,national,no,A national,[],[]
flag,3,flag,no,A national flag,[],[]
flag,4,is,no,A national flag is,[],[]
flag,5,a,no,A national flag is a,[],[]
flag,6,flag,no,A national flag is a flag,[],[]
flag,7,which,yes,A national flag is a flag which,"[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.3100000023841858]
flag,8,represents,no,A national flag is a flag which represents,"[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.41999998688697815]
flag,9,and,yes,A national flag is a flag which represents and,[],[]
flag,10,symbolizes,no,A national flag is a flag which represents and symbolizes,[],[]
flag,11,a,no,A national flag is a flag which represents and symbolizes a,[],[]
flag,12,country.,no,A national flag is a flag which represents and symbolizes a country.,[],[]
flag,13,The,yes,A national flag is a flag which represents and symbolizes a country. The,"[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.699999988079071]
flag,14,national,yes,A national flag is a flag which represents and symbolizes a country. The national,[],[]
flag,15,flag,no,A national flag is a flag which represents and symbolizes a country. The national flag,[],[]
flag,16,is,no,A national flag is a flag which represents and symbolizes a country. The national flag is,[],[]
flag,17,usually,no,A national flag is a flag which represents and symbolizes a country. The national flag is usually,[],[]
flag,18,flown,no,A national flag is a flag which represents and symbolizes a country. The national flag is usually flown,[],[]
flag,19,by,yes,A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by,"[('National flag | national flag', 'instance of', 'Flag | flag'), ('National flag | national flag', 'subclass of', 'Flag | flag')]","[0.46000000834465027, 0.17000000178813934]"
flag,20,the,no,A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the,"[('National flag | national flag', 'instance of', 'Flag | flag'), ('National flag | national flag', 'subclass of', 'Flag | flag')]","[0.3700000047683716, 0.20000000298023224]"
flag,21,government,yes,A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government,"[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.25]
flag,22,of,no,A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of,"[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.33000001311302185]
flag,23,a,no,A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a,"[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.25999999046325684]
flag,24,"country,",no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country,","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.3199999928474426]
flag,25,but,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.5600000023841858]
flag,26,it,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.47999998927116394]
flag,27,can,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.33000001311302185]
flag,28,also,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.1599999964237213]
flag,29,be,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.11999999731779099]
flag,30,flown,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.4300000071525574]
flag,31,by,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.6899999976158142]
flag,32,its,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.7799999713897705]
flag,33,citizens.,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens.","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.8999999761581421]
flag,34,A,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.8100000023841858]
flag,35,national,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.8500000238418579]
flag,36,flag,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.6600000262260437]
flag,37,is,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.550000011920929]
flag,38,designed,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.5600000023841858]
flag,39,with,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.5400000214576721]
flag,40,specific,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.4099999964237213]
flag,41,meanings,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.6100000143051147]
flag,42,for,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.6399999856948853]
flag,43,its,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.7200000286102295]
flag,44,colours,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.5899999737739563]
flag,45,and,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.3799999952316284]
flag,46,symbols.,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols.","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.36000001430511475]
