text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
international,1,'The,no,'The,[],[]
international,2,International,no,'The International,[],[]
international,3,Union,no,'The International Union,[],[]
international,4,for,no,'The International Union for,[],[]
international,5,Conservation,no,'The International Union for Conservation,[],[]
international,6,of,no,'The International Union for Conservation of,[],[]
international,7,Nature,no,'The International Union for Conservation of Nature,[],[]
international,8,is,no,'The International Union for Conservation of Nature is,[],[]
international,9,an,no,'The International Union for Conservation of Nature is an,[],[]
international,10,international,no,'The International Union for Conservation of Nature is an international,[],[]
international,11,organization,yes,'The International Union for Conservation of Nature is an international organization,"[('International Union for Conservation of Nature', 'instance of', 'International organization | international organization')]",[1.0]
international,12,working,yes,'The International Union for Conservation of Nature is an international organization working,[],[]
international,13,in,no,'The International Union for Conservation of Nature is an international organization working in,[],[]
international,14,the,no,'The International Union for Conservation of Nature is an international organization working in the,[],[]
international,15,field,no,'The International Union for Conservation of Nature is an international organization working in the field,[],[]
international,16,of,no,'The International Union for Conservation of Nature is an international organization working in the field of,[],[]
international,17,nature,no,'The International Union for Conservation of Nature is an international organization working in the field of nature,[],[]
international,18,conservation,yes,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation,"[('International Union for Conservation of Nature', 'instance of', 'International organization | international organization')]",[1.0]
international,19,and,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and,"[('International Union for Conservation of Nature', 'instance of', 'International organization | international organization')]",[0.9800000190734863]
international,20,the,yes,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the,"[('International Union for Conservation of Nature', 'instance of', 'International organization | international organization'), ('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]","[0.9900000095367432, 0.1899999976158142]"
international,21,sustainable,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable,"[('International Union for Conservation of Nature', 'instance of', 'International organization | international organization'), ('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]","[1.0, 0.8600000143051147]"
international,22,use,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use,"[('International Union for Conservation of Nature', 'instance of', 'International organization | international organization'), ('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]","[1.0, 0.6600000262260437]"
international,23,of,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of,"[('International Union for Conservation of Nature', 'instance of', 'International organization | international organization'), ('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]","[1.0, 0.7400000095367432]"
international,24,natural,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural,"[('International Union for Conservation of Nature', 'instance of', 'International organization | international organization'), ('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]","[1.0, 0.8600000143051147]"
international,25,resources.,yes,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources.,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.949999988079071]
international,26,It,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.6499999761581421]
international,27,is,yes,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is,"[('International Union for Conservation of Nature', 'instance of', 'International organization | international organization'), ('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]","[0.9900000095367432, 0.8500000238418579]"
international,28,involved,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved,"[('International Union for Conservation of Nature', 'instance of', 'International organization | international organization'), ('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]","[0.9900000095367432, 0.9300000071525574]"
international,29,in,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in,"[('International Union for Conservation of Nature', 'instance of', 'International organization | international organization'), ('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]","[0.9599999785423279, 0.949999988079071]"
international,30,data,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data,"[('International Union for Conservation of Nature', 'instance of', 'International organization | international organization'), ('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]","[1.0, 0.7799999713897705]"
international,31,gathering,yes,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.5799999833106995]
international,32,and,no,'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and,"[('International Union for Conservation of Nature', 'field of work', 'Nature conservation | nature conservation')]",[0.8899999856948853]
international,33,"analysis,",yes,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis,","[('International Union for Conservation of Nature', 'instance of', 'International organization | international organization')]",[1.0]
international,34,"research,",yes,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research,","[('International Union for Conservation of Nature', 'instance of', 'International organization | international organization'), ('Data analysis | analysis', 'subclass of', 'Research | research')]","[1.0, 0.3100000023841858]"
international,35,field,no,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field","[('International Union for Conservation of Nature', 'instance of', 'International organization | international organization'), ('Data analysis | analysis', 'subclass of', 'Research | research')]","[1.0, 0.7400000095367432]"
international,36,"projects,",yes,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects,","[('International Union for Conservation of Nature', 'instance of', 'International organization | international organization')]",[0.9900000095367432]
international,37,"advocacy,",yes,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects, advocacy,",[],[]
international,38,and,no,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects, advocacy, and",[],[]
international,39,education.,no,"'The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects, advocacy, and education.",[],[]
