text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
janus,1,In,no,In,[],[]
janus,2,ancient,no,In ancient,[],[]
janus,3,Roman,no,In ancient Roman,[],[]
janus,4,religion,no,In ancient Roman religion,[],[]
janus,5,and,no,In ancient Roman religion and,[],[]
janus,6,"myth,",no,"In ancient Roman religion and myth,",[],[]
janus,7,Janus,yes,"In ancient Roman religion and myth, Janus","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus', 'part of', 'Roman mythology | myth')]","[0.5299999713897705, 0.38999998569488525]"
janus,8,is,yes,"In ancient Roman religion and myth, Janus is",[],[]
janus,9,the,yes,"In ancient Roman religion and myth, Janus is the","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus', 'part of', 'Roman mythology | myth')]","[0.14000000059604645, 0.17000000178813934]"
janus,10,god,no,"In ancient Roman religion and myth, Janus is the god","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus', 'part of', 'Roman mythology | myth')]","[0.8199999928474426, 0.47999998927116394]"
janus,11,of,no,"In ancient Roman religion and myth, Janus is the god of","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus', 'part of', 'Roman mythology | myth')]","[0.7799999713897705, 0.6399999856948853]"
janus,12,beginnings,yes,"In ancient Roman religion and myth, Janus is the god of beginnings","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion')]",[0.10999999940395355]
janus,13,and,no,"In ancient Roman religion and myth, Janus is the god of beginnings and","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion')]",[0.10000000149011612]
janus,14,gates.,yes,"In ancient Roman religion and myth, Janus is the god of beginnings and gates.",[],[]
janus,15,He,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He",[],[]
janus,16,has,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has",[],[]
janus,17,a,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a",[],[]
janus,18,double,yes,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus', 'part of', 'Roman mythology | myth'), ('Janus | the god of beginnings and gates', 'part of', 'Religion in ancient Rome | ancient Roman religion')]","[0.2199999988079071, 0.44999998807907104, 0.7200000286102295]"
janus,19,nature,yes,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature",[],[]
janus,20,and,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and",[],[]
janus,21,is,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is",[],[]
janus,22,usually,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually",[],[]
janus,23,depicted,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted",[],[]
janus,24,as,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as",[],[]
janus,25,having,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having",[],[]
janus,26,two,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two",[],[]
janus,27,"faces,",no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces,",[],[]
janus,28,since,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since",[],[]
janus,29,he,yes,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he","[('Janus | the god of beginnings and gates', 'part of', 'Religion in ancient Rome | ancient Roman religion')]",[0.15000000596046448]
janus,30,looks,yes,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', 'Religion in ancient Rome | ancient Roman religion')]","[0.25999999046325684, 0.36000001430511475]"
janus,31,to,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', 'Religion in ancient Rome | ancient Roman religion')]","[0.23999999463558197, 0.23999999463558197]"
janus,32,the,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', 'Religion in ancient Rome | ancient Roman religion')]","[0.14000000059604645, 0.15000000596046448]"
janus,33,future,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', 'Religion in ancient Rome | ancient Roman religion')]","[0.28999999165534973, 0.4000000059604645]"
janus,34,and,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', 'Religion in ancient Rome | ancient Roman religion')]","[0.20000000298023224, 0.33000001311302185]"
janus,35,to,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', 'Religion in ancient Rome | ancient Roman religion')]","[0.1899999976158142, 0.27000001072883606]"
janus,36,the,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', 'Religion in ancient Rome | ancient Roman religion')]","[0.1599999964237213, 0.36000001430511475]"
janus,37,past.,no,"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past.","[('Janus', 'part of', 'Religion in ancient Rome | ancient Roman religion'), ('Janus | the god of beginnings and gates', 'part of', 'Religion in ancient Rome | ancient Roman religion')]","[0.4399999976158142, 0.5400000214576721]"
