text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
monocle,1,A,no,A,[],[]
monocle,2,monocle,no,A monocle,[],[]
monocle,3,is,no,A monocle is,[],[]
monocle,4,a,no,A monocle is a,[],[]
monocle,5,type,no,A monocle is a type,[],[]
monocle,6,of,no,A monocle is a type of,[],[]
monocle,7,corrective,yes,A monocle is a type of corrective,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective')]",[0.9399999976158142]
monocle,8,lens,yes,A monocle is a type of corrective lens,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[0.949999988079071]
monocle,9,used,no,A monocle is a type of corrective lens used,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[0.9700000286102295]
monocle,10,to,no,A monocle is a type of corrective lens used to,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[0.9599999785423279]
monocle,11,correct,no,A monocle is a type of corrective lens used to correct,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[0.8799999952316284]
monocle,12,or,no,A monocle is a type of corrective lens used to correct or,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[0.9900000095367432]
monocle,13,enhance,no,A monocle is a type of corrective lens used to correct or enhance,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[0.9700000286102295]
monocle,14,the,no,A monocle is a type of corrective lens used to correct or enhance the,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[0.9800000190734863]
monocle,15,vision,no,A monocle is a type of corrective lens used to correct or enhance the vision,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[0.9900000095367432]
monocle,16,in,no,A monocle is a type of corrective lens used to correct or enhance the vision in,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,17,only,no,A monocle is a type of corrective lens used to correct or enhance the vision in only,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[0.9900000095367432]
monocle,18,one,no,A monocle is a type of corrective lens used to correct or enhance the vision in only one,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,19,eye.,no,A monocle is a type of corrective lens used to correct or enhance the vision in only one eye.,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,20,It,no,A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[0.9900000095367432]
monocle,21,consists,no,A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,22,of,no,A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,23,a,no,A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,24,circular,no,A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular,"[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,25,"lens,",no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens,","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,26,generally,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,27,with,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,28,a,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,29,wire,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,30,ring,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,31,around,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,32,the,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,33,circumference,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,34,that,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,35,can,yes,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens')]","[1.0, 0.4399999976158142]"
monocle,36,be,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Lens | lens', 'part of', 'Corrective lens | corrective lens')]","[1.0, 0.3700000047683716]"
monocle,37,attached,yes,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,38,to,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,39,a,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,40,string,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[0.9800000190734863]
monocle,41,or,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[0.9900000095367432]
monocle,42,wire.,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire.","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,43,The,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,44,other,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,45,end,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,46,of,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
monocle,47,the,no,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens')]",[1.0]
