text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
shaka,1,The,no,The,[],[]
shaka,2,shaka,yes,The shaka,"[('Shaka | shaka', 'named after', 'Shaka | shaka')]",[0.8700000047683716]
shaka,3,"sign,",yes,"The shaka sign,",[],[]
shaka,4,sometimes,no,"The shaka sign, sometimes",[],[]
shaka,5,known,no,"The shaka sign, sometimes known",[],[]
shaka,6,as,no,"The shaka sign, sometimes known as",[],[]
shaka,7,'hang,no,"The shaka sign, sometimes known as 'hang",[],[]
shaka,8,"loose',",no,"The shaka sign, sometimes known as 'hang loose',",[],[]
shaka,9,is,no,"The shaka sign, sometimes known as 'hang loose', is",[],[]
shaka,10,a,no,"The shaka sign, sometimes known as 'hang loose', is a",[],[]
shaka,11,gesture,yes,"The shaka sign, sometimes known as 'hang loose', is a gesture","[('Shaka sign | shaka sign', 'instance of', 'Gesture | gesture')]",[0.6600000262260437]
shaka,12,of,yes,"The shaka sign, sometimes known as 'hang loose', is a gesture of",[],[]
shaka,13,friendly,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly",[],[]
shaka,14,intent,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent",[],[]
shaka,15,often,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often",[],[]
shaka,16,associated,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated",[],[]
shaka,17,with,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with",[],[]
shaka,18,Hawaii,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii",[],[]
shaka,19,and,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and",[],[]
shaka,20,surf,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf",[],[]
shaka,21,culture.,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture.",[],[]
shaka,22,The,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The",[],[]
shaka,23,gesture,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture",[],[]
shaka,24,is,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is",[],[]
shaka,25,made,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made",[],[]
shaka,26,by,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by",[],[]
shaka,27,extending,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending",[],[]
shaka,28,the,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the",[],[]
shaka,29,thumb,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb",[],[]
shaka,30,and,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and",[],[]
shaka,31,smallest,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest",[],[]
shaka,32,finger,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger",[],[]
shaka,33,while,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while",[],[]
shaka,34,holding,yes,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding","[('Surf culture | surf culture', 'facet of', 'Hawaii')]",[0.36000001430511475]
shaka,35,the,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the","[('Surf culture | surf culture', 'facet of', 'Hawaii')]",[0.18000000715255737]
shaka,36,three,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three","[('Surf culture | surf culture', 'facet of', 'Hawaii')]",[0.8600000143051147]
shaka,37,middle,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three middle","[('Surf culture | surf culture', 'facet of', 'Hawaii')]",[0.8899999856948853]
shaka,38,fingers,yes,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three middle fingers","[('Surf culture | surf culture', 'facet of', 'Hawaii'), ('Middle finger | middle fingers', 'subclass of', 'Finger wave | gesture')]","[0.15000000596046448, 0.5]"
shaka,39,curled,yes,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three middle fingers curled",[],[]
shaka,40,and,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three middle fingers curled and",[],[]
shaka,41,gesturing,yes,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three middle fingers curled and gesturing","[('Surf culture | surf culture', 'facet of', 'Hawaii')]",[0.11999999731779099]
shaka,42,in,no,"The shaka sign, sometimes known as 'hang loose', is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three middle fingers curled and gesturing in","[('Surf culture | surf culture', 'facet of', 'Hawaii')]",[0.14000000059604645]
