text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
wine,1,Wine,no,Wine,[],[]
wine,2,tasting,no,Wine tasting,[],[]
wine,3,is,no,Wine tasting is,[],[]
wine,4,the,no,Wine tasting is the,[],[]
wine,5,sensory,no,Wine tasting is the sensory,[],[]
wine,6,examination,yes,Wine tasting is the sensory examination,"[('Wine tasting', 'subclass of', 'Sensory analysis | sensory examination')]",[0.12999999523162842]
wine,7,and,no,Wine tasting is the sensory examination and,"[('Wine tasting', 'subclass of', 'Sensory analysis | sensory examination')]",[0.800000011920929]
wine,8,evaluation,no,Wine tasting is the sensory examination and evaluation,"[('Wine tasting', 'subclass of', 'Sensory analysis | sensory examination')]",[0.41999998688697815]
wine,9,of,yes,Wine tasting is the sensory examination and evaluation of,[],[]
wine,10,wine.,no,Wine tasting is the sensory examination and evaluation of wine.,[],[]
wine,11,While,no,Wine tasting is the sensory examination and evaluation of wine. While,[],[]
wine,12,the,no,Wine tasting is the sensory examination and evaluation of wine. While the,[],[]
wine,13,practice,no,Wine tasting is the sensory examination and evaluation of wine. While the practice,[],[]
wine,14,of,no,Wine tasting is the sensory examination and evaluation of wine. While the practice of,[],[]
wine,15,wine,no,Wine tasting is the sensory examination and evaluation of wine. While the practice of wine,[],[]
wine,16,tasting,no,Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting,[],[]
wine,17,is,no,Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is,[],[]
wine,18,as,no,Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as,[],[]
wine,19,ancient,no,Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient,[],[]
wine,20,as,no,Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as,[],[]
wine,21,its,no,Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its,[],[]
wine,22,"production,",no,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production,",[],[]
wine,23,a,no,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a",[],[]
wine,24,more,no,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more",[],[]
wine,25,formalized,yes,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized","[('Wine tasting', 'facet of', 'Wine | wine')]",[0.18000000715255737]
wine,26,methodology,yes,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology",[],[]
